1462207823 INTERNAL *** MONITORD_STARTED ***
1462207821 INTERNAL *** DAGMAN_STARTED 1710.0 ***
1462207825 create_dir_example_workflow_0_local SUBMIT 1711.0 local - 1
1462207825 stage_worker_local_example_workflow_0_local SUBMIT 1712.0 local - 2
1462207831 create_dir_example_workflow_0_local EXECUTE 1711.0 local - 1
1462207831 stage_worker_local_example_workflow_0_local EXECUTE 1712.0 local - 2
1462207831 create_dir_example_workflow_0_local JOB_TERMINATED 1711.0 local - 1
1462207831 create_dir_example_workflow_0_local JOB_SUCCESS 0 local - 1
1462207831 create_dir_example_workflow_0_local POST_SCRIPT_STARTED 1711.0 local - 1
1462207831 stage_worker_local_example_workflow_0_local JOB_TERMINATED 1712.0 local - 2
1462207831 stage_worker_local_example_workflow_0_local JOB_SUCCESS 0 local - 2
1462207836 create_dir_example_workflow_0_local POST_SCRIPT_TERMINATED 1711.0 local - 1
1462207836 create_dir_example_workflow_0_local POST_SCRIPT_SUCCESS 0 local - 1
1462207841 stage_in_local_local_0_0 SUBMIT 1713.0 local - 3
1462207841 stage_in_local_local_0_0 EXECUTE 1713.0 local - 3
1462207841 stage_in_remote_local_2_1 SUBMIT 1714.0 local - 4
1462207841 stage_in_local_local_1_1 SUBMIT 1715.0 local - 5
1462207841 stage_in_local_local_4_0 SUBMIT 1716.0 local - 6
1462207841 stage_in_local_local_1_0 SUBMIT 1717.0 local - 7
1462207846 stage_in_local_local_0_0 JOB_TERMINATED 1713.0 local - 3
1462207846 stage_in_local_local_0_0 JOB_SUCCESS 0 local - 3
1462207846 stage_in_local_local_0_0 POST_SCRIPT_STARTED 1713.0 local - 3
1462207846 stage_in_remote_local_2_1 EXECUTE 1714.0 local - 4
1462207846 stage_in_local_local_1_0 EXECUTE 1717.0 local - 7
1462207846 stage_in_local_local_4_0 EXECUTE 1716.0 local - 6
1462207846 stage_in_local_local_1_1 EXECUTE 1715.0 local - 5
1462207846 stage_in_local_local_4_0 JOB_TERMINATED 1716.0 local - 6
1462207846 stage_in_local_local_4_0 JOB_SUCCESS 0 local - 6
1462207846 stage_in_local_local_4_0 POST_SCRIPT_STARTED 1716.0 local - 6
1462207846 stage_in_local_local_1_1 JOB_TERMINATED 1715.0 local - 5
1462207846 stage_in_local_local_1_1 JOB_SUCCESS 0 local - 5
1462207846 stage_in_local_local_1_1 POST_SCRIPT_STARTED 1715.0 local - 5
1462207846 stage_in_local_local_2_0 SUBMIT 1718.0 local - 8
1462207846 stage_in_local_local_2_1 SUBMIT 1719.0 local - 9
1462207846 stage_in_remote_local_1_1 SUBMIT 1720.0 local - 10
1462207846 stage_in_remote_local_4_0 SUBMIT 1721.0 local - 11
1462207846 stage_in_remote_local_1_0 SUBMIT 1722.0 local - 12
1462207851 stage_in_local_local_0_0 POST_SCRIPT_TERMINATED 1713.0 local - 3
1462207851 stage_in_local_local_0_0 POST_SCRIPT_SUCCESS 0 local - 3
