1478633204 INTERNAL *** MONITORD_STARTED ***
1478633202 INTERNAL *** DAGMAN_STARTED 3513.0 ***
1478633206 create_dir_example_workflow_0_local SUBMIT 3514.0 local - 1
1478633211 create_dir_example_workflow_0_local EXECUTE 3514.0 local - 1
1478633211 create_dir_example_workflow_0_local JOB_TERMINATED 3514.0 local - 1
1478633211 create_dir_example_workflow_0_local JOB_SUCCESS 0 local - 1
1478633211 create_dir_example_workflow_0_local POST_SCRIPT_STARTED 3514.0 local - 1
1478633216 create_dir_example_workflow_0_local POST_SCRIPT_TERMINATED 3514.0 local - 1
1478633216 create_dir_example_workflow_0_local POST_SCRIPT_SUCCESS 0 local - 1
1478633221 stage_in_local_local_0_0 SUBMIT 3515.0 local - 2
1478633221 stage_in_remote_local_2_1 SUBMIT 3516.0 local - 3
1478633221 stage_in_local_local_0_0 EXECUTE 3515.0 local - 2
1478633221 stage_in_local_local_6_0 SUBMIT 3517.0 local - 4
1478633221 stage_in_remote_local_5_1 SUBMIT 3518.0 local - 5
1478633221 stage_in_remote_local_5_0 SUBMIT 3519.0 local - 6
1478633226 stage_in_local_local_0_0 JOB_TERMINATED 3515.0 local - 2
1478633226 stage_in_local_local_0_0 JOB_SUCCESS 0 local - 2
1478633226 stage_in_local_local_0_0 POST_SCRIPT_STARTED 3515.0 local - 2
1478633226 stage_in_remote_local_2_1 EXECUTE 3516.0 local - 3
1478633226 stage_in_remote_local_5_1 EXECUTE 3518.0 local - 5
1478633226 stage_in_remote_local_5_0 EXECUTE 3519.0 local - 6
1478633226 stage_in_local_local_6_0 EXECUTE 3517.0 local - 4
1478633226 stage_in_remote_local_2_1 JOB_TERMINATED 3516.0 local - 3
1478633226 stage_in_remote_local_2_1 JOB_SUCCESS 0 local - 3
1478633226 stage_in_remote_local_2_1 POST_SCRIPT_STARTED 3516.0 local - 3
1478633226 stage_in_local_local_6_0 JOB_TERMINATED 3517.0 local - 4
1478633226 stage_in_local_local_6_0 JOB_SUCCESS 0 local - 4
1478633226 stage_in_local_local_6_0 POST_SCRIPT_STARTED 3517.0 local - 4
1478633226 stage_in_local_local_2_0 SUBMIT 3520.0 local - 7
1478633226 stage_in_local_local_2_1 SUBMIT 3521.0 local - 8
1478633226 stage_in_local_local_2_0 EXECUTE 3520.0 local - 7
1478633226 stage_in_remote_local_1_0 SUBMIT 3522.0 local - 9
1478633226 stage_in_local_local_2_1 EXECUTE 3521.0 local - 8
1478633226 stage_in_local_local_3_1 SUBMIT 3523.0 local - 10
1478633226 stage_in_local_local_5_0 SUBMIT 3524.0 local - 11
1478633231 stage_in_remote_local_2_1 POST_SCRIPT_TERMINATED 3516.0 local - 3
1478633231 stage_in_remote_local_2_1 POST_SCRIPT_SUCCESS 0 local - 3
1478633231 stage_in_local_local_0_0 POST_SCRIPT_TERMINATED 3515.0 local - 2
1478633231 stage_in_local_local_0_0 POST_SCRIPT_SUCCESS 0 local - 2
1478633231 stage_in_local_local_6_0 POST_SCRIPT_TERMINATED 3517.0 local - 4
1478633231 stage_in_local_local_6_0 POST_SCRIPT_SUCCESS 0 local - 4
1478633231 stage_in_remote_local_5_0 JOB_TERMINATED 3519.0 local - 6
1478633231 stage_in_remote_local_5_0 JOB_SUCCESS 0 local - 6
1478633231 stage_in_remote_local_5_0 POST_SCRIPT_STARTED 3519.0 local - 6
1478633231 stage_in_remote_local_1_0 EXECUTE 3522.0 local - 9
1478633231 stage_in_remote_local_5_1 JOB_TERMINATED 3518.0 local - 5
1478633231 stage_in_remote_local_5_1 JOB_SUCCESS 0 local - 5
1478633231 stage_in_remote_local_5_1 POST_SCRIPT_STARTED 3518.0 local - 5
1478633231 stage_in_local_local_3_1 EXECUTE 3523.0 local - 10
1478633231 stage_in_local_local_5_0 EXECUTE 3524.0 local - 11
1478633231 stage_in_local_local_2_1 JOB_TERMINATED 3521.0 local - 8
1478633231 stage_in_local_local_2_1 JOB_SUCCESS 0 local - 8
1478633231 stage_in_local_local_2_1 POST_SCRIPT_STARTED 3521.0 local - 8
1478633231 stage_in_remote_local_1_0 JOB_TERMINATED 3522.0 local - 9
1478633231 stage_in_remote_local_1_0 JOB_SUCCESS 0 local - 9
1478633231 stage_in_remote_local_1_0 POST_SCRIPT_STARTED 3522.0 local - 9
1478633231 stage_in_local_local_2_0 JOB_TERMINATED 3520.0 local - 7
1478633231 stage_in_local_local_2_0 JOB_SUCCESS 0 local - 7
1478633231 stage_in_local_local_2_0 POST_SCRIPT_STARTED 3520.0 local - 7
1478633231 stage_in_local_local_3_0 SUBMIT 3525.0 local - 12
1478633231 stage_in_local_local_5_1 SUBMIT 3526.0 local - 13
1478633231 stage_in_local_local_4_0 SUBMIT 3527.0 local - 14
1478633231 stage_in_local_local_7_0 SUBMIT 3528.0 local - 15
1478633231 stage_in_local_local_4_1 SUBMIT 3529.0 local - 16
1478633236 stage_in_remote_local_1_0 POST_SCRIPT_TERMINATED 3522.0 local - 9
1478633236 stage_in_remote_local_1_0 POST_SCRIPT_SUCCESS 0 local - 9
1478633236 stage_in_remote_local_5_1 POST_SCRIPT_TERMINATED 3518.0 local - 5
1478633236 stage_in_remote_local_5_1 POST_SCRIPT_SUCCESS 0 local - 5
1478633236 stage_in_local_local_2_0 POST_SCRIPT_TERMINATED 3520.0 local - 7
1478633236 stage_in_local_local_2_0 POST_SCRIPT_SUCCESS 0 local - 7
1478633236 stage_in_remote_local_5_0 POST_SCRIPT_TERMINATED 3519.0 local - 6
1478633236 stage_in_remote_local_5_0 POST_SCRIPT_SUCCESS 0 local - 6
1478633236 stage_in_local_local_2_1 POST_SCRIPT_TERMINATED 3521.0 local - 8
1478633236 stage_in_local_local_2_1 POST_SCRIPT_SUCCESS 0 local - 8
1478633236 stage_in_local_local_3_1 JOB_TERMINATED 3523.0 local - 10
1478633236 stage_in_local_local_3_1 JOB_SUCCESS 0 local - 10
1478633236 stage_in_local_local_3_1 POST_SCRIPT_STARTED 3523.0 local - 10
1478633236 stage_in_local_local_4_1 EXECUTE 3529.0 local - 16
1478633236 stage_in_local_local_7_0 EXECUTE 3528.0 local - 15
1478633236 stage_in_local_local_5_0 JOB_TERMINATED 3524.0 local - 11
1478633236 stage_in_local_local_5_0 JOB_SUCCESS 0 local - 11
1478633236 stage_in_local_local_5_0 POST_SCRIPT_STARTED 3524.0 local - 11
1478633236 stage_in_local_local_3_0 EXECUTE 3525.0 local - 12
1478633236 stage_in_local_local_5_1 EXECUTE 3526.0 local - 13
1478633236 stage_in_local_local_4_0 EXECUTE 3527.0 local - 14
1478633236 stage_in_local_local_7_0 JOB_TERMINATED 3528.0 local - 15
1478633236 stage_in_local_local_7_0 JOB_SUCCESS 0 local - 15
1478633236 stage_in_local_local_7_0 POST_SCRIPT_STARTED 3528.0 local - 15
1478633236 stage_in_local_local_1_0 SUBMIT 3530.0 local - 17
1478633236 stage_in_remote_local_4_1 SUBMIT 3531.0 local - 18
1478633236 stage_in_remote_local_4_0 SUBMIT 3532.0 local - 19
1478633236 stage_in_remote_local_2_0 SUBMIT 3533.0 local - 20
1478633236 stage_in_remote_local_3_1 SUBMIT 3534.0 local - 21
1478633241 stage_in_local_local_7_0 POST_SCRIPT_TERMINATED 3528.0 local - 15
1478633241 stage_in_local_local_7_0 POST_SCRIPT_SUCCESS 0 local - 15
1478633241 stage_in_local_local_3_1 POST_SCRIPT_TERMINATED 3523.0 local - 10
1478633241 stage_in_local_local_3_1 POST_SCRIPT_SUCCESS 0 local - 10
1478633241 stage_in_local_local_5_0 POST_SCRIPT_TERMINATED 3524.0 local - 11
1478633241 stage_in_local_local_5_0 POST_SCRIPT_SUCCESS 0 local - 11
1478633241 stage_in_local_local_4_1 JOB_TERMINATED 3529.0 local - 16
1478633241 stage_in_local_local_4_1 JOB_SUCCESS 0 local - 16
1478633241 stage_in_local_local_4_1 POST_SCRIPT_STARTED 3529.0 local - 16
1478633241 stage_in_local_local_5_1 JOB_TERMINATED 3526.0 local - 13
1478633241 stage_in_local_local_5_1 JOB_SUCCESS 0 local - 13
1478633241 stage_in_local_local_5_1 POST_SCRIPT_STARTED 3526.0 local - 13
1478633241 stage_in_local_local_4_0 JOB_TERMINATED 3527.0 local - 14
1478633241 stage_in_local_local_4_0 JOB_SUCCESS 0 local - 14
1478633241 stage_in_local_local_4_0 POST_SCRIPT_STARTED 3527.0 local - 14
1478633241 stage_in_local_local_3_0 JOB_TERMINATED 3525.0 local - 12
1478633241 stage_in_local_local_3_0 JOB_SUCCESS 0 local - 12
1478633241 stage_in_local_local_3_0 POST_SCRIPT_STARTED 3525.0 local - 12
1478633241 stage_in_local_local_1_0 EXECUTE 3530.0 local - 17
1478633241 stage_in_remote_local_4_1 EXECUTE 3531.0 local - 18
1478633241 stage_in_remote_local_4_0 EXECUTE 3532.0 local - 19
1478633241 stage_in_remote_local_2_0 EXECUTE 3533.0 local - 20
1478633241 stage_in_remote_local_3_1 EXECUTE 3534.0 local - 21
1478633241 stage_in_local_local_1_0 JOB_TERMINATED 3530.0 local - 17
1478633241 stage_in_local_local_1_0 JOB_SUCCESS 0 local - 17
1478633241 stage_in_local_local_1_0 POST_SCRIPT_STARTED 3530.0 local - 17
1478633241 stage_in_remote_local_3_0 SUBMIT 3535.0 local - 22
1478633241 stage_in_remote_local_6_0 SUBMIT 3536.0 local - 23
1478633241 init_0_ID0000001 SUBMIT 3537.0 condorpool - 24
1478633246 stage_in_local_local_4_1 POST_SCRIPT_TERMINATED 3529.0 local - 16
1478633246 stage_in_local_local_4_1 POST_SCRIPT_SUCCESS 0 local - 16
1478633246 stage_in_local_local_1_0 POST_SCRIPT_TERMINATED 3530.0 local - 17
1478633246 stage_in_local_local_1_0 POST_SCRIPT_SUCCESS 0 local - 17
1478633246 stage_in_local_local_3_0 POST_SCRIPT_TERMINATED 3525.0 local - 12
1478633246 stage_in_local_local_3_0 POST_SCRIPT_SUCCESS 0 local - 12
1478633246 stage_in_local_local_5_1 POST_SCRIPT_TERMINATED 3526.0 local - 13
1478633246 stage_in_local_local_5_1 POST_SCRIPT_SUCCESS 0 local - 13
1478633246 stage_in_local_local_4_0 POST_SCRIPT_TERMINATED 3527.0 local - 14
1478633246 stage_in_local_local_4_0 POST_SCRIPT_SUCCESS 0 local - 14
1478633246 stage_in_remote_local_2_0 JOB_TERMINATED 3533.0 local - 20
1478633246 stage_in_remote_local_2_0 JOB_SUCCESS 0 local - 20
1478633246 stage_in_remote_local_2_0 POST_SCRIPT_STARTED 3533.0 local - 20
1478633246 stage_in_remote_local_4_1 JOB_TERMINATED 3531.0 local - 18
