1478529008 INTERNAL *** MONITORD_STARTED ***
1478529006 INTERNAL *** DAGMAN_STARTED 2255.0 ***
1478529010 create_dir_example_workflow_0_local SUBMIT 2256.0 local - 1
1478529015 create_dir_example_workflow_0_local EXECUTE 2256.0 local - 1
1478529015 create_dir_example_workflow_0_local JOB_TERMINATED 2256.0 local - 1
1478529015 create_dir_example_workflow_0_local JOB_SUCCESS 0 local - 1
1478529015 create_dir_example_workflow_0_local POST_SCRIPT_STARTED 2256.0 local - 1
1478529020 create_dir_example_workflow_0_local POST_SCRIPT_TERMINATED 2256.0 local - 1
1478529020 create_dir_example_workflow_0_local POST_SCRIPT_SUCCESS 0 local - 1
1478529026 stage_in_local_local_0_0 SUBMIT 2257.0 local - 2
1478529026 stage_in_remote_local_2_1 SUBMIT 2258.0 local - 3
1478529026 stage_in_local_local_0_0 EXECUTE 2257.0 local - 2
1478529026 stage_in_local_local_6_0 SUBMIT 2259.0 local - 4
1478529026 stage_in_remote_local_5_1 SUBMIT 2260.0 local - 5
1478529026 stage_in_remote_local_5_0 SUBMIT 2261.0 local - 6
1478529031 stage_in_local_local_0_0 JOB_TERMINATED 2257.0 local - 2
1478529031 stage_in_local_local_0_0 JOB_SUCCESS 0 local - 2
1478529031 stage_in_local_local_0_0 POST_SCRIPT_STARTED 2257.0 local - 2
1478529031 stage_in_remote_local_2_1 EXECUTE 2258.0 local - 3
1478529031 stage_in_local_local_6_0 EXECUTE 2259.0 local - 4
1478529031 stage_in_remote_local_5_1 EXECUTE 2260.0 local - 5
1478529031 stage_in_remote_local_5_0 EXECUTE 2261.0 local - 6
1478529031 stage_in_remote_local_2_1 JOB_TERMINATED 2258.0 local - 3
1478529031 stage_in_remote_local_2_1 JOB_SUCCESS 0 local - 3
1478529031 stage_in_remote_local_2_1 POST_SCRIPT_STARTED 2258.0 local - 3
1478529031 stage_in_local_local_6_0 JOB_TERMINATED 2259.0 local - 4
1478529031 stage_in_local_local_6_0 JOB_SUCCESS 0 local - 4
