1478622561 INTERNAL *** MONITORD_STARTED ***
1478622559 INTERNAL *** DAGMAN_STARTED 3341.0 ***
1478622563 create_dir_example_workflow_0_local SUBMIT 3342.0 local - 1
1478622568 create_dir_example_workflow_0_local EXECUTE 3342.0 local - 1
1478622568 create_dir_example_workflow_0_local JOB_TERMINATED 3342.0 local - 1
1478622568 create_dir_example_workflow_0_local JOB_SUCCESS 0 local - 1
1478622568 create_dir_example_workflow_0_local POST_SCRIPT_STARTED 3342.0 local - 1
1478622573 create_dir_example_workflow_0_local POST_SCRIPT_TERMINATED 3342.0 local - 1
1478622573 create_dir_example_workflow_0_local POST_SCRIPT_SUCCESS 0 local - 1
1478622578 stage_in_local_local_0_0 SUBMIT 3343.0 local - 2
1478622578 stage_in_remote_local_2_1 SUBMIT 3344.0 local - 3
1478622578 stage_in_local_local_0_0 EXECUTE 3343.0 local - 2
1478622578 stage_in_local_local_6_0 SUBMIT 3345.0 local - 4
1478622578 stage_in_remote_local_5_1 SUBMIT 3346.0 local - 5
1478622578 stage_in_remote_local_5_0 SUBMIT 3347.0 local - 6
1478622583 stage_in_local_local_0_0 JOB_TERMINATED 3343.0 local - 2
1478622583 stage_in_local_local_0_0 JOB_SUCCESS 0 local - 2
1478622583 stage_in_local_local_0_0 POST_SCRIPT_STARTED 3343.0 local - 2
1478622583 stage_in_local_local_6_0 EXECUTE 3345.0 local - 4
1478622583 stage_in_remote_local_2_1 EXECUTE 3344.0 local - 3
1478622583 stage_in_remote_local_5_1 EXECUTE 3346.0 local - 5
1478622583 stage_in_remote_local_5_0 EXECUTE 3347.0 local - 6
1478622583 stage_in_remote_local_2_1 JOB_TERMINATED 3344.0 local - 3
1478622583 stage_in_remote_local_2_1 JOB_SUCCESS 0 local - 3
1478622583 stage_in_remote_local_2_1 POST_SCRIPT_STARTED 3344.0 local - 3
1478622583 stage_in_local_local_6_0 JOB_TERMINATED 3345.0 local - 4
1478622583 stage_in_local_local_6_0 JOB_SUCCESS 0 local - 4
1478622583 stage_in_local_local_6_0 POST_SCRIPT_STARTED 3345.0 local - 4
1478622583 stage_in_local_local_2_0 SUBMIT 3348.0 local - 7
1478622583 stage_in_local_local_2_0 EXECUTE 3348.0 local - 7
1478622583 stage_in_local_local_2_1 SUBMIT 3349.0 local - 8
1478622583 stage_in_remote_local_1_0 SUBMIT 3350.0 local - 9
1478622583 stage_in_local_local_3_1 SUBMIT 3351.0 local - 10
1478622583 stage_in_local_local_5_0 SUBMIT 3352.0 local - 11
1478622588 stage_in_remote_local_2_1 POST_SCRIPT_TERMINATED 3344.0 local - 3
1478622588 stage_in_remote_local_2_1 POST_SCRIPT_SUCCESS 0 local - 3
1478622588 stage_in_local_local_0_0 POST_SCRIPT_TERMINATED 3343.0 local - 2
1478622588 stage_in_local_local_0_0 POST_SCRIPT_SUCCESS 0 local - 2
1478622588 stage_in_local_local_6_0 POST_SCRIPT_TERMINATED 3345.0 local - 4
1478622588 stage_in_local_local_6_0 POST_SCRIPT_SUCCESS 0 local - 4
1478622588 stage_in_remote_local_5_1 JOB_TERMINATED 3346.0 local - 5
1478622588 stage_in_remote_local_5_1 JOB_SUCCESS 0 local - 5
1478622588 stage_in_remote_local_5_1 POST_SCRIPT_STARTED 3346.0 local - 5
1478622588 stage_in_remote_local_5_0 JOB_TERMINATED 3347.0 local - 6
1478622588 stage_in_remote_local_5_0 JOB_SUCCESS 0 local - 6
1478622588 stage_in_remote_local_5_0 POST_SCRIPT_STARTED 3347.0 local - 6
1478622588 stage_in_local_local_5_0 EXECUTE 3352.0 local - 11
1478622588 stage_in_remote_local_1_0 EXECUTE 3350.0 local - 9
1478622588 stage_in_local_local_2_1 EXECUTE 3349.0 local - 8
1478622588 stage_in_local_local_3_1 EXECUTE 3351.0 local - 10
1478622588 stage_in_remote_local_1_0 JOB_TERMINATED 3350.0 local - 9
1478622588 stage_in_remote_local_1_0 JOB_SUCCESS 0 local - 9
1478622588 stage_in_remote_local_1_0 POST_SCRIPT_STARTED 3350.0 local - 9
1478622588 stage_in_local_local_2_0 JOB_TERMINATED 3348.0 local - 7
1478622588 stage_in_local_local_2_0 JOB_SUCCESS 0 local - 7
1478622588 stage_in_local_local_2_0 POST_SCRIPT_STARTED 3348.0 local - 7
1478622588 stage_in_local_local_2_1 JOB_TERMINATED 3349.0 local - 8
1478622588 stage_in_local_local_2_1 JOB_SUCCESS 0 local - 8
1478622588 stage_in_local_local_2_1 POST_SCRIPT_STARTED 3349.0 local - 8
1478622588 stage_in_local_local_3_0 SUBMIT 3353.0 local - 12
1478622588 stage_in_local_local_5_1 SUBMIT 3354.0 local - 13
1478622588 stage_in_local_local_4_0 SUBMIT 3355.0 local - 14
1478622588 stage_in_local_local_7_0 SUBMIT 3356.0 local - 15
1478622588 stage_in_local_local_4_1 SUBMIT 3357.0 local - 16
1478622593 stage_in_local_local_2_0 POST_SCRIPT_TERMINATED 3348.0 local - 7
1478622593 stage_in_local_local_2_0 POST_SCRIPT_SUCCESS 0 local - 7
1478622593 stage_in_local_local_2_1 POST_SCRIPT_TERMINATED 3349.0 local - 8
1478622593 stage_in_local_local_2_1 POST_SCRIPT_SUCCESS 0 local - 8
1478622593 stage_in_remote_local_1_0 POST_SCRIPT_TERMINATED 3350.0 local - 9
1478622593 stage_in_remote_local_1_0 POST_SCRIPT_SUCCESS 0 local - 9
1478622593 stage_in_remote_local_5_0 POST_SCRIPT_TERMINATED 3347.0 local - 6
1478622593 stage_in_remote_local_5_0 POST_SCRIPT_SUCCESS 0 local - 6
1478622593 stage_in_remote_local_5_1 POST_SCRIPT_TERMINATED 3346.0 local - 5
1478622593 stage_in_remote_local_5_1 POST_SCRIPT_SUCCESS 0 local - 5
1478622593 stage_in_local_local_3_1 JOB_TERMINATED 3351.0 local - 10
1478622593 stage_in_local_local_3_1 JOB_SUCCESS 0 local - 10
1478622593 stage_in_local_local_3_1 POST_SCRIPT_STARTED 3351.0 local - 10
1478622593 stage_in_local_local_3_0 EXECUTE 3353.0 local - 12
1478622593 stage_in_local_local_5_1 EXECUTE 3354.0 local - 13
1478622593 stage_in_local_local_5_0 JOB_TERMINATED 3352.0 local - 11
1478622593 stage_in_local_local_5_0 JOB_SUCCESS 0 local - 11
1478622593 stage_in_local_local_5_0 POST_SCRIPT_STARTED 3352.0 local - 11
1478622593 stage_in_local_local_7_0 EXECUTE 3356.0 local - 15
1478622593 stage_in_local_local_4_0 EXECUTE 3355.0 local - 14
1478622593 stage_in_local_local_4_1 EXECUTE 3357.0 local - 16
1478622593 stage_in_local_local_7_0 JOB_TERMINATED 3356.0 local - 15
1478622593 stage_in_local_local_7_0 JOB_SUCCESS 0 local - 15
1478622593 stage_in_local_local_7_0 POST_SCRIPT_STARTED 3356.0 local - 15
1478622593 stage_in_local_local_1_0 SUBMIT 3358.0 local - 17
1478622593 stage_in_remote_local_4_1 SUBMIT 3359.0 local - 18
1478622593 stage_in_remote_local_4_0 SUBMIT 3360.0 local - 19
1478622593 stage_in_remote_local_2_0 SUBMIT 3361.0 local - 20
1478622593 stage_in_remote_local_3_1 SUBMIT 3362.0 local - 21
1478622599 stage_in_local_local_7_0 POST_SCRIPT_TERMINATED 3356.0 local - 15
1478622599 stage_in_local_local_7_0 POST_SCRIPT_SUCCESS 0 local - 15
1478622599 stage_in_local_local_5_0 POST_SCRIPT_TERMINATED 3352.0 local - 11
1478622599 stage_in_local_local_5_0 POST_SCRIPT_SUCCESS 0 local - 11
1478622599 stage_in_local_local_3_1 POST_SCRIPT_TERMINATED 3351.0 local - 10
1478622599 stage_in_local_local_3_1 POST_SCRIPT_SUCCESS 0 local - 10
1478622599 stage_in_local_local_3_0 JOB_TERMINATED 3353.0 local - 12
1478622599 stage_in_local_local_3_0 JOB_SUCCESS 0 local - 12
1478622599 stage_in_local_local_3_0 POST_SCRIPT_STARTED 3353.0 local - 12
1478622599 stage_in_local_local_1_0 EXECUTE 3358.0 local - 17
1478622599 stage_in_local_local_5_1 JOB_TERMINATED 3354.0 local - 13
1478622599 stage_in_local_local_5_1 JOB_SUCCESS 0 local - 13
1478622599 stage_in_local_local_5_1 POST_SCRIPT_STARTED 3354.0 local - 13
1478622599 stage_in_remote_local_4_1 EXECUTE 3359.0 local - 18
1478622599 stage_in_remote_local_4_0 EXECUTE 3360.0 local - 19
1478622599 stage_in_local_local_4_1 JOB_TERMINATED 3357.0 local - 16
1478622599 stage_in_local_local_4_1 JOB_SUCCESS 0 local - 16
1478622599 stage_in_local_local_4_1 POST_SCRIPT_STARTED 3357.0 local - 16
1478622599 stage_in_remote_local_2_0 EXECUTE 3361.0 local - 20
1478622599 stage_in_local_local_4_0 JOB_TERMINATED 3355.0 local - 14
1478622599 stage_in_local_local_4_0 JOB_SUCCESS 0 local - 14
1478622599 stage_in_local_local_4_0 POST_SCRIPT_STARTED 3355.0 local - 14
1478622599 stage_in_remote_local_3_1 EXECUTE 3362.0 local - 21
1478622599 stage_in_local_local_1_0 JOB_TERMINATED 3358.0 local - 17
1478622599 stage_in_local_local_1_0 JOB_SUCCESS 0 local - 17
1478622599 stage_in_local_local_1_0 POST_SCRIPT_STARTED 3358.0 local - 17
1478622599 stage_in_remote_local_3_0 SUBMIT 3363.0 local - 22
1478622599 stage_in_remote_local_6_0 SUBMIT 3364.0 local - 23
1478622599 init_0_ID0000001 SUBMIT 3365.0 condorpool - 24
1478622604 stage_in_remote_local_4_1 JOB_TERMINATED 3359.0 local - 18
1478622604 stage_in_remote_local_4_1 JOB_SUCCESS 0 local - 18
1478622604 stage_in_remote_local_4_1 POST_SCRIPT_STARTED 3359.0 local - 18
1478622604 stage_in_remote_local_3_1 JOB_TERMINATED 3362.0 local - 21
1478622604 stage_in_remote_local_3_1 JOB_SUCCESS 0 local - 21
1478622604 stage_in_remote_local_3_1 POST_SCRIPT_STARTED 3362.0 local - 21
1478622604 stage_in_remote_local_4_0 JOB_TERMINATED 3360.0 local - 19
1478622604 stage_in_remote_local_4_0 JOB_SUCCESS 0 local - 19
1478622604 stage_in_remote_local_4_0 POST_SCRIPT_STARTED 3360.0 local - 19
1478622604 stage_in_remote_local_2_0 JOB_TERMINATED 3361.0 local - 20
1478622604 stage_in_remote_local_2_0 JOB_SUCCESS 0 local - 20
1478622604 stage_in_remote_local_2_0 POST_SCRIPT_STARTED 3361.0 local - 20
1478622604 stage_in_remote_local_3_0 EXECUTE 3363.0 local - 22
1478622604 stage_in_remote_local_6_0 EXECUTE 3364.0 local - 23
1478622604 stage_in_local_local_5_1 POST_SCRIPT_TERMINATED 3354.0 local - 13
1478622604 stage_in_local_local_5_1 POST_SCRIPT_SUCCESS 0 local - 13
1478622604 stage_in_local_local_3_0 POST_SCRIPT_TERMINATED 3353.0 local - 12
1478622604 stage_in_local_local_3_0 POST_SCRIPT_SUCCESS 0 local - 12
1478622604 stage_in_local_local_1_0 POST_SCRIPT_TERMINATED 3358.0 local - 17
1478622604 stage_in_local_local_1_0 POST_SCRIPT_SUCCESS 0 local - 17
1478622604 stage_in_local_local_4_1 POST_SCRIPT_TERMINATED 3357.0 local - 16
1478622604 stage_in_local_local_4_1 POST_SCRIPT_SUCCESS 0 local - 16
1478622604 stage_in_local_local_4_0 POST_SCRIPT_TERMINATED 3355.0 local - 14
1478622604 stage_in_local_local_4_0 POST_SCRIPT_SUCCESS 0 local - 14
1478622604 stage_in_remote_local_6_0 JOB_TERMINATED 3364.0 local - 23
1478622604 stage_in_remote_local_6_0 JOB_SUCCESS 0 local - 23
1478622604 stage_in_remote_local_6_0 POST_SCRIPT_STARTED 3364.0 local - 23
1478622609 stage_in_remote_local_3_0 JOB_TERMINATED 3363.0 local - 22
1478622609 stage_in_remote_local_3_0 JOB_SUCCESS 0 local - 22
1478622609 stage_in_remote_local_3_0 POST_SCRIPT_STARTED 3363.0 local - 22
1478622609 stage_in_remote_local_3_1 POST_SCRIPT_TERMINATED 3362.0 local - 21
