1478568909 INTERNAL *** MONITORD_STARTED ***
1478568907 INTERNAL *** DAGMAN_STARTED 2930.0 ***
1478568911 create_dir_example_workflow_0_local SUBMIT 2931.0 local - 1
1478568916 create_dir_example_workflow_0_local EXECUTE 2931.0 local - 1
1478568916 create_dir_example_workflow_0_local JOB_TERMINATED 2931.0 local - 1
1478568916 create_dir_example_workflow_0_local JOB_SUCCESS 0 local - 1
1478568916 create_dir_example_workflow_0_local POST_SCRIPT_STARTED 2931.0 local - 1
1478568921 create_dir_example_workflow_0_local POST_SCRIPT_TERMINATED 2931.0 local - 1
1478568921 create_dir_example_workflow_0_local POST_SCRIPT_SUCCESS 0 local - 1
1478568927 stage_in_local_local_0_0 SUBMIT 2932.0 local - 2
1478568927 stage_in_local_local_0_0 EXECUTE 2932.0 local - 2
1478568927 stage_in_remote_local_2_1 SUBMIT 2933.0 local - 3
1478568927 stage_in_local_local_6_0 SUBMIT 2934.0 local - 4
1478568927 stage_in_remote_local_5_1 SUBMIT 2935.0 local - 5
1478568927 stage_in_remote_local_5_0 SUBMIT 2936.0 local - 6
1478568932 stage_in_local_local_0_0 JOB_TERMINATED 2932.0 local - 2
1478568932 stage_in_local_local_0_0 JOB_SUCCESS 0 local - 2
1478568932 stage_in_local_local_0_0 POST_SCRIPT_STARTED 2932.0 local - 2
1478568932 stage_in_remote_local_5_0 EXECUTE 2936.0 local - 6
1478568932 stage_in_remote_local_2_1 EXECUTE 2933.0 local - 3
1478568932 stage_in_local_local_6_0 EXECUTE 2934.0 local - 4
1478568932 stage_in_remote_local_5_1 EXECUTE 2935.0 local - 5
1478568932 stage_in_remote_local_2_1 JOB_TERMINATED 2933.0 local - 3
1478568932 stage_in_remote_local_2_1 JOB_SUCCESS 0 local - 3
1478568932 stage_in_remote_local_2_1 POST_SCRIPT_STARTED 2933.0 local - 3
1478568932 stage_in_local_local_6_0 JOB_TERMINATED 2934.0 local - 4
1478568932 stage_in_local_local_6_0 JOB_SUCCESS 0 local - 4
1478568932 stage_in_local_local_6_0 POST_SCRIPT_STARTED 2934.0 local - 4
1478568932 stage_in_local_local_2_0 SUBMIT 2937.0 local - 7
1478568932 stage_in_local_local_2_1 SUBMIT 2938.0 local - 8
1478568932 stage_in_remote_local_1_0 SUBMIT 2939.0 local - 9
1478568932 stage_in_local_local_3_1 SUBMIT 2940.0 local - 10
1478568932 stage_in_local_local_5_0 SUBMIT 2941.0 local - 11
1478568937 stage_in_remote_local_2_1 POST_SCRIPT_TERMINATED 2933.0 local - 3
1478568937 stage_in_remote_local_2_1 POST_SCRIPT_SUCCESS 0 local - 3
1478568937 stage_in_local_local_0_0 POST_SCRIPT_TERMINATED 2932.0 local - 2
1478568937 stage_in_local_local_0_0 POST_SCRIPT_SUCCESS 0 local - 2
1478568937 stage_in_local_local_6_0 POST_SCRIPT_TERMINATED 2934.0 local - 4
1478568937 stage_in_local_local_6_0 POST_SCRIPT_SUCCESS 0 local - 4
1478568937 stage_in_remote_local_5_0 JOB_TERMINATED 2936.0 local - 6
1478568937 stage_in_remote_local_5_0 JOB_SUCCESS 0 local - 6
1478568937 stage_in_remote_local_5_0 POST_SCRIPT_STARTED 2936.0 local - 6
1478568937 stage_in_local_local_2_0 EXECUTE 2937.0 local - 7
1478568937 stage_in_local_local_2_1 EXECUTE 2938.0 local - 8
1478568937 stage_in_local_local_3_1 EXECUTE 2940.0 local - 10
1478568937 stage_in_local_local_5_0 EXECUTE 2941.0 local - 11
1478568937 stage_in_remote_local_1_0 EXECUTE 2939.0 local - 9
1478568937 stage_in_remote_local_5_1 JOB_TERMINATED 2935.0 local - 5
1478568937 stage_in_remote_local_5_1 JOB_SUCCESS 0 local - 5
1478568937 stage_in_remote_local_5_1 POST_SCRIPT_STARTED 2935.0 local - 5
1478568937 stage_in_local_local_2_1 JOB_TERMINATED 2938.0 local - 8
1478568937 stage_in_local_local_2_1 JOB_SUCCESS 0 local - 8
1478568937 stage_in_local_local_2_1 POST_SCRIPT_STARTED 2938.0 local - 8
1478568937 stage_in_remote_local_1_0 JOB_TERMINATED 2939.0 local - 9
1478568937 stage_in_remote_local_1_0 JOB_SUCCESS 0 local - 9
1478568937 stage_in_remote_local_1_0 POST_SCRIPT_STARTED 2939.0 local - 9
1478568937 stage_in_local_local_3_0 SUBMIT 2942.0 local - 12
1478568937 stage_in_local_local_5_1 SUBMIT 2943.0 local - 13
1478568937 stage_in_local_local_4_0 SUBMIT 2944.0 local - 14
