1477344925 INTERNAL *** MONITORD_STARTED ***
1477344923 INTERNAL *** DAGMAN_STARTED 542.0 ***
1477344927 create_dir_example_workflow_0_local SUBMIT 543.0 local - 1
1477344932 create_dir_example_workflow_0_local EXECUTE 543.0 local - 1
1477344932 create_dir_example_workflow_0_local JOB_TERMINATED 543.0 local - 1
1477344932 create_dir_example_workflow_0_local JOB_SUCCESS 0 local - 1
1477344932 create_dir_example_workflow_0_local POST_SCRIPT_STARTED 543.0 local - 1
1477344937 create_dir_example_workflow_0_local POST_SCRIPT_TERMINATED 543.0 local - 1
1477344937 create_dir_example_workflow_0_local POST_SCRIPT_SUCCESS 0 local - 1
1477344943 stage_in_local_local_0_0 SUBMIT 544.0 local - 2
1477344943 stage_in_local_local_6_0 SUBMIT 545.0 local - 3
1477344943 stage_in_local_local_0_0 EXECUTE 544.0 local - 2
1477344943 stage_in_remote_local_2_1 SUBMIT 546.0 local - 4
1477344943 stage_in_remote_local_5_0 SUBMIT 547.0 local - 5
1477344943 stage_in_local_local_2_0 SUBMIT 548.0 local - 6
1477344948 stage_in_local_local_0_0 JOB_TERMINATED 544.0 local - 2
1477344948 stage_in_local_local_0_0 JOB_SUCCESS 0 local - 2
1477344948 stage_in_local_local_0_0 POST_SCRIPT_STARTED 544.0 local - 2
1477344948 stage_in_local_local_6_0 EXECUTE 545.0 local - 3
1477344948 stage_in_local_local_2_0 EXECUTE 548.0 local - 6
1477344948 stage_in_remote_local_5_0 EXECUTE 547.0 local - 5
1477344948 stage_in_remote_local_2_1 EXECUTE 546.0 local - 4
1477344948 stage_in_remote_local_5_0 JOB_TERMINATED 547.0 local - 5
1477344948 stage_in_remote_local_5_0 JOB_SUCCESS 0 local - 5
1477344948 stage_in_remote_local_5_0 POST_SCRIPT_STARTED 547.0 local - 5
1477344948 stage_in_local_local_6_0 JOB_TERMINATED 545.0 local - 3
1477344948 stage_in_local_local_6_0 JOB_SUCCESS 0 local - 3
1477344948 stage_in_local_local_6_0 POST_SCRIPT_STARTED 545.0 local - 3
1477344948 stage_in_remote_local_2_1 JOB_TERMINATED 546.0 local - 4
1477344948 stage_in_remote_local_2_1 JOB_SUCCESS 0 local - 4
1477344948 stage_in_remote_local_2_1 POST_SCRIPT_STARTED 546.0 local - 4
1477344948 stage_in_local_local_2_1 SUBMIT 549.0 local - 7
1477344948 stage_in_remote_local_1_0 SUBMIT 550.0 local - 8
1477344948 stage_in_local_local_3_0 SUBMIT 551.0 local - 9
1477344948 stage_in_local_local_5_0 SUBMIT 552.0 local - 10
1477344948 stage_in_local_local_4_0 SUBMIT 553.0 local - 11
1477344953 stage_in_local_local_6_0 POST_SCRIPT_TERMINATED 545.0 local - 3
1477344953 stage_in_local_local_6_0 POST_SCRIPT_SUCCESS 0 local - 3
1477344953 stage_in_remote_local_2_1 POST_SCRIPT_TERMINATED 546.0 local - 4
1477344953 stage_in_remote_local_2_1 POST_SCRIPT_SUCCESS 0 local - 4
1477344953 stage_in_local_local_0_0 POST_SCRIPT_TERMINATED 544.0 local - 2
1477344953 stage_in_local_local_0_0 POST_SCRIPT_SUCCESS 0 local - 2
1477344953 stage_in_remote_local_5_0 POST_SCRIPT_TERMINATED 547.0 local - 5
1477344953 stage_in_remote_local_5_0 POST_SCRIPT_SUCCESS 0 local - 5
1477344953 stage_in_local_local_2_0 JOB_TERMINATED 548.0 local - 6
1477344953 stage_in_local_local_2_0 JOB_SUCCESS 0 local - 6
1477344953 stage_in_local_local_2_0 POST_SCRIPT_STARTED 548.0 local - 6
1477344953 stage_in_remote_local_1_0 EXECUTE 550.0 local - 8
1477344953 stage_in_local_local_3_0 EXECUTE 551.0 local - 9
1477344953 stage_in_local_local_4_0 EXECUTE 553.0 local - 11
1477344953 stage_in_local_local_2_1 EXECUTE 549.0 local - 7
1477344953 stage_in_local_local_5_0 EXECUTE 552.0 local - 10
1477344953 stage_in_remote_local_1_0 JOB_TERMINATED 550.0 local - 8
1477344953 stage_in_remote_local_1_0 JOB_SUCCESS 0 local - 8
1477344953 stage_in_remote_local_1_0 POST_SCRIPT_STARTED 550.0 local - 8
1477344953 stage_in_local_local_4_0 JOB_TERMINATED 553.0 local - 11
1477344953 stage_in_local_local_4_0 JOB_SUCCESS 0 local - 11
1477344953 stage_in_local_local_4_0 POST_SCRIPT_STARTED 553.0 local - 11
