1477369808 INTERNAL *** MONITORD_STARTED ***
1477369807 INTERNAL *** DAGMAN_STARTED 808.0 ***
1477369811 create_dir_example_workflow_0_local SUBMIT 809.0 local - 1
1477369816 create_dir_example_workflow_0_local EXECUTE 809.0 local - 1
1477369816 create_dir_example_workflow_0_local JOB_TERMINATED 809.0 local - 1
1477369816 create_dir_example_workflow_0_local JOB_SUCCESS 0 local - 1
1477369816 create_dir_example_workflow_0_local POST_SCRIPT_STARTED 809.0 local - 1
1477369821 create_dir_example_workflow_0_local POST_SCRIPT_TERMINATED 809.0 local - 1
1477369821 create_dir_example_workflow_0_local POST_SCRIPT_SUCCESS 0 local - 1
1477369826 stage_in_local_local_0_0 SUBMIT 810.0 local - 2
1477369826 stage_in_local_local_0_0 EXECUTE 810.0 local - 2
1477369826 stage_in_local_local_6_0 SUBMIT 811.0 local - 3
1477369826 stage_in_remote_local_2_1 SUBMIT 812.0 local - 4
1477369826 stage_in_remote_local_5_1 SUBMIT 813.0 local - 5
1477369826 stage_in_remote_local_5_0 SUBMIT 814.0 local - 6
1477369832 stage_in_local_local_0_0 JOB_TERMINATED 810.0 local - 2
1477369832 stage_in_local_local_0_0 JOB_SUCCESS 0 local - 2
1477369832 stage_in_local_local_0_0 POST_SCRIPT_STARTED 810.0 local - 2
1477369832 stage_in_remote_local_5_0 EXECUTE 814.0 local - 6
1477369832 stage_in_remote_local_2_1 EXECUTE 812.0 local - 4
1477369832 stage_in_local_local_6_0 EXECUTE 811.0 local - 3
1477369832 stage_in_remote_local_5_1 EXECUTE 813.0 local - 5
1477369832 stage_in_remote_local_2_1 JOB_TERMINATED 812.0 local - 4
1477369832 stage_in_remote_local_2_1 JOB_SUCCESS 0 local - 4
1477369832 stage_in_remote_local_2_1 POST_SCRIPT_STARTED 812.0 local - 4
1477369832 stage_in_remote_local_5_1 JOB_TERMINATED 813.0 local - 5
1477369832 stage_in_remote_local_5_1 JOB_SUCCESS 0 local - 5
1477369832 stage_in_remote_local_5_1 POST_SCRIPT_STARTED 813.0 local - 5
1477369832 stage_in_local_local_6_0 JOB_TERMINATED 811.0 local - 3
1477369832 stage_in_local_local_6_0 JOB_SUCCESS 0 local - 3
1477369832 stage_in_local_local_6_0 POST_SCRIPT_STARTED 811.0 local - 3
1477369832 stage_in_local_local_2_0 SUBMIT 815.0 local - 7
1477369832 stage_in_local_local_2_0 EXECUTE 815.0 local - 7
1477369832 stage_in_local_local_2_1 SUBMIT 816.0 local - 8
1477369832 stage_in_local_local_3_1 SUBMIT 817.0 local - 9
1477369832 stage_in_local_local_2_1 EXECUTE 816.0 local - 8
1477369832 stage_in_local_local_3_1 EXECUTE 817.0 local - 9
1477369832 stage_in_remote_local_1_0 SUBMIT 818.0 local - 10
1477369832 stage_in_local_local_3_0 SUBMIT 819.0 local - 11
1477369837 stage_in_local_local_6_0 POST_SCRIPT_TERMINATED 811.0 local - 3
1477369837 stage_in_local_local_6_0 POST_SCRIPT_SUCCESS 0 local - 3
1477369837 stage_in_local_local_0_0 POST_SCRIPT_TERMINATED 810.0 local - 2
1477369837 stage_in_local_local_0_0 POST_SCRIPT_SUCCESS 0 local - 2
1477369837 stage_in_remote_local_2_1 POST_SCRIPT_TERMINATED 812.0 local - 4
1477369837 stage_in_remote_local_2_1 POST_SCRIPT_SUCCESS 0 local - 4
1477369837 stage_in_remote_local_5_1 POST_SCRIPT_TERMINATED 813.0 local - 5
1477369837 stage_in_remote_local_5_1 POST_SCRIPT_SUCCESS 0 local - 5
1477369837 stage_in_remote_local_5_0 JOB_TERMINATED 814.0 local - 6
1477369837 stage_in_remote_local_5_0 JOB_SUCCESS 0 local - 6
1477369837 stage_in_remote_local_5_0 POST_SCRIPT_STARTED 814.0 local - 6
1477369837 stage_in_remote_local_1_0 EXECUTE 818.0 local - 10
1477369837 stage_in_local_local_3_0 EXECUTE 819.0 local - 11
1477369837 stage_in_local_local_2_1 JOB_TERMINATED 816.0 local - 8
1477369837 stage_in_local_local_2_1 JOB_SUCCESS 0 local - 8
1477369837 stage_in_local_local_2_1 POST_SCRIPT_STARTED 816.0 local - 8
1477369837 stage_in_local_local_3_1 JOB_TERMINATED 817.0 local - 9
1477369837 stage_in_local_local_3_1 JOB_SUCCESS 0 local - 9
1477369837 stage_in_local_local_3_1 POST_SCRIPT_STARTED 817.0 local - 9
1477369837 stage_in_remote_local_1_0 JOB_TERMINATED 818.0 local - 10
