1478402108 INTERNAL *** MONITORD_STARTED ***
1478402113 INTERNAL *** DAGMAN_STARTED 967.0 ***
1478402117 create_dir_example_workflow_0_local SUBMIT 968.0 local - 1
1478402122 create_dir_example_workflow_0_local EXECUTE 968.0 local - 1
1478402122 create_dir_example_workflow_0_local JOB_TERMINATED 968.0 local - 1
1478402122 create_dir_example_workflow_0_local JOB_SUCCESS 0 local - 1
1478402122 create_dir_example_workflow_0_local POST_SCRIPT_STARTED 968.0 local - 1
1478402127 create_dir_example_workflow_0_local POST_SCRIPT_TERMINATED 968.0 local - 1
1478402127 create_dir_example_workflow_0_local POST_SCRIPT_SUCCESS 0 local - 1
1478402133 stage_in_local_local_0_0 SUBMIT 969.0 local - 2
1478402133 stage_in_local_local_6_0 SUBMIT 970.0 local - 3
1478402133 stage_in_local_local_0_0 EXECUTE 969.0 local - 2
1478402133 stage_in_remote_local_2_1 SUBMIT 971.0 local - 4
1478402133 stage_in_remote_local_5_0 SUBMIT 972.0 local - 5
1478402133 stage_in_local_local_2_0 SUBMIT 973.0 local - 6
1478402138 stage_in_local_local_0_0 JOB_TERMINATED 969.0 local - 2
1478402138 stage_in_local_local_0_0 JOB_SUCCESS 0 local - 2
1478402138 stage_in_local_local_0_0 POST_SCRIPT_STARTED 969.0 local - 2
1478402138 stage_in_local_local_6_0 EXECUTE 970.0 local - 3
1478402138 stage_in_local_local_2_0 EXECUTE 973.0 local - 6
1478402138 stage_in_remote_local_5_0 EXECUTE 972.0 local - 5
1478402138 stage_in_remote_local_2_1 EXECUTE 971.0 local - 4
1478402138 stage_in_remote_local_2_1 JOB_TERMINATED 971.0 local - 4
1478402138 stage_in_remote_local_2_1 JOB_SUCCESS 0 local - 4
1478402138 stage_in_remote_local_2_1 POST_SCRIPT_STARTED 971.0 local - 4
1478402138 stage_in_local_local_6_0 JOB_TERMINATED 970.0 local - 3
1478402138 stage_in_local_local_6_0 JOB_SUCCESS 0 local - 3
1478402138 stage_in_local_local_6_0 POST_SCRIPT_STARTED 970.0 local - 3
1478402138 stage_in_remote_local_5_0 JOB_TERMINATED 972.0 local - 5
1478402138 stage_in_remote_local_5_0 JOB_SUCCESS 0 local - 5
1478402138 stage_in_remote_local_5_0 POST_SCRIPT_STARTED 972.0 local - 5
1478402138 stage_in_local_local_2_1 SUBMIT 974.0 local - 7
1478402138 stage_in_remote_local_1_0 SUBMIT 975.0 local - 8
1478402138 stage_in_local_local_3_0 SUBMIT 976.0 local - 9
1478402138 stage_in_local_local_5_0 SUBMIT 977.0 local - 10
1478402138 stage_in_local_local_4_0 SUBMIT 978.0 local - 11
1478402143 stage_in_local_local_6_0 POST_SCRIPT_TERMINATED 970.0 local - 3
1478402143 stage_in_local_local_6_0 POST_SCRIPT_SUCCESS 0 local - 3
1478402143 stage_in_local_local_0_0 POST_SCRIPT_TERMINATED 969.0 local - 2
1478402143 stage_in_local_local_0_0 POST_SCRIPT_SUCCESS 0 local - 2
1478402143 stage_in_remote_local_2_1 POST_SCRIPT_TERMINATED 971.0 local - 4
1478402143 stage_in_remote_local_2_1 POST_SCRIPT_SUCCESS 0 local - 4
1478402143 stage_in_remote_local_5_0 POST_SCRIPT_TERMINATED 972.0 local - 5
1478402143 stage_in_remote_local_5_0 POST_SCRIPT_SUCCESS 0 local - 5
1478402143 stage_in_local_local_2_0 JOB_TERMINATED 973.0 local - 6
1478402143 stage_in_local_local_2_0 JOB_SUCCESS 0 local - 6
1478402143 stage_in_local_local_2_0 POST_SCRIPT_STARTED 973.0 local - 6
1478402143 stage_in_local_local_3_0 EXECUTE 976.0 local - 9
1478402143 stage_in_local_local_2_1 EXECUTE 974.0 local - 7
1478402143 stage_in_local_local_4_0 EXECUTE 978.0 local - 11
1478402143 stage_in_remote_local_1_0 EXECUTE 975.0 local - 8
1478402143 stage_in_local_local_5_0 EXECUTE 977.0 local - 10
1478402143 stage_in_local_local_5_0 JOB_TERMINATED 977.0 local - 10
1478402143 stage_in_local_local_5_0 JOB_SUCCESS 0 local - 10
