1478628927 INTERNAL *** MONITORD_STARTED ***
1478628925 INTERNAL *** DAGMAN_STARTED 3473.0 ***
1478628929 create_dir_example_workflow_0_local SUBMIT 3474.0 local - 1
1478628934 create_dir_example_workflow_0_local EXECUTE 3474.0 local - 1
1478628934 create_dir_example_workflow_0_local JOB_TERMINATED 3474.0 local - 1
1478628934 create_dir_example_workflow_0_local JOB_SUCCESS 0 local - 1
1478628934 create_dir_example_workflow_0_local POST_SCRIPT_STARTED 3474.0 local - 1
1478628939 create_dir_example_workflow_0_local POST_SCRIPT_TERMINATED 3474.0 local - 1
1478628939 create_dir_example_workflow_0_local POST_SCRIPT_SUCCESS 0 local - 1
1478628945 stage_in_local_local_0_0 SUBMIT 3475.0 local - 2
1478628945 stage_in_local_local_6_0 SUBMIT 3476.0 local - 3
1478628945 stage_in_local_local_0_0 EXECUTE 3475.0 local - 2
1478628945 stage_in_remote_local_2_1 SUBMIT 3477.0 local - 4
1478628945 stage_in_remote_local_5_0 SUBMIT 3478.0 local - 5
1478628945 stage_in_local_local_2_0 SUBMIT 3479.0 local - 6
1478628950 stage_in_local_local_0_0 JOB_TERMINATED 3475.0 local - 2
1478628950 stage_in_local_local_0_0 JOB_SUCCESS 0 local - 2
1478628950 stage_in_local_local_0_0 POST_SCRIPT_STARTED 3475.0 local - 2
1478628950 stage_in_remote_local_5_0 EXECUTE 3478.0 local - 5
1478628950 stage_in_local_local_2_0 EXECUTE 3479.0 local - 6
1478628950 stage_in_remote_local_2_1 EXECUTE 3477.0 local - 4
1478628950 stage_in_local_local_6_0 EXECUTE 3476.0 local - 3
1478628950 stage_in_remote_local_5_0 JOB_TERMINATED 3478.0 local - 5
1478628950 stage_in_remote_local_5_0 JOB_SUCCESS 0 local - 5
1478628950 stage_in_remote_local_5_0 POST_SCRIPT_STARTED 3478.0 local - 5
1478628950 stage_in_remote_local_2_1 JOB_TERMINATED 3477.0 local - 4
1478628950 stage_in_remote_local_2_1 JOB_SUCCESS 0 local - 4
1478628950 stage_in_remote_local_2_1 POST_SCRIPT_STARTED 3477.0 local - 4
1478628950 stage_in_local_local_6_0 JOB_TERMINATED 3476.0 local - 3
1478628950 stage_in_local_local_6_0 JOB_SUCCESS 0 local - 3
1478628950 stage_in_local_local_6_0 POST_SCRIPT_STARTED 3476.0 local - 3
1478628950 stage_in_local_local_2_1 SUBMIT 3480.0 local - 7
1478628950 stage_in_local_local_2_1 EXECUTE 3480.0 local - 7
1478628950 stage_in_remote_local_1_0 SUBMIT 3481.0 local - 8
1478628950 stage_in_local_local_3_0 SUBMIT 3482.0 local - 9
1478628950 stage_in_remote_local_1_0 EXECUTE 3481.0 local - 8
1478628950 stage_in_local_local_3_0 EXECUTE 3482.0 local - 9
1478628950 stage_in_local_local_5_0 SUBMIT 3483.0 local - 10
1478628950 stage_in_local_local_4_0 SUBMIT 3484.0 local - 11
1478628955 stage_in_local_local_6_0 POST_SCRIPT_TERMINATED 3476.0 local - 3
1478628955 stage_in_local_local_6_0 POST_SCRIPT_SUCCESS 0 local - 3
1478628955 stage_in_local_local_0_0 POST_SCRIPT_TERMINATED 3475.0 local - 2
1478628955 stage_in_local_local_0_0 POST_SCRIPT_SUCCESS 0 local - 2
1478628955 stage_in_remote_local_5_0 POST_SCRIPT_TERMINATED 3478.0 local - 5
1478628955 stage_in_remote_local_5_0 POST_SCRIPT_SUCCESS 0 local - 5
1478628955 stage_in_remote_local_2_1 POST_SCRIPT_TERMINATED 3477.0 local - 4
1478628955 stage_in_remote_local_2_1 POST_SCRIPT_SUCCESS 0 local - 4
1478628955 stage_in_local_local_2_0 JOB_TERMINATED 3479.0 local - 6
1478628955 stage_in_local_local_2_0 JOB_SUCCESS 0 local - 6
1478628955 stage_in_local_local_2_0 POST_SCRIPT_STARTED 3479.0 local - 6
1478628955 stage_in_local_local_4_0 EXECUTE 3484.0 local - 11
1478628955 stage_in_local_local_5_0 EXECUTE 3483.0 local - 10
1478628955 stage_in_local_local_2_1 JOB_TERMINATED 3480.0 local - 7
1478628955 stage_in_local_local_2_1 JOB_SUCCESS 0 local - 7
1478628955 stage_in_local_local_2_1 POST_SCRIPT_STARTED 3480.0 local - 7
1478628955 stage_in_remote_local_1_0 JOB_TERMINATED 3481.0 local - 8
1478628955 stage_in_remote_local_1_0 JOB_SUCCESS 0 local - 8
1478628955 stage_in_remote_local_1_0 POST_SCRIPT_STARTED 3481.0 local - 8
1478628955 stage_in_local_local_3_0 JOB_TERMINATED 3482.0 local - 9
1478628955 stage_in_local_local_3_0 JOB_SUCCESS 0 local - 9
1478628955 stage_in_local_local_3_0 POST_SCRIPT_STARTED 3482.0 local - 9
1478628955 stage_in_local_local_4_0 JOB_TERMINATED 3484.0 local - 11
1478628955 stage_in_local_local_4_0 JOB_SUCCESS 0 local - 11
1478628955 stage_in_local_local_4_0 POST_SCRIPT_STARTED 3484.0 local - 11
1478628955 stage_in_local_local_5_0 JOB_TERMINATED 3483.0 local - 10
1478628955 stage_in_local_local_5_0 JOB_SUCCESS 0 local - 10
1478628955 stage_in_local_local_5_0 POST_SCRIPT_STARTED 3483.0 local - 10
1478628955 stage_in_local_local_7_0 SUBMIT 3485.0 local - 12
1478628955 stage_in_local_local_1_0 SUBMIT 3486.0 local - 13
1478628955 stage_in_remote_local_4_1 SUBMIT 3487.0 local - 14
1478628955 stage_in_remote_local_4_0 SUBMIT 3488.0 local - 15
1478628955 stage_in_remote_local_2_0 SUBMIT 3489.0 local - 16
1478628961 stage_in_remote_local_1_0 POST_SCRIPT_TERMINATED 3481.0 local - 8
1478628961 stage_in_remote_local_1_0 POST_SCRIPT_SUCCESS 0 local - 8
1478628961 stage_in_local_local_2_0 POST_SCRIPT_TERMINATED 3479.0 local - 6
1478628961 stage_in_local_local_2_0 POST_SCRIPT_SUCCESS 0 local - 6
1478628961 stage_in_local_local_4_0 POST_SCRIPT_TERMINATED 3484.0 local - 11
1478628961 stage_in_local_local_4_0 POST_SCRIPT_SUCCESS 0 local - 11
1478628961 stage_in_local_local_2_1 POST_SCRIPT_TERMINATED 3480.0 local - 7
1478628961 stage_in_local_local_2_1 POST_SCRIPT_SUCCESS 0 local - 7
1478628961 stage_in_local_local_5_0 POST_SCRIPT_TERMINATED 3483.0 local - 10
1478628961 stage_in_local_local_5_0 POST_SCRIPT_SUCCESS 0 local - 10
1478628961 stage_in_local_local_3_0 POST_SCRIPT_TERMINATED 3482.0 local - 9
1478628961 stage_in_local_local_3_0 POST_SCRIPT_SUCCESS 0 local - 9
1478628961 stage_in_local_local_7_0 EXECUTE 3485.0 local - 12
1478628961 stage_in_local_local_1_0 EXECUTE 3486.0 local - 13
1478628961 stage_in_remote_local_4_1 EXECUTE 3487.0 local - 14
1478628961 stage_in_remote_local_4_0 EXECUTE 3488.0 local - 15
1478628961 stage_in_remote_local_2_0 EXECUTE 3489.0 local - 16
1478628961 stage_in_remote_local_3_1 SUBMIT 3490.0 local - 17
1478628961 stage_in_remote_local_3_0 SUBMIT 3491.0 local - 18
1478628961 stage_in_remote_local_6_0 SUBMIT 3492.0 local - 19
1478628961 init_0_ID0000001 SUBMIT 3493.0 condorpool - 20
1478628966 stage_in_local_local_7_0 JOB_TERMINATED 3485.0 local - 12
1478628966 stage_in_local_local_7_0 JOB_SUCCESS 0 local - 12
1478628966 stage_in_local_local_7_0 POST_SCRIPT_STARTED 3485.0 local - 12
1478628966 stage_in_remote_local_3_0 EXECUTE 3491.0 local - 18
1478628966 stage_in_remote_local_6_0 EXECUTE 3492.0 local - 19
1478628966 stage_in_remote_local_3_1 EXECUTE 3490.0 local - 17
1478628966 stage_in_local_local_1_0 JOB_TERMINATED 3486.0 local - 13
1478628966 stage_in_local_local_1_0 JOB_SUCCESS 0 local - 13
1478628966 stage_in_local_local_1_0 POST_SCRIPT_STARTED 3486.0 local - 13
1478628966 stage_in_remote_local_4_1 JOB_TERMINATED 3487.0 local - 14
1478628966 stage_in_remote_local_4_1 JOB_SUCCESS 0 local - 14
1478628966 stage_in_remote_local_4_1 POST_SCRIPT_STARTED 3487.0 local - 14
1478628966 stage_in_remote_local_4_0 JOB_TERMINATED 3488.0 local - 15
1478628966 stage_in_remote_local_4_0 JOB_SUCCESS 0 local - 15
1478628966 stage_in_remote_local_4_0 POST_SCRIPT_STARTED 3488.0 local - 15
1478628966 stage_in_remote_local_2_0 JOB_TERMINATED 3489.0 local - 16
1478628966 stage_in_remote_local_2_0 JOB_SUCCESS 0 local - 16
1478628966 stage_in_remote_local_2_0 POST_SCRIPT_STARTED 3489.0 local - 16
1478628966 stage_in_remote_local_3_1 JOB_TERMINATED 3490.0 local - 17
1478628966 stage_in_remote_local_3_1 JOB_SUCCESS 0 local - 17
1478628966 stage_in_remote_local_3_1 POST_SCRIPT_STARTED 3490.0 local - 17
1478628966 stage_in_remote_local_6_0 JOB_TERMINATED 3492.0 local - 19
1478628966 stage_in_remote_local_6_0 JOB_SUCCESS 0 local - 19
1478628966 stage_in_remote_local_6_0 POST_SCRIPT_STARTED 3492.0 local - 19
1478628971 stage_in_remote_local_2_0 POST_SCRIPT_TERMINATED 3489.0 local - 16
1478628971 stage_in_remote_local_2_0 POST_SCRIPT_SUCCESS 0 local - 16
1478628971 stage_in_local_local_7_0 POST_SCRIPT_TERMINATED 3485.0 local - 12
1478628971 stage_in_local_local_7_0 POST_SCRIPT_SUCCESS 0 local - 12
1478628971 stage_in_local_local_1_0 POST_SCRIPT_TERMINATED 3486.0 local - 13
1478628971 stage_in_local_local_1_0 POST_SCRIPT_SUCCESS 0 local - 13
1478628971 stage_in_remote_local_4_1 POST_SCRIPT_TERMINATED 3487.0 local - 14
1478628971 stage_in_remote_local_4_1 POST_SCRIPT_SUCCESS 0 local - 14
1478628971 stage_in_remote_local_4_0 POST_SCRIPT_TERMINATED 3488.0 local - 15
1478628971 stage_in_remote_local_4_0 POST_SCRIPT_SUCCESS 0 local - 15
1478628971 stage_in_remote_local_3_1 POST_SCRIPT_TERMINATED 3490.0 local - 17
1478628971 stage_in_remote_local_3_1 POST_SCRIPT_SUCCESS 0 local - 17
1478628971 stage_in_remote_local_6_0 POST_SCRIPT_TERMINATED 3492.0 local - 19
1478628971 stage_in_remote_local_6_0 POST_SCRIPT_SUCCESS 0 local - 19
1478628971 stage_in_remote_local_3_0 JOB_TERMINATED 3491.0 local - 18
1478628971 stage_in_remote_local_3_0 JOB_SUCCESS 0 local - 18
1478628971 stage_in_remote_local_3_0 POST_SCRIPT_STARTED 3491.0 local - 18
1478628976 stage_in_remote_local_3_0 POST_SCRIPT_TERMINATED 3491.0 local - 18
1478628976 stage_in_remote_local_3_0 POST_SCRIPT_SUCCESS 0 local - 18
