1478443508 INTERNAL *** MONITORD_STARTED ***
1478443514 INTERNAL *** DAGMAN_STARTED 1367.0 ***
1478443518 create_dir_example_workflow_0_local SUBMIT 1368.0 local - 1
1478443523 create_dir_example_workflow_0_local EXECUTE 1368.0 local - 1
1478443523 create_dir_example_workflow_0_local JOB_TERMINATED 1368.0 local - 1
1478443523 create_dir_example_workflow_0_local JOB_SUCCESS 0 local - 1
1478443523 create_dir_example_workflow_0_local POST_SCRIPT_STARTED 1368.0 local - 1
1478443528 create_dir_example_workflow_0_local POST_SCRIPT_TERMINATED 1368.0 local - 1
1478443528 create_dir_example_workflow_0_local POST_SCRIPT_SUCCESS 0 local - 1
1478443533 stage_in_local_local_0_0 SUBMIT 1369.0 local - 2
1478443533 stage_in_local_local_6_0 SUBMIT 1370.0 local - 3
1478443533 stage_in_local_local_0_0 EXECUTE 1369.0 local - 2
1478443533 stage_in_remote_local_2_1 SUBMIT 1371.0 local - 4
1478443533 stage_in_remote_local_5_0 SUBMIT 1372.0 local - 5
1478443533 stage_in_local_local_2_0 SUBMIT 1373.0 local - 6
1478443539 stage_in_local_local_0_0 JOB_TERMINATED 1369.0 local - 2
1478443539 stage_in_local_local_0_0 JOB_SUCCESS 0 local - 2
1478443539 stage_in_local_local_0_0 POST_SCRIPT_STARTED 1369.0 local - 2
1478443539 stage_in_local_local_6_0 EXECUTE 1370.0 local - 3
1478443539 stage_in_remote_local_2_1 EXECUTE 1371.0 local - 4
1478443539 stage_in_remote_local_5_0 EXECUTE 1372.0 local - 5
1478443539 stage_in_local_local_2_0 EXECUTE 1373.0 local - 6
1478443539 stage_in_local_local_6_0 JOB_TERMINATED 1370.0 local - 3
1478443539 stage_in_local_local_6_0 JOB_SUCCESS 0 local - 3
1478443539 stage_in_local_local_6_0 POST_SCRIPT_STARTED 1370.0 local - 3
1478443539 stage_in_remote_local_5_0 JOB_TERMINATED 1372.0 local - 5
1478443539 stage_in_remote_local_5_0 JOB_SUCCESS 0 local - 5
1478443539 stage_in_remote_local_5_0 POST_SCRIPT_STARTED 1372.0 local - 5
1478443539 stage_in_remote_local_2_1 JOB_TERMINATED 1371.0 local - 4
1478443539 stage_in_remote_local_2_1 JOB_SUCCESS 0 local - 4
1478443539 stage_in_remote_local_2_1 POST_SCRIPT_STARTED 1371.0 local - 4
1478443539 stage_in_local_local_2_1 SUBMIT 1374.0 local - 7
1478443539 stage_in_remote_local_1_0 SUBMIT 1375.0 local - 8
1478443539 stage_in_local_local_3_0 SUBMIT 1376.0 local - 9
1478443539 stage_in_local_local_5_0 SUBMIT 1377.0 local - 10
1478443539 stage_in_local_local_4_0 SUBMIT 1378.0 local - 11
1478443545 stage_in_remote_local_5_0 POST_SCRIPT_TERMINATED 1372.0 local - 5
1478443545 stage_in_remote_local_5_0 POST_SCRIPT_SUCCESS 0 local - 5
1478443545 stage_in_local_local_0_0 POST_SCRIPT_TERMINATED 1369.0 local - 2
1478443545 stage_in_local_local_0_0 POST_SCRIPT_SUCCESS 0 local - 2
1478443545 stage_in_remote_local_2_1 POST_SCRIPT_TERMINATED 1371.0 local - 4
1478443545 stage_in_remote_local_2_1 POST_SCRIPT_SUCCESS 0 local - 4
1478443545 stage_in_local_local_6_0 POST_SCRIPT_TERMINATED 1370.0 local - 3
1478443545 stage_in_local_local_6_0 POST_SCRIPT_SUCCESS 0 local - 3
1478443545 stage_in_local_local_2_0 JOB_TERMINATED 1373.0 local - 6
1478443545 stage_in_local_local_2_0 JOB_SUCCESS 0 local - 6
1478443545 stage_in_local_local_2_0 POST_SCRIPT_STARTED 1373.0 local - 6
1478443545 stage_in_local_local_2_1 EXECUTE 1374.0 local - 7
1478443545 stage_in_remote_local_1_0 EXECUTE 1375.0 local - 8
1478443545 stage_in_local_local_5_0 EXECUTE 1377.0 local - 10
1478443545 stage_in_local_local_3_0 EXECUTE 1376.0 local - 9
1478443545 stage_in_local_local_4_0 EXECUTE 1378.0 local - 11
1478443545 stage_in_local_local_2_1 JOB_TERMINATED 1374.0 local - 7
1478443545 stage_in_local_local_2_1 JOB_SUCCESS 0 local - 7
1478443545 stage_in_local_local_2_1 POST_SCRIPT_STARTED 1374.0 local - 7
1478443545 stage_in_remote_local_1_0 JOB_TERMINATED 1375.0 local - 8
1478443545 stage_in_remote_local_1_0 JOB_SUCCESS 0 local - 8
1478443545 stage_in_remote_local_1_0 POST_SCRIPT_STARTED 1375.0 local - 8
1478443545 stage_in_local_local_3_0 JOB_TERMINATED 1376.0 local - 9
1478443545 stage_in_local_local_3_0 JOB_SUCCESS 0 local - 9
1478443545 stage_in_local_local_3_0 POST_SCRIPT_STARTED 1376.0 local - 9
1478443545 stage_in_local_local_5_0 JOB_TERMINATED 1377.0 local - 10
1478443545 stage_in_local_local_5_0 JOB_SUCCESS 0 local - 10
1478443545 stage_in_local_local_5_0 POST_SCRIPT_STARTED 1377.0 local - 10
1478443545 stage_in_local_local_4_0 JOB_TERMINATED 1378.0 local - 11
1478443545 stage_in_local_local_4_0 JOB_SUCCESS 0 local - 11
1478443545 stage_in_local_local_4_0 POST_SCRIPT_STARTED 1378.0 local - 11
1478443545 stage_in_local_local_7_0 SUBMIT 1379.0 local - 12
1478443545 stage_in_local_local_1_0 SUBMIT 1380.0 local - 13
1478443545 stage_in_remote_local_4_1 SUBMIT 1381.0 local - 14
1478443545 stage_in_remote_local_4_0 SUBMIT 1382.0 local - 15
1478443545 stage_in_remote_local_2_0 SUBMIT 1383.0 local - 16
1478443551 stage_in_local_local_2_0 POST_SCRIPT_TERMINATED 1373.0 local - 6
1478443551 stage_in_local_local_2_0 POST_SCRIPT_SUCCESS 0 local - 6
1478443551 stage_in_local_local_2_1 POST_SCRIPT_TERMINATED 1374.0 local - 7
1478443551 stage_in_local_local_2_1 POST_SCRIPT_SUCCESS 0 local - 7
1478443551 stage_in_remote_local_1_0 POST_SCRIPT_TERMINATED 1375.0 local - 8
1478443551 stage_in_remote_local_1_0 POST_SCRIPT_SUCCESS 0 local - 8
1478443551 stage_in_local_local_3_0 POST_SCRIPT_TERMINATED 1376.0 local - 9
1478443551 stage_in_local_local_3_0 POST_SCRIPT_SUCCESS 0 local - 9
1478443551 stage_in_local_local_5_0 POST_SCRIPT_TERMINATED 1377.0 local - 10
1478443551 stage_in_local_local_5_0 POST_SCRIPT_SUCCESS 0 local - 10
1478443551 stage_in_local_local_4_0 POST_SCRIPT_TERMINATED 1378.0 local - 11
1478443551 stage_in_local_local_4_0 POST_SCRIPT_SUCCESS 0 local - 11
1478443551 stage_in_local_local_7_0 EXECUTE 1379.0 local - 12
1478443551 stage_in_local_local_1_0 EXECUTE 1380.0 local - 13
1478443551 stage_in_remote_local_4_0 EXECUTE 1382.0 local - 15
1478443551 stage_in_remote_local_2_0 EXECUTE 1383.0 local - 16
1478443551 stage_in_remote_local_4_1 EXECUTE 1381.0 local - 14
1478443551 stage_in_remote_local_3_1 SUBMIT 1384.0 local - 17
1478443551 stage_in_remote_local_3_0 SUBMIT 1385.0 local - 18
1478443551 stage_in_remote_local_6_0 SUBMIT 1386.0 local - 19
1478443551 init_0_ID0000001 SUBMIT 1387.0 condorpool - 20
1478443556 stage_in_remote_local_4_1 JOB_TERMINATED 1381.0 local - 14
1478443556 stage_in_remote_local_4_1 JOB_SUCCESS 0 local - 14
1478443556 stage_in_remote_local_4_1 POST_SCRIPT_STARTED 1381.0 local - 14
1478443556 stage_in_remote_local_3_1 EXECUTE 1384.0 local - 17
1478443556 stage_in_remote_local_6_0 EXECUTE 1386.0 local - 19
1478443556 stage_in_remote_local_3_0 EXECUTE 1385.0 local - 18
1478443556 stage_in_local_local_7_0 JOB_TERMINATED 1379.0 local - 12
1478443556 stage_in_local_local_7_0 JOB_SUCCESS 0 local - 12
1478443556 stage_in_local_local_7_0 POST_SCRIPT_STARTED 1379.0 local - 12
1478443556 stage_in_local_local_1_0 JOB_TERMINATED 1380.0 local - 13
1478443556 stage_in_local_local_1_0 JOB_SUCCESS 0 local - 13
1478443556 stage_in_local_local_1_0 POST_SCRIPT_STARTED 1380.0 local - 13
1478443556 stage_in_remote_local_4_0 JOB_TERMINATED 1382.0 local - 15
1478443556 stage_in_remote_local_4_0 JOB_SUCCESS 0 local - 15
1478443556 stage_in_remote_local_4_0 POST_SCRIPT_STARTED 1382.0 local - 15
1478443556 stage_in_remote_local_2_0 JOB_TERMINATED 1383.0 local - 16
1478443556 stage_in_remote_local_2_0 JOB_SUCCESS 0 local - 16
1478443556 stage_in_remote_local_2_0 POST_SCRIPT_STARTED 1383.0 local - 16
1478443556 stage_in_remote_local_6_0 JOB_TERMINATED 1386.0 local - 19
1478443556 stage_in_remote_local_6_0 JOB_SUCCESS 0 local - 19
1478443556 stage_in_remote_local_6_0 POST_SCRIPT_STARTED 1386.0 local - 19
1478443556 stage_in_remote_local_3_1 JOB_TERMINATED 1384.0 local - 17
1478443556 stage_in_remote_local_3_1 JOB_SUCCESS 0 local - 17
1478443556 stage_in_remote_local_3_1 POST_SCRIPT_STARTED 1384.0 local - 17
1478443561 stage_in_remote_local_4_1 POST_SCRIPT_TERMINATED 1381.0 local - 14
