
# Transformation - name of the transformation.
# Count          - the number of times the invocations corresponding to
#                  the transformation was executed.
# Succeeded      - the count of the succeeded invocations corresponding
#                  to the transformation.
# Failed         - the count of the failed invocations corresponding to
#                  the transformation.
# Min(sec)       - the minimum invocation runtime value corresponding
#                  to the transformation.
# Max(sec)       - the maximum invocation runtime value corresponding
#                  to the transformation.
# Mean(sec)      - the mean of the invocation runtime corresponding
#                  to the transformation.
# Total(sec)     - the cumulative of invocation runtime corresponding
#                  to the transformation.

# a3f5cafd-c5ad-40f3-8559-858730b9c186 (example_workflow)
Transformation                            Count     Succeeded Failed  Min       Max       Mean      Total     
dagman::post                              40        40        0       5.0       6.0       5.25      210.0     
example_workflow::analysisevent_0:1.0     1         1         0       0.124     0.124     0.124     0.124     
example_workflow::averageratioevent_0:1.0 1         1         0       71.699    71.699    71.699    71.699    
example_workflow::calculateratio_0:1.0    1         1         0       1912.501  1912.501  1912.501  1912.501  
example_workflow::generalinfo_0:1.0       1         1         0       377.74    377.74    377.74    377.74    
example_workflow::init_0:1.0              1         1         0       181.869   181.869   181.869   181.869   
example_workflow::mediancpu_0:1.0         1         1         0       187.163   187.163   187.163   187.163   
example_workflow::medianmemory_0:1.0      1         1         0       186.407   186.407   186.407   186.407   
example_workflow::statscpumemory_0:1.0    1         1         0       767.297   767.297   767.297   767.297   
example_workflow::taskevent_0:1.0         1         1         0       713.841   713.841   713.841   713.841   
example_workflow::terminate_0:1.0         1         1         0       0.1       0.1       0.1       0.1       
pegasus::cleanup                          10        10        0       0.0       8.27      4.97      49.696    
pegasus::dirmanager                       1         1         0       0.0       0.0       0.0       0.0       
pegasus::transfer                         20        20        0       2.166     4.656     2.868     57.368    


# All (All)
Transformation                            Count     Succeeded Failed  Min       Max       Mean      Total     
dagman::post                              40        40        0       5.0       6.0       5.25      210.0     
example_workflow::analysisevent_0:1.0     1         1         0       0.124     0.124     0.124     0.124     
example_workflow::averageratioevent_0:1.0 1         1         0       71.699    71.699    71.699    71.699    
example_workflow::calculateratio_0:1.0    1         1         0       1912.501  1912.501  1912.501  1912.501  
example_workflow::generalinfo_0:1.0       1         1         0       377.74    377.74    377.74    377.74    
example_workflow::init_0:1.0              1         1         0       181.869   181.869   181.869   181.869   
example_workflow::mediancpu_0:1.0         1         1         0       187.163   187.163   187.163   187.163   
example_workflow::medianmemory_0:1.0      1         1         0       186.407   186.407   186.407   186.407   
example_workflow::statscpumemory_0:1.0    1         1         0       767.297   767.297   767.297   767.297   
example_workflow::taskevent_0:1.0         1         1         0       713.841   713.841   713.841   713.841   
example_workflow::terminate_0:1.0         1         1         0       0.1       0.1       0.1       0.1       
pegasus::cleanup                          10        10        0       0.0       8.27      4.97      49.696    
pegasus::dirmanager                       1         1         0       0.0       0.0       0.0       0.0       
pegasus::transfer                         20        20        0       2.166     4.656     2.868     57.368    
