
# Transformation - name of the transformation.
# Count          - the number of times the invocations corresponding to
#                  the transformation was executed.
# Succeeded      - the count of the succeeded invocations corresponding
#                  to the transformation.
# Failed         - the count of the failed invocations corresponding to
#                  the transformation.
# Min(sec)       - the minimum invocation runtime value corresponding
#                  to the transformation.
# Max(sec)       - the maximum invocation runtime value corresponding
#                  to the transformation.
# Mean(sec)      - the mean of the invocation runtime corresponding
#                  to the transformation.
# Total(sec)     - the cumulative of invocation runtime corresponding
#                  to the transformation.

# 0a9486d0-0dfa-4482-a84d-5af43ca86c6d (example_workflow)
Transformation                            Count     Succeeded Failed  Min       Max       Mean      Total     
dagman::post                              40        40        0       5.0       6.0       5.25      210.0     
example_workflow::analysisevent_0:1.0     1         1         0       0.109     0.109     0.109     0.109     
example_workflow::averageratioevent_0:1.0 1         1         0       79.9      79.9      79.9      79.9      
example_workflow::calculateratio_0:1.0    1         1         0       1858.638  1858.638  1858.638  1858.638  
example_workflow::generalinfo_0:1.0       1         1         0       377.975   377.975   377.975   377.975   
example_workflow::init_0:1.0              1         1         0       182.203   182.203   182.203   182.203   
example_workflow::mediancpu_0:1.0         1         1         0       499.61    499.61    499.61    499.61    
example_workflow::medianmemory_0:1.0      1         1         0       503.378   503.378   503.378   503.378   
example_workflow::statscpumemory_0:1.0    1         1         0       1083.265  1083.265  1083.265  1083.265  
example_workflow::taskevent_0:1.0         1         1         0       712.334   712.334   712.334   712.334   
example_workflow::terminate_0:1.0         1         1         0       0.111     0.111     0.111     0.111     
pegasus::cleanup                          10        10        0       0.0       8.174     4.961     49.608    
pegasus::dirmanager                       1         1         0       0.0       0.0       0.0       0.0       
pegasus::transfer                         20        20        0       2.252     5.049     3.061     61.229    


# All (All)
Transformation                            Count     Succeeded Failed  Min       Max       Mean      Total     
dagman::post                              40        40        0       5.0       6.0       5.25      210.0     
example_workflow::analysisevent_0:1.0     1         1         0       0.109     0.109     0.109     0.109     
example_workflow::averageratioevent_0:1.0 1         1         0       79.9      79.9      79.9      79.9      
example_workflow::calculateratio_0:1.0    1         1         0       1858.638  1858.638  1858.638  1858.638  
example_workflow::generalinfo_0:1.0       1         1         0       377.975   377.975   377.975   377.975   
example_workflow::init_0:1.0              1         1         0       182.203   182.203   182.203   182.203   
example_workflow::mediancpu_0:1.0         1         1         0       499.61    499.61    499.61    499.61    
example_workflow::medianmemory_0:1.0      1         1         0       503.378   503.378   503.378   503.378   
example_workflow::statscpumemory_0:1.0    1         1         0       1083.265  1083.265  1083.265  1083.265  
example_workflow::taskevent_0:1.0         1         1         0       712.334   712.334   712.334   712.334   
example_workflow::terminate_0:1.0         1         1         0       0.111     0.111     0.111     0.111     
pegasus::cleanup                          10        10        0       0.0       8.174     4.961     49.608    
pegasus::dirmanager                       1         1         0       0.0       0.0       0.0       0.0       
pegasus::transfer                         20        20        0       2.252     5.049     3.061     61.229    
