
# Transformation - name of the transformation.
# Count          - the number of times the invocations corresponding to
#                  the transformation was executed.
# Succeeded      - the count of the succeeded invocations corresponding
#                  to the transformation.
# Failed         - the count of the failed invocations corresponding to
#                  the transformation.
# Min(sec)       - the minimum invocation runtime value corresponding
#                  to the transformation.
# Max(sec)       - the maximum invocation runtime value corresponding
#                  to the transformation.
# Mean(sec)      - the mean of the invocation runtime corresponding
#                  to the transformation.
# Total(sec)     - the cumulative of invocation runtime corresponding
#                  to the transformation.

# d21741b0-d05b-457c-a8b8-5c6395a7f7d3 (example_workflow)
Transformation                            Count     Succeeded Failed  Min       Max       Mean          Total     
dagman::post                              53        53        0       5.0       6.0       5.094         270.0     
example_workflow::analysisevent_0:1.0     1         1         0       0.119     0.119     0.119         0.119     
example_workflow::averageratioevent_0:1.0 1         1         0       42.978    42.978    42.978        42.978    
example_workflow::averageratioevent_1:1.0 1         1         0       69.445    69.445    69.445        69.445    
example_workflow::averageratioevent_2:1.0 1         1         0       1.189     1.189     1.189         1.189     
example_workflow::calculateratio_0:1.0    1         1         0       1009.131  1009.131  1009.131      1009.131  
example_workflow::calculateratio_1:1.0    1         1         0       1156.92   1156.92   1156.92       1156.92   
example_workflow::calculateratio_2:1.0    1         1         0       1024.4    1024.4    1024.4        1024.4    
example_workflow::generalinfo_0:1.0       1         1         0       360.672   360.672   360.672       360.672   
example_workflow::init_0:1.0              1         1         0       181.239   181.239   181.239       181.239   
example_workflow::mediancpu_0:1.0         1         1         0       499.589   499.589   499.589       499.589   
example_workflow::medianmemory_0:1.0      1         1         0       495.938   495.938   495.938       495.938   
example_workflow::statscpumemory_0:1.0    1         1         0       1058.201  1058.201  1058.201      1058.201  
example_workflow::taskevent_0:1.0         1         1         0       663.822   663.822   663.822       663.822   
example_workflow::taskevent_1:1.0         1         1         0       360.867   360.867   360.867       360.867   
example_workflow::taskevent_2:1.0         1         1         0       70.471    70.471    70.471        70.471    
example_workflow::terminate_0:1.0         1         1         0       0.112     0.112     0.112         0.112     
pegasus::cleanup                          13        13        0       0.0       16.316    6.954         90.399    
pegasus::dirmanager                       1         1         0       0.0       0.0       0.0           0.0       
pegasus::transfer                         24        24        0       2.259     4.751     3.366         80.786    


# All (All)
Transformation                            Count     Succeeded Failed  Min       Max       Mean          Total     
dagman::post                              53        53        0       5.0       6.0       5.094         270.0     
example_workflow::analysisevent_0:1.0     1         1         0       0.119     0.119     0.119         0.119     
example_workflow::averageratioevent_0:1.0 1         1         0       42.978    42.978    42.978        42.978    
example_workflow::averageratioevent_1:1.0 1         1         0       69.445    69.445    69.445        69.445    
example_workflow::averageratioevent_2:1.0 1         1         0       1.189     1.189     1.189         1.189     
example_workflow::calculateratio_0:1.0    1         1         0       1009.131  1009.131  1009.131      1009.131  
example_workflow::calculateratio_1:1.0    1         1         0       1156.92   1156.92   1156.92       1156.92   
example_workflow::calculateratio_2:1.0    1         1         0       1024.4    1024.4    1024.4        1024.4    
example_workflow::generalinfo_0:1.0       1         1         0       360.672   360.672   360.672       360.672   
example_workflow::init_0:1.0              1         1         0       181.239   181.239   181.239       181.239   
example_workflow::mediancpu_0:1.0         1         1         0       499.589   499.589   499.589       499.589   
example_workflow::medianmemory_0:1.0      1         1         0       495.938   495.938   495.938       495.938   
example_workflow::statscpumemory_0:1.0    1         1         0       1058.201  1058.201  1058.201      1058.201  
example_workflow::taskevent_0:1.0         1         1         0       663.822   663.822   663.822       663.822   
example_workflow::taskevent_1:1.0         1         1         0       360.867   360.867   360.867       360.867   
example_workflow::taskevent_2:1.0         1         1         0       70.471    70.471    70.471        70.471    
example_workflow::terminate_0:1.0         1         1         0       0.112     0.112     0.112         0.112     
pegasus::cleanup                          13        13        0       0.0       16.316    6.954         90.399    
pegasus::dirmanager                       1         1         0       0.0       0.0       0.0           0.0       
pegasus::transfer                         24        24        0       2.259     4.751     3.366         80.786    
