
# Transformation - name of the transformation.
# Count          - the number of times the invocations corresponding to
#                  the transformation was executed.
# Succeeded      - the count of the succeeded invocations corresponding
#                  to the transformation.
# Failed         - the count of the failed invocations corresponding to
#                  the transformation.
# Min(sec)       - the minimum invocation runtime value corresponding
#                  to the transformation.
# Max(sec)       - the maximum invocation runtime value corresponding
#                  to the transformation.
# Mean(sec)      - the mean of the invocation runtime corresponding
#                  to the transformation.
# Total(sec)     - the cumulative of invocation runtime corresponding
#                  to the transformation.

# cebd2424-25f5-4f71-8dad-30867baa4a9d (example_workflow)
Transformation                            Count     Succeeded Failed  Min       Max       Mean          Total     
dagman::post                              53        53        0       5.0       6.0       5.132         272.0     
example_workflow::analysisevent_0:1.0     1         1         0       0.143     0.143     0.143         0.143     
example_workflow::averageratioevent_0:1.0 1         1         0       53.573    53.573    53.573        53.573    
example_workflow::averageratioevent_1:1.0 1         1         0       80.228    80.228    80.228        80.228    
example_workflow::averageratioevent_2:1.0 1         1         0       1.023     1.023     1.023         1.023     
example_workflow::calculateratio_0:1.0    1         1         0       1264.006  1264.006  1264.006      1264.006  
example_workflow::calculateratio_1:1.0    1         1         0       1457.273  1457.273  1457.273      1457.273  
example_workflow::calculateratio_2:1.0    1         1         0       1283.971  1283.971  1283.971      1283.971  
example_workflow::generalinfo_0:1.0       1         1         0       369.085   369.085   369.085       369.085   
example_workflow::init_0:1.0              1         1         0       179.779   179.779   179.779       179.779   
example_workflow::mediancpu_0:1.0         1         1         0       496.498   496.498   496.498       496.498   
example_workflow::medianmemory_0:1.0      1         1         0       506.585   506.585   506.585       506.585   
example_workflow::statscpumemory_0:1.0    1         1         0       1067.267  1067.267  1067.267      1067.267  
example_workflow::taskevent_0:1.0         1         1         0       684.221   684.221   684.221       684.221   
example_workflow::taskevent_1:1.0         1         1         0       370.159   370.159   370.159       370.159   
example_workflow::taskevent_2:1.0         1         1         0       70.873    70.873    70.873        70.873    
example_workflow::terminate_0:1.0         1         1         0       0.099     0.099     0.099         0.099     
pegasus::cleanup                          13        13        0       0.0       16.292    6.969         90.599    
pegasus::dirmanager                       1         1         0       0.0       0.0       0.0           0.0       
pegasus::transfer                         24        24        0       2.221     4.819     3.381         81.156    


# All (All)
Transformation                            Count     Succeeded Failed  Min       Max       Mean          Total     
dagman::post                              53        53        0       5.0       6.0       5.132         272.0     
example_workflow::analysisevent_0:1.0     1         1         0       0.143     0.143     0.143         0.143     
example_workflow::averageratioevent_0:1.0 1         1         0       53.573    53.573    53.573        53.573    
example_workflow::averageratioevent_1:1.0 1         1         0       80.228    80.228    80.228        80.228    
example_workflow::averageratioevent_2:1.0 1         1         0       1.023     1.023     1.023         1.023     
example_workflow::calculateratio_0:1.0    1         1         0       1264.006  1264.006  1264.006      1264.006  
example_workflow::calculateratio_1:1.0    1         1         0       1457.273  1457.273  1457.273      1457.273  
example_workflow::calculateratio_2:1.0    1         1         0       1283.971  1283.971  1283.971      1283.971  
example_workflow::generalinfo_0:1.0       1         1         0       369.085   369.085   369.085       369.085   
example_workflow::init_0:1.0              1         1         0       179.779   179.779   179.779       179.779   
example_workflow::mediancpu_0:1.0         1         1         0       496.498   496.498   496.498       496.498   
example_workflow::medianmemory_0:1.0      1         1         0       506.585   506.585   506.585       506.585   
example_workflow::statscpumemory_0:1.0    1         1         0       1067.267  1067.267  1067.267      1067.267  
example_workflow::taskevent_0:1.0         1         1         0       684.221   684.221   684.221       684.221   
example_workflow::taskevent_1:1.0         1         1         0       370.159   370.159   370.159       370.159   
example_workflow::taskevent_2:1.0         1         1         0       70.873    70.873    70.873        70.873    
example_workflow::terminate_0:1.0         1         1         0       0.099     0.099     0.099         0.099     
pegasus::cleanup                          13        13        0       0.0       16.292    6.969         90.599    
pegasus::dirmanager                       1         1         0       0.0       0.0       0.0           0.0       
pegasus::transfer                         24        24        0       2.221     4.819     3.381         81.156    
