
# Transformation - name of the transformation.
# Count          - the number of times the invocations corresponding to
#                  the transformation was executed.
# Succeeded      - the count of the succeeded invocations corresponding
#                  to the transformation.
# Failed         - the count of the failed invocations corresponding to
#                  the transformation.
# Min(sec)       - the minimum invocation runtime value corresponding
#                  to the transformation.
# Max(sec)       - the maximum invocation runtime value corresponding
#                  to the transformation.
# Mean(sec)      - the mean of the invocation runtime corresponding
#                  to the transformation.
# Total(sec)     - the cumulative of invocation runtime corresponding
#                  to the transformation.

# e6afb64e-3e96-41bc-ba0a-127b7b0f1580 (example_workflow)
Transformation                            Count     Succeeded Failed  Min       Max       Mean          Total     
dagman::post                              38        38        0       5.0       6.0       5.263         200.0     
example_workflow::analysisevent_0:1.0     1         1         0       0.643     0.643     0.643         0.643     
example_workflow::averageratioevent_0:1.0 1         1         0       67.442    67.442    67.442        67.442    
example_workflow::calculateratio_0:1.0    1         1         0       857.352   857.352   857.352       857.352   
example_workflow::generalinfo_0:1.0       1         1         0       255.034   255.034   255.034       255.034   
example_workflow::init_0:1.0              1         1         0       0.644     0.644     0.644         0.644     
example_workflow::mediancpu_0:1.0         1         1         0       543.362   543.362   543.362       543.362   
example_workflow::medianmemory_0:1.0      1         1         0       535.462   535.462   535.462       535.462   
example_workflow::statscpumemory_0:1.0    1         1         0       537.044   537.044   537.044       537.044   
example_workflow::taskevent_0:1.0         1         1         0       925.202   925.202   925.202       925.202   
example_workflow::terminate_0:1.0         1         1         0       0.637     0.637     0.637         0.637     
pegasus::cleanup                          10        10        0       0.0       8.264     4.569         45.687    
pegasus::dirmanager                       1         1         0       0.0       0.0       0.0           0.0       
pegasus::transfer                         18        18        0       2.234     4.836     2.943         52.976    


# All (All)
Transformation                            Count     Succeeded Failed  Min       Max       Mean          Total     
dagman::post                              38        38        0       5.0       6.0       5.263         200.0     
example_workflow::analysisevent_0:1.0     1         1         0       0.643     0.643     0.643         0.643     
example_workflow::averageratioevent_0:1.0 1         1         0       67.442    67.442    67.442        67.442    
example_workflow::calculateratio_0:1.0    1         1         0       857.352   857.352   857.352       857.352   
example_workflow::generalinfo_0:1.0       1         1         0       255.034   255.034   255.034       255.034   
example_workflow::init_0:1.0              1         1         0       0.644     0.644     0.644         0.644     
example_workflow::mediancpu_0:1.0         1         1         0       543.362   543.362   543.362       543.362   
example_workflow::medianmemory_0:1.0      1         1         0       535.462   535.462   535.462       535.462   
example_workflow::statscpumemory_0:1.0    1         1         0       537.044   537.044   537.044       537.044   
example_workflow::taskevent_0:1.0         1         1         0       925.202   925.202   925.202       925.202   
example_workflow::terminate_0:1.0         1         1         0       0.637     0.637     0.637         0.637     
pegasus::cleanup                          10        10        0       0.0       8.264     4.569         45.687    
pegasus::dirmanager                       1         1         0       0.0       0.0       0.0           0.0       
pegasus::transfer                         18        18        0       2.234     4.836     2.943         52.976    
