
# Transformation - name of the transformation.
# Count          - the number of times the invocations corresponding to
#                  the transformation was executed.
# Succeeded      - the count of the succeeded invocations corresponding
#                  to the transformation.
# Failed         - the count of the failed invocations corresponding to
#                  the transformation.
# Min(sec)       - the minimum invocation runtime value corresponding
#                  to the transformation.
# Max(sec)       - the maximum invocation runtime value corresponding
#                  to the transformation.
# Mean(sec)      - the mean of the invocation runtime corresponding
#                  to the transformation.
# Total(sec)     - the cumulative of invocation runtime corresponding
#                  to the transformation.

# ec3fd7e5-a5a0-4ab3-92f8-01eea398fa8c (example_workflow)
Transformation                            Count     Succeeded Failed  Min       Max       Mean          Total     
dagman::post                              38        38        0       5.0       6.0       5.158         196.0     
example_workflow::analysisevent_0:1.0     1         1         0       0.635     0.635     0.635         0.635     
example_workflow::averageratioevent_0:1.0 1         1         0       63.945    63.945    63.945        63.945    
example_workflow::calculateratio_0:1.0    1         1         0       750.985   750.985   750.985       750.985   
example_workflow::generalinfo_0:1.0       1         1         0       245.14    245.14    245.14        245.14    
example_workflow::init_0:1.0              1         1         0       42.204    42.204    42.204        42.204    
example_workflow::mediancpu_0:1.0         1         1         0       550.997   550.997   550.997       550.997   
example_workflow::medianmemory_0:1.0      1         1         0       521.831   521.831   521.831       521.831   
example_workflow::statscpumemory_0:1.0    1         1         0       512.126   512.126   512.126       512.126   
example_workflow::taskevent_0:1.0         1         1         0       939.59    939.59    939.59        939.59    
example_workflow::terminate_0:1.0         1         1         0       0.63      0.63      0.63          0.63      
pegasus::cleanup                          10        10        0       0.0       8.325     4.567         45.668    
pegasus::dirmanager                       1         1         0       0.0       0.0       0.0           0.0       
pegasus::transfer                         18        18        0       2.175     4.676     2.884         51.916    


# All (All)
Transformation                            Count     Succeeded Failed  Min       Max       Mean          Total     
dagman::post                              38        38        0       5.0       6.0       5.158         196.0     
example_workflow::analysisevent_0:1.0     1         1         0       0.635     0.635     0.635         0.635     
example_workflow::averageratioevent_0:1.0 1         1         0       63.945    63.945    63.945        63.945    
example_workflow::calculateratio_0:1.0    1         1         0       750.985   750.985   750.985       750.985   
example_workflow::generalinfo_0:1.0       1         1         0       245.14    245.14    245.14        245.14    
example_workflow::init_0:1.0              1         1         0       42.204    42.204    42.204        42.204    
example_workflow::mediancpu_0:1.0         1         1         0       550.997   550.997   550.997       550.997   
example_workflow::medianmemory_0:1.0      1         1         0       521.831   521.831   521.831       521.831   
example_workflow::statscpumemory_0:1.0    1         1         0       512.126   512.126   512.126       512.126   
example_workflow::taskevent_0:1.0         1         1         0       939.59    939.59    939.59        939.59    
example_workflow::terminate_0:1.0         1         1         0       0.63      0.63      0.63          0.63      
pegasus::cleanup                          10        10        0       0.0       8.325     4.567         45.668    
pegasus::dirmanager                       1         1         0       0.0       0.0       0.0           0.0       
pegasus::transfer                         18        18        0       2.175     4.676     2.884         51.916    
