1477355690 INTERNAL *** MONITORD_STARTED ***
1477355688 INTERNAL *** DAGMAN_STARTED 622.0 ***
1477355692 create_dir_example_workflow_0_local SUBMIT 623.0 local - 1
1477355697 create_dir_example_workflow_0_local EXECUTE 623.0 local - 1
1477355697 create_dir_example_workflow_0_local JOB_TERMINATED 623.0 local - 1
1477355697 create_dir_example_workflow_0_local JOB_SUCCESS 0 local - 1
1477355697 create_dir_example_workflow_0_local POST_SCRIPT_STARTED 623.0 local - 1
1477355702 create_dir_example_workflow_0_local POST_SCRIPT_TERMINATED 623.0 local - 1
1477355702 create_dir_example_workflow_0_local POST_SCRIPT_SUCCESS 0 local - 1
1477355708 stage_in_local_local_0_0 SUBMIT 624.0 local - 2
1477355708 stage_in_local_local_6_0 SUBMIT 625.0 local - 3
1477355708 stage_in_local_local_0_0 EXECUTE 624.0 local - 2
1477355708 stage_in_remote_local_2_1 SUBMIT 626.0 local - 4
1477355708 stage_in_remote_local_5_0 SUBMIT 627.0 local - 5
1477355708 stage_in_local_local_2_0 SUBMIT 628.0 local - 6
1477355713 stage_in_local_local_0_0 JOB_TERMINATED 624.0 local - 2
1477355713 stage_in_local_local_0_0 JOB_SUCCESS 0 local - 2
1477355713 stage_in_local_local_0_0 POST_SCRIPT_STARTED 624.0 local - 2
1477355713 stage_in_remote_local_2_1 EXECUTE 626.0 local - 4
1477355713 stage_in_local_local_6_0 EXECUTE 625.0 local - 3
1477355713 stage_in_local_local_2_0 EXECUTE 628.0 local - 6
1477355713 stage_in_remote_local_5_0 EXECUTE 627.0 local - 5
1477355713 stage_in_local_local_6_0 JOB_TERMINATED 625.0 local - 3
1477355713 stage_in_local_local_6_0 JOB_SUCCESS 0 local - 3
1477355713 stage_in_local_local_6_0 POST_SCRIPT_STARTED 625.0 local - 3
1477355713 stage_in_remote_local_5_0 JOB_TERMINATED 627.0 local - 5
1477355713 stage_in_remote_local_5_0 JOB_SUCCESS 0 local - 5
1477355713 stage_in_remote_local_5_0 POST_SCRIPT_STARTED 627.0 local - 5
1477355713 stage_in_remote_local_2_1 JOB_TERMINATED 626.0 local - 4
1477355713 stage_in_remote_local_2_1 JOB_SUCCESS 0 local - 4
1477355713 stage_in_remote_local_2_1 POST_SCRIPT_STARTED 626.0 local - 4
1477355713 stage_in_local_local_2_1 SUBMIT 629.0 local - 7
1477355713 stage_in_remote_local_1_0 SUBMIT 630.0 local - 8
1477355713 stage_in_local_local_3_0 SUBMIT 631.0 local - 9
1477355713 stage_in_local_local_5_0 SUBMIT 632.0 local - 10
1477355713 stage_in_local_local_4_0 SUBMIT 633.0 local - 11
