
# Transformation - name of the transformation.
# Count          - the number of times the invocations corresponding to
#                  the transformation was executed.
# Succeeded      - the count of the succeeded invocations corresponding
#                  to the transformation.
# Failed         - the count of the failed invocations corresponding to
#                  the transformation.
# Min(sec)       - the minimum invocation runtime value corresponding
#                  to the transformation.
# Max(sec)       - the maximum invocation runtime value corresponding
#                  to the transformation.
# Mean(sec)      - the mean of the invocation runtime corresponding
#                  to the transformation.
# Total(sec)     - the cumulative of invocation runtime corresponding
#                  to the transformation.

# 5e7e2581-c98a-4ddd-9b12-3f335003f2a7 (example_workflow)
Transformation                            Count     Succeeded Failed  Min       Max       Mean          Total     
dagman::post                              51        51        0       5.0       6.0       5.078         259.0     
example_workflow::analysisevent_0:1.0     1         1         0       0.651     0.651     0.651         0.651     
example_workflow::averageratioevent_0:1.0 1         1         0       32.79     32.79     32.79         32.79     
example_workflow::averageratioevent_1:1.0 1         1         0       40.906    40.906    40.906        40.906    
example_workflow::averageratioevent_2:1.0 1         1         0       4.291     4.291     4.291         4.291     
example_workflow::calculateratio_0:1.0    1         1         0       289.725   289.725   289.725       289.725   
example_workflow::calculateratio_1:1.0    1         1         0       316.81    316.81    316.81        316.81    
example_workflow::calculateratio_2:1.0    1         1         0       284.681   284.681   284.681       284.681   
example_workflow::generalinfo_0:1.0       1         1         0       249.812   249.812   249.812       249.812   
example_workflow::init_0:1.0              1         1         0       42.17     42.17     42.17         42.17     
example_workflow::mediancpu_0:1.0         1         1         0       560.347   560.347   560.347       560.347   
example_workflow::medianmemory_0:1.0      1         1         0       516.036   516.036   516.036       516.036   
example_workflow::statscpumemory_0:1.0    1         1         0       520.986   520.986   520.986       520.986   
example_workflow::taskevent_0:1.0         1         1         0       572.267   572.267   572.267       572.267   
example_workflow::taskevent_1:1.0         1         1         0       362.649   362.649   362.649       362.649   
example_workflow::taskevent_2:1.0         1         1         0       224.488   224.488   224.488       224.488   
example_workflow::terminate_0:1.0         1         1         0       0.632     0.632     0.632         0.632     
pegasus::cleanup                          13        13        0       0.0       16.275    6.657         86.538    
pegasus::dirmanager                       1         1         0       0.0       0.0       0.0           0.0       
pegasus::transfer                         22        22        0       2.238     4.708     3.405         74.916    


# All (All)
Transformation                            Count     Succeeded Failed  Min       Max       Mean          Total     
dagman::post                              51        51        0       5.0       6.0       5.078         259.0     
example_workflow::analysisevent_0:1.0     1         1         0       0.651     0.651     0.651         0.651     
example_workflow::averageratioevent_0:1.0 1         1         0       32.79     32.79     32.79         32.79     
example_workflow::averageratioevent_1:1.0 1         1         0       40.906    40.906    40.906        40.906    
example_workflow::averageratioevent_2:1.0 1         1         0       4.291     4.291     4.291         4.291     
example_workflow::calculateratio_0:1.0    1         1         0       289.725   289.725   289.725       289.725   
example_workflow::calculateratio_1:1.0    1         1         0       316.81    316.81    316.81        316.81    
example_workflow::calculateratio_2:1.0    1         1         0       284.681   284.681   284.681       284.681   
example_workflow::generalinfo_0:1.0       1         1         0       249.812   249.812   249.812       249.812   
example_workflow::init_0:1.0              1         1         0       42.17     42.17     42.17         42.17     
example_workflow::mediancpu_0:1.0         1         1         0       560.347   560.347   560.347       560.347   
example_workflow::medianmemory_0:1.0      1         1         0       516.036   516.036   516.036       516.036   
example_workflow::statscpumemory_0:1.0    1         1         0       520.986   520.986   520.986       520.986   
example_workflow::taskevent_0:1.0         1         1         0       572.267   572.267   572.267       572.267   
example_workflow::taskevent_1:1.0         1         1         0       362.649   362.649   362.649       362.649   
example_workflow::taskevent_2:1.0         1         1         0       224.488   224.488   224.488       224.488   
example_workflow::terminate_0:1.0         1         1         0       0.632     0.632     0.632         0.632     
pegasus::cleanup                          13        13        0       0.0       16.275    6.657         86.538    
pegasus::dirmanager                       1         1         0       0.0       0.0       0.0           0.0       
pegasus::transfer                         22        22        0       2.238     4.708     3.405         74.916    
