
# Job            - name of the job
# Try            - number representing the job instance run count
# Site           - site where the job ran
# Kickstart      - actual duration of the job instance in seconds on the
#                  remote compute node
# Mult           - multiplier factor specified by the user
# Kickstart-Mult - Kickstart time multiplied by the multiplier factor
# CPU-Time       - remote cpu time computed as the stime + utime
# Post           - postscript time as reported by DAGMan
# CondorQTime    - time between submission by DAGMan and the remote Grid
#                  submission. It is an estimate of the time spent in the
#                  condor q on the submit node
# Resource       - time between the remote Grid submission and start of
#                  remote execution. It is an estimate of the time job
#                  spent in the remote queue
# Runtime        - time spent on the resource as seen by Condor DAGMan.
#                  Is always >= Kickstart
# Seqexec        - time taken for the completion of a clustered job
# Seqexec-Delay  - time difference between the time for the completion
#                  of a clustered job and sum of all the individual
#                  tasks Kickstart time
# Exitcode       - exitcode for this job
# Hostname       - name of the host where the job ran, as reported by
#                  Kickstart
# 9d19fcbe-6b37-4487-9bee-a3dfdc2fe5ce (example_workflow)
Job                                 Try Site       Kickstart Mult Kickstart-Mult CPU-Time Post CondorQTime Resource Runtime Seqexec Seqexec-Delay Exitcode Hostname                                    
create_dir_example_workflow_0_local 1   local      0.0       1    0.0            -        5.0  5.0         -        0.0     -       -             0        None                                        
stage_in_local_local_0_0            1   local      2.21      1    2.21           0.122    6.0  0.0         -        5.0     -       -             0        ip-172-31-10-230.us-west-1.compute.internal 
stage_in_local_local_6_0            1   local      2.464     1    2.464          0.123    6.0  5.0         -        0.0     -       -             0        ip-172-31-10-230.us-west-1.compute.internal 
stage_in_remote_local_2_1           1   local      2.406     1    2.406          0.103    6.0  5.0         -        0.0     -       -             0        ip-172-31-10-230.us-west-1.compute.internal 
stage_in_remote_local_5_0           1   local      2.421     1    2.421          0.115    6.0  5.0         -        0.0     -       -             0        ip-172-31-10-230.us-west-1.compute.internal 
stage_in_local_local_2_0            1   local      4.454     1    4.454          0.176    6.0  5.0         -        6.0     -       -             0        ip-172-31-10-230.us-west-1.compute.internal 
stage_in_local_local_2_1            1   local      2.481     1    2.481          0.098    6.0  6.0         -        0.0     -       -             0        ip-172-31-10-230.us-west-1.compute.internal 
stage_in_remote_local_1_0           1   local      2.712     1    2.712          0.186    6.0  6.0         -        0.0     -       -             0        ip-172-31-10-230.us-west-1.compute.internal 
stage_in_local_local_3_0            1   local      2.502     1    2.502          0.109    6.0  6.0         -        0.0     -       -             0        ip-172-31-10-230.us-west-1.compute.internal 
stage_in_local_local_5_0            1   local      2.548     1    2.548          0.124    6.0  6.0         -        0.0     -       -             0        ip-172-31-10-230.us-west-1.compute.internal 
stage_in_local_local_4_0            1   local      2.586     1    2.586          0.134    6.0  6.0         -        0.0     -       -             0        ip-172-31-10-230.us-west-1.compute.internal 
stage_in_local_local_7_0            1   local      2.609     1    2.609          0.113    5.0  6.0         -        5.0     -       -             0        ip-172-31-10-230.us-west-1.compute.internal 
stage_in_local_local_1_0            1   local      2.738     1    2.738          0.149    5.0  6.0         -        5.0     -       -             0        ip-172-31-10-230.us-west-1.compute.internal 
stage_in_remote_local_4_1           1   local      2.6       1    2.6            0.114    5.0  6.0         -        5.0     -       -             0        ip-172-31-10-230.us-west-1.compute.internal 
stage_in_remote_local_4_0           1   local      4.593     1    4.593          0.112    5.0  6.0         -        5.0     -       -             0        ip-172-31-10-230.us-west-1.compute.internal 
stage_in_remote_local_2_0           1   local      4.547     1    4.547          0.143    5.0  6.0         -        5.0     -       -             0        ip-172-31-10-230.us-west-1.compute.internal 
stage_in_remote_local_3_1           1   local      2.386     1    2.386          0.135    5.0  5.0         -        0.0     -       -             0        ip-172-31-10-230.us-west-1.compute.internal 
stage_in_remote_local_3_0           1   local      4.391     1    4.391          0.154    5.0  5.0         -        5.0     -       -             0        ip-172-31-10-230.us-west-1.compute.internal 
stage_in_remote_local_6_0           1   local      2.376     1    2.376          0.103    5.0  5.0         -        0.0     -       -             0        ip-172-31-10-230.us-west-1.compute.internal 
init_0_ID0000001                    1   condorpool 42.704    1    42.704         0.115    5.0  10.0        -        45.0    -       -             0        ip-172-31-25-253.us-west-2.compute.internal 
clean_up_local_level_3_0            1   local      2.145     1    2.145          0.126    5.0  0.0         -        5.0     -       -             0        ip-172-31-10-230.us-west-1.compute.internal 
generalinfo_0_ID0000002             1   condorpool 257.655   1    257.655        211.459  5.0  5.0         -        255.0   -       -             0        ip-172-31-25-253.us-west-2.compute.internal 
clean_up_local_level_4_0            1   local      4.181     1    4.181          0.093    5.0  0.0         -        5.0     -       -             0        ip-172-31-10-230.us-west-1.compute.internal 
statscpumemory_0_ID0000003          1   condorpool 547.445   1    547.445        448.097  5.0  5.0         -        546.0   -       -             0        ip-172-31-25-253.us-west-2.compute.internal 
medianmemory_0_ID0000005            1   condorpool 534.693   1    534.693        461.558  5.0  15.0        -        536.0   -       -             0        ip-172-31-25-251.us-west-2.compute.internal 
mediancpu_0_ID0000004               1   condorpool 541.059   1    541.059        461.874  5.0  15.0        -        541.0   -       -             0        ip-172-31-25-252.us-west-2.compute.internal 
clean_up_local_level_5_0            1   local      8.277     1    8.277          0.141    5.0  6.0         -        5.0     -       -             0        ip-172-31-10-230.us-west-1.compute.internal 
taskevent_0_ID0000006               1   condorpool 908.714   1    908.714        465.578  5.0  5.0         -        906.0   -       -             0        ip-172-31-25-253.us-west-2.compute.internal 
clean_up_local_level_5_1            1   local      4.313     1    4.313          0.16     5.0  5.0         -        5.0     -       -             0        ip-172-31-10-230.us-west-1.compute.internal 
clean_up_local_level_6_0            1   local      8.148     1    8.148          0.148    5.0  0.0         -        10.0    -       -             0        ip-172-31-10-230.us-west-1.compute.internal 
calculateratio_0_ID0000007          1   condorpool 982.779   1    982.779        434.678  5.0  31.0        -        981.0   -       -             0        ip-172-31-25-253.us-west-2.compute.internal 
clean_up_local_level_7_0            1   local      8.167     1    8.167          0.132    5.0  0.0         -        10.0    -       -             0        ip-172-31-10-230.us-west-1.compute.internal 
averageratioevent_0_ID0000008       1   condorpool 71.322    1    71.322         47.541   5.0  5.0         -        70.0    -       -             0        ip-172-31-25-253.us-west-2.compute.internal 
clean_up_local_level_8_0            1   local      4.136     1    4.136          0.13     5.0  0.0         -        5.0     -       -             0        ip-172-31-10-230.us-west-1.compute.internal 
analysisevent_0_ID0000009           1   condorpool 0.651     1    0.651          0.092    5.0  5.0         -        0.0     -       -             0        ip-172-31-25-253.us-west-2.compute.internal 
terminate_0_ID0000010               1   condorpool 0.633     1    0.633          0.103    5.0  5.0         -        0.0     -       -             0        ip-172-31-25-253.us-west-2.compute.internal 
clean_up_local_level_9_0            1   local      4.194     1    4.194          0.116    5.0  10.0        -        0.0     -       -             0        ip-172-31-10-230.us-west-1.compute.internal 
clean_up_local_level_10_0           1   local      2.127     1    2.127          0.122    5.0  5.0         -        0.0     -       -             0        ip-172-31-10-230.us-west-1.compute.internal 
cleanup_example_workflow_0_local    1   local      0.0       1    0.0            -        -    5.0         -        0.0     -       -             0        None                                        
