
# Transformation - name of the transformation.
# Count          - the number of times the invocations corresponding to
#                  the transformation was executed.
# Succeeded      - the count of the succeeded invocations corresponding
#                  to the transformation.
# Failed         - the count of the failed invocations corresponding to
#                  the transformation.
# Min(sec)       - the minimum invocation runtime value corresponding
#                  to the transformation.
# Max(sec)       - the maximum invocation runtime value corresponding
#                  to the transformation.
# Mean(sec)      - the mean of the invocation runtime corresponding
#                  to the transformation.
# Total(sec)     - the cumulative of invocation runtime corresponding
#                  to the transformation.

# fb36c300-ec8d-4cbb-b653-4e6d106a6388 (example_workflow)
Transformation                            Count     Succeeded Failed  Min       Max       Mean          Total     
dagman::post                              38        38        0       5.0       6.0       5.105         194.0     
example_workflow::analysisevent_0:1.0     1         1         0       0.658     0.658     0.658         0.658     
example_workflow::averageratioevent_0:1.0 1         1         0       72.634    72.634    72.634        72.634    
example_workflow::calculateratio_0:1.0    1         1         0       966.621   966.621   966.621       966.621   
example_workflow::generalinfo_0:1.0       1         1         0       254.508   254.508   254.508       254.508   
example_workflow::init_0:1.0              1         1         0       43.691    43.691    43.691        43.691    
example_workflow::mediancpu_0:1.0         1         1         0       544.281   544.281   544.281       544.281   
example_workflow::medianmemory_0:1.0      1         1         0       542.718   542.718   542.718       542.718   
example_workflow::statscpumemory_0:1.0    1         1         0       543.49    543.49    543.49        543.49    
example_workflow::taskevent_0:1.0         1         1         0       947.933   947.933   947.933       947.933   
example_workflow::terminate_0:1.0         1         1         0       0.643     0.643     0.643         0.643     
pegasus::cleanup                          10        10        0       0.0       8.282     4.577         45.775    
pegasus::dirmanager                       1         1         0       0.0       0.0       0.0           0.0       
pegasus::transfer                         18        18        0       2.2       4.619     2.882         51.883    


# All (All)
Transformation                            Count     Succeeded Failed  Min       Max       Mean          Total     
dagman::post                              38        38        0       5.0       6.0       5.105         194.0     
example_workflow::analysisevent_0:1.0     1         1         0       0.658     0.658     0.658         0.658     
example_workflow::averageratioevent_0:1.0 1         1         0       72.634    72.634    72.634        72.634    
example_workflow::calculateratio_0:1.0    1         1         0       966.621   966.621   966.621       966.621   
example_workflow::generalinfo_0:1.0       1         1         0       254.508   254.508   254.508       254.508   
example_workflow::init_0:1.0              1         1         0       43.691    43.691    43.691        43.691    
example_workflow::mediancpu_0:1.0         1         1         0       544.281   544.281   544.281       544.281   
example_workflow::medianmemory_0:1.0      1         1         0       542.718   542.718   542.718       542.718   
example_workflow::statscpumemory_0:1.0    1         1         0       543.49    543.49    543.49        543.49    
example_workflow::taskevent_0:1.0         1         1         0       947.933   947.933   947.933       947.933   
example_workflow::terminate_0:1.0         1         1         0       0.643     0.643     0.643         0.643     
pegasus::cleanup                          10        10        0       0.0       8.282     4.577         45.775    
pegasus::dirmanager                       1         1         0       0.0       0.0       0.0           0.0       
pegasus::transfer                         18        18        0       2.2       4.619     2.882         51.883    
