
# Transformation - name of the transformation.
# Count          - the number of times the invocations corresponding to
#                  the transformation was executed.
# Succeeded      - the count of the succeeded invocations corresponding
#                  to the transformation.
# Failed         - the count of the failed invocations corresponding to
#                  the transformation.
# Min(sec)       - the minimum invocation runtime value corresponding
#                  to the transformation.
# Max(sec)       - the maximum invocation runtime value corresponding
#                  to the transformation.
# Mean(sec)      - the mean of the invocation runtime corresponding
#                  to the transformation.
# Total(sec)     - the cumulative of invocation runtime corresponding
#                  to the transformation.

# d1f7af0a-ab78-4419-ae31-9e8bafc1b898 (example_workflow)
Transformation                            Count     Succeeded Failed  Min       Max       Mean          Total     
dagman::post                              38        38        0       5.0       6.0       5.263         200.0     
example_workflow::analysisevent_0:1.0     1         1         0       0.648     0.648     0.648         0.648     
example_workflow::averageratioevent_0:1.0 1         1         0       71.218    71.218    71.218        71.218    
example_workflow::calculateratio_0:1.0    1         1         0       967.217   967.217   967.217       967.217   
example_workflow::generalinfo_0:1.0       1         1         0       266.26    266.26    266.26        266.26    
example_workflow::init_0:1.0              1         1         0       42.695    42.695    42.695        42.695    
example_workflow::mediancpu_0:1.0         1         1         0       542.173   542.173   542.173       542.173   
example_workflow::medianmemory_0:1.0      1         1         0       542.906   542.906   542.906       542.906   
example_workflow::statscpumemory_0:1.0    1         1         0       545.375   545.375   545.375       545.375   
example_workflow::taskevent_0:1.0         1         1         0       962.935   962.935   962.935       962.935   
example_workflow::terminate_0:1.0         1         1         0       0.641     0.641     0.641         0.641     
pegasus::cleanup                          10        10        0       0.0       8.263     4.567         45.666    
pegasus::dirmanager                       1         1         0       0.0       0.0       0.0           0.0       
pegasus::transfer                         18        18        0       2.205     4.53      2.844         51.199    


# All (All)
Transformation                            Count     Succeeded Failed  Min       Max       Mean          Total     
dagman::post                              38        38        0       5.0       6.0       5.263         200.0     
example_workflow::analysisevent_0:1.0     1         1         0       0.648     0.648     0.648         0.648     
example_workflow::averageratioevent_0:1.0 1         1         0       71.218    71.218    71.218        71.218    
example_workflow::calculateratio_0:1.0    1         1         0       967.217   967.217   967.217       967.217   
example_workflow::generalinfo_0:1.0       1         1         0       266.26    266.26    266.26        266.26    
example_workflow::init_0:1.0              1         1         0       42.695    42.695    42.695        42.695    
example_workflow::mediancpu_0:1.0         1         1         0       542.173   542.173   542.173       542.173   
example_workflow::medianmemory_0:1.0      1         1         0       542.906   542.906   542.906       542.906   
example_workflow::statscpumemory_0:1.0    1         1         0       545.375   545.375   545.375       545.375   
example_workflow::taskevent_0:1.0         1         1         0       962.935   962.935   962.935       962.935   
example_workflow::terminate_0:1.0         1         1         0       0.641     0.641     0.641         0.641     
pegasus::cleanup                          10        10        0       0.0       8.263     4.567         45.666    
pegasus::dirmanager                       1         1         0       0.0       0.0       0.0           0.0       
pegasus::transfer                         18        18        0       2.205     4.53      2.844         51.199    
