
# Transformation - name of the transformation.
# Count          - the number of times the invocations corresponding to
#                  the transformation was executed.
# Succeeded      - the count of the succeeded invocations corresponding
#                  to the transformation.
# Failed         - the count of the failed invocations corresponding to
#                  the transformation.
# Min(sec)       - the minimum invocation runtime value corresponding
#                  to the transformation.
# Max(sec)       - the maximum invocation runtime value corresponding
#                  to the transformation.
# Mean(sec)      - the mean of the invocation runtime corresponding
#                  to the transformation.
# Total(sec)     - the cumulative of invocation runtime corresponding
#                  to the transformation.

# 3b2f00cf-3add-4924-89ff-971e5f396495 (example_workflow)
Transformation                            Count     Succeeded Failed  Min       Max       Mean          Total     
dagman::post                              51        51        0       5.0       6.0       5.196         265.0     
example_workflow::analysisevent_0:1.0     1         1         0       0.648     0.648     0.648         0.648     
example_workflow::averageratioevent_0:1.0 1         1         0       27.986    27.986    27.986        27.986    
example_workflow::averageratioevent_1:1.0 1         1         0       46.7      46.7      46.7          46.7      
example_workflow::averageratioevent_2:1.0 1         1         0       5.142     5.142     5.142         5.142     
example_workflow::calculateratio_0:1.0    1         1         0       470.885   470.885   470.885       470.885   
example_workflow::calculateratio_1:1.0    1         1         0       554.633   554.633   554.633       554.633   
example_workflow::calculateratio_2:1.0    1         1         0       492.183   492.183   492.183       492.183   
example_workflow::generalinfo_0:1.0       1         1         0       253.742   253.742   253.742       253.742   
example_workflow::init_0:1.0              1         1         0       42.69     42.69     42.69         42.69     
example_workflow::mediancpu_0:1.0         1         1         0       540.801   540.801   540.801       540.801   
example_workflow::medianmemory_0:1.0      1         1         0       549.532   549.532   549.532       549.532   
example_workflow::statscpumemory_0:1.0    1         1         0       561.005   561.005   561.005       561.005   
example_workflow::taskevent_0:1.0         1         1         0       586.892   586.892   586.892       586.892   
example_workflow::taskevent_1:1.0         1         1         0       350.473   350.473   350.473       350.473   
example_workflow::taskevent_2:1.0         1         1         0       188.091   188.091   188.091       188.091   
example_workflow::terminate_0:1.0         1         1         0       0.635     0.635     0.635         0.635     
pegasus::cleanup                          13        13        0       0.0       16.256    6.646         86.395    
pegasus::dirmanager                       1         1         0       0.0       0.0       0.0           0.0       
pegasus::transfer                         22        22        0       2.231     4.873     3.456         76.041    


# All (All)
Transformation                            Count     Succeeded Failed  Min       Max       Mean          Total     
dagman::post                              51        51        0       5.0       6.0       5.196         265.0     
example_workflow::analysisevent_0:1.0     1         1         0       0.648     0.648     0.648         0.648     
example_workflow::averageratioevent_0:1.0 1         1         0       27.986    27.986    27.986        27.986    
example_workflow::averageratioevent_1:1.0 1         1         0       46.7      46.7      46.7          46.7      
example_workflow::averageratioevent_2:1.0 1         1         0       5.142     5.142     5.142         5.142     
example_workflow::calculateratio_0:1.0    1         1         0       470.885   470.885   470.885       470.885   
example_workflow::calculateratio_1:1.0    1         1         0       554.633   554.633   554.633       554.633   
example_workflow::calculateratio_2:1.0    1         1         0       492.183   492.183   492.183       492.183   
example_workflow::generalinfo_0:1.0       1         1         0       253.742   253.742   253.742       253.742   
example_workflow::init_0:1.0              1         1         0       42.69     42.69     42.69         42.69     
example_workflow::mediancpu_0:1.0         1         1         0       540.801   540.801   540.801       540.801   
example_workflow::medianmemory_0:1.0      1         1         0       549.532   549.532   549.532       549.532   
example_workflow::statscpumemory_0:1.0    1         1         0       561.005   561.005   561.005       561.005   
example_workflow::taskevent_0:1.0         1         1         0       586.892   586.892   586.892       586.892   
example_workflow::taskevent_1:1.0         1         1         0       350.473   350.473   350.473       350.473   
example_workflow::taskevent_2:1.0         1         1         0       188.091   188.091   188.091       188.091   
example_workflow::terminate_0:1.0         1         1         0       0.635     0.635     0.635         0.635     
pegasus::cleanup                          13        13        0       0.0       16.256    6.646         86.395    
pegasus::dirmanager                       1         1         0       0.0       0.0       0.0           0.0       
pegasus::transfer                         22        22        0       2.231     4.873     3.456         76.041    
