
# Transformation - name of the transformation.
# Count          - the number of times the invocations corresponding to
#                  the transformation was executed.
# Succeeded      - the count of the succeeded invocations corresponding
#                  to the transformation.
# Failed         - the count of the failed invocations corresponding to
#                  the transformation.
# Min(sec)       - the minimum invocation runtime value corresponding
#                  to the transformation.
# Max(sec)       - the maximum invocation runtime value corresponding
#                  to the transformation.
# Mean(sec)      - the mean of the invocation runtime corresponding
#                  to the transformation.
# Total(sec)     - the cumulative of invocation runtime corresponding
#                  to the transformation.

# 59e753d2-f30c-4c3a-b652-0908a26420c0 (example_workflow)
Transformation                            Count     Succeeded Failed  Min       Max       Mean          Total     
dagman::post                              51        51        0       5.0       6.0       5.216         266.0     
example_workflow::analysisevent_0:1.0     1         1         0       0.646     0.646     0.646         0.646     
example_workflow::averageratioevent_0:1.0 1         1         0       25.982    25.982    25.982        25.982    
example_workflow::averageratioevent_1:1.0 1         1         0       44.893    44.893    44.893        44.893    
example_workflow::averageratioevent_2:1.0 1         1         0       4.767     4.767     4.767         4.767     
example_workflow::calculateratio_0:1.0    1         1         0       459.78    459.78    459.78        459.78    
example_workflow::calculateratio_1:1.0    1         1         0       535.393   535.393   535.393       535.393   
example_workflow::calculateratio_2:1.0    1         1         0       485.657   485.657   485.657       485.657   
example_workflow::generalinfo_0:1.0       1         1         0       255.882   255.882   255.882       255.882   
example_workflow::init_0:1.0              1         1         0       42.715    42.715    42.715        42.715    
example_workflow::mediancpu_0:1.0         1         1         0       534.033   534.033   534.033       534.033   
example_workflow::medianmemory_0:1.0      1         1         0       547.012   547.012   547.012       547.012   
example_workflow::statscpumemory_0:1.0    1         1         0       543.124   543.124   543.124       543.124   
example_workflow::taskevent_0:1.0         1         1         0       587.043   587.043   587.043       587.043   
example_workflow::taskevent_1:1.0         1         1         0       347.268   347.268   347.268       347.268   
example_workflow::taskevent_2:1.0         1         1         0       187.816   187.816   187.816       187.816   
example_workflow::terminate_0:1.0         1         1         0       0.631     0.631     0.631         0.631     
pegasus::cleanup                          13        13        0       0.0       16.288    6.657         86.539    
pegasus::dirmanager                       1         1         0       0.0       0.0       0.0           0.0       
pegasus::transfer                         22        22        0       2.196     4.818     3.365         74.041    


# All (All)
Transformation                            Count     Succeeded Failed  Min       Max       Mean          Total     
dagman::post                              51        51        0       5.0       6.0       5.216         266.0     
example_workflow::analysisevent_0:1.0     1         1         0       0.646     0.646     0.646         0.646     
example_workflow::averageratioevent_0:1.0 1         1         0       25.982    25.982    25.982        25.982    
example_workflow::averageratioevent_1:1.0 1         1         0       44.893    44.893    44.893        44.893    
example_workflow::averageratioevent_2:1.0 1         1         0       4.767     4.767     4.767         4.767     
example_workflow::calculateratio_0:1.0    1         1         0       459.78    459.78    459.78        459.78    
example_workflow::calculateratio_1:1.0    1         1         0       535.393   535.393   535.393       535.393   
example_workflow::calculateratio_2:1.0    1         1         0       485.657   485.657   485.657       485.657   
example_workflow::generalinfo_0:1.0       1         1         0       255.882   255.882   255.882       255.882   
example_workflow::init_0:1.0              1         1         0       42.715    42.715    42.715        42.715    
example_workflow::mediancpu_0:1.0         1         1         0       534.033   534.033   534.033       534.033   
example_workflow::medianmemory_0:1.0      1         1         0       547.012   547.012   547.012       547.012   
example_workflow::statscpumemory_0:1.0    1         1         0       543.124   543.124   543.124       543.124   
example_workflow::taskevent_0:1.0         1         1         0       587.043   587.043   587.043       587.043   
example_workflow::taskevent_1:1.0         1         1         0       347.268   347.268   347.268       347.268   
example_workflow::taskevent_2:1.0         1         1         0       187.816   187.816   187.816       187.816   
example_workflow::terminate_0:1.0         1         1         0       0.631     0.631     0.631         0.631     
pegasus::cleanup                          13        13        0       0.0       16.288    6.657         86.539    
pegasus::dirmanager                       1         1         0       0.0       0.0       0.0           0.0       
pegasus::transfer                         22        22        0       2.196     4.818     3.365         74.041    
