
# Transformation - name of the transformation.
# Count          - the number of times the invocations corresponding to
#                  the transformation was executed.
# Succeeded      - the count of the succeeded invocations corresponding
#                  to the transformation.
# Failed         - the count of the failed invocations corresponding to
#                  the transformation.
# Min(sec)       - the minimum invocation runtime value corresponding
#                  to the transformation.
# Max(sec)       - the maximum invocation runtime value corresponding
#                  to the transformation.
# Mean(sec)      - the mean of the invocation runtime corresponding
#                  to the transformation.
# Total(sec)     - the cumulative of invocation runtime corresponding
#                  to the transformation.

# 57ff4c88-d373-4eb6-8576-7d1c496d8a14 (example_workflow)
Transformation                            Count     Succeeded Failed  Min       Max       Mean          Total     
dagman::post                              51        51        0       5.0       6.0       5.098         260.0     
example_workflow::analysisevent_0:1.0     1         1         0       0.653     0.653     0.653         0.653     
example_workflow::averageratioevent_0:1.0 1         1         0       25.999    25.999    25.999        25.999    
example_workflow::averageratioevent_1:1.0 1         1         0       45.458    45.458    45.458        45.458    
example_workflow::averageratioevent_2:1.0 1         1         0       3.497     3.497     3.497         3.497     
example_workflow::calculateratio_0:1.0    1         1         0       433.681   433.681   433.681       433.681   
example_workflow::calculateratio_1:1.0    1         1         0       505.355   505.355   505.355       505.355   
example_workflow::calculateratio_2:1.0    1         1         0       453.958   453.958   453.958       453.958   
example_workflow::generalinfo_0:1.0       1         1         0       261.456   261.456   261.456       261.456   
example_workflow::init_0:1.0              1         1         0       43.694    43.694    43.694        43.694    
example_workflow::mediancpu_0:1.0         1         1         0       543.958   543.958   543.958       543.958   
example_workflow::medianmemory_0:1.0      1         1         0       537.028   537.028   537.028       537.028   
example_workflow::statscpumemory_0:1.0    1         1         0       536.128   536.128   536.128       536.128   
example_workflow::taskevent_0:1.0         1         1         0       575.655   575.655   575.655       575.655   
example_workflow::taskevent_1:1.0         1         1         0       309.572   309.572   309.572       309.572   
example_workflow::taskevent_2:1.0         1         1         0       171.044   171.044   171.044       171.044   
example_workflow::terminate_0:1.0         1         1         0       0.646     0.646     0.646         0.646     
pegasus::cleanup                          13        13        0       0.0       16.259    6.639         86.309    
pegasus::dirmanager                       1         1         0       0.0       0.0       0.0           0.0       
pegasus::transfer                         22        22        0       2.185     4.545     3.25          71.504    


# All (All)
Transformation                            Count     Succeeded Failed  Min       Max       Mean          Total     
dagman::post                              51        51        0       5.0       6.0       5.098         260.0     
example_workflow::analysisevent_0:1.0     1         1         0       0.653     0.653     0.653         0.653     
example_workflow::averageratioevent_0:1.0 1         1         0       25.999    25.999    25.999        25.999    
example_workflow::averageratioevent_1:1.0 1         1         0       45.458    45.458    45.458        45.458    
example_workflow::averageratioevent_2:1.0 1         1         0       3.497     3.497     3.497         3.497     
example_workflow::calculateratio_0:1.0    1         1         0       433.681   433.681   433.681       433.681   
example_workflow::calculateratio_1:1.0    1         1         0       505.355   505.355   505.355       505.355   
example_workflow::calculateratio_2:1.0    1         1         0       453.958   453.958   453.958       453.958   
example_workflow::generalinfo_0:1.0       1         1         0       261.456   261.456   261.456       261.456   
example_workflow::init_0:1.0              1         1         0       43.694    43.694    43.694        43.694    
example_workflow::mediancpu_0:1.0         1         1         0       543.958   543.958   543.958       543.958   
example_workflow::medianmemory_0:1.0      1         1         0       537.028   537.028   537.028       537.028   
example_workflow::statscpumemory_0:1.0    1         1         0       536.128   536.128   536.128       536.128   
example_workflow::taskevent_0:1.0         1         1         0       575.655   575.655   575.655       575.655   
example_workflow::taskevent_1:1.0         1         1         0       309.572   309.572   309.572       309.572   
example_workflow::taskevent_2:1.0         1         1         0       171.044   171.044   171.044       171.044   
example_workflow::terminate_0:1.0         1         1         0       0.646     0.646     0.646         0.646     
pegasus::cleanup                          13        13        0       0.0       16.259    6.639         86.309    
pegasus::dirmanager                       1         1         0       0.0       0.0       0.0           0.0       
pegasus::transfer                         22        22        0       2.185     4.545     3.25          71.504    
