
# Transformation - name of the transformation.
# Count          - the number of times the invocations corresponding to
#                  the transformation was executed.
# Succeeded      - the count of the succeeded invocations corresponding
#                  to the transformation.
# Failed         - the count of the failed invocations corresponding to
#                  the transformation.
# Min(sec)       - the minimum invocation runtime value corresponding
#                  to the transformation.
# Max(sec)       - the maximum invocation runtime value corresponding
#                  to the transformation.
# Mean(sec)      - the mean of the invocation runtime corresponding
#                  to the transformation.
# Total(sec)     - the cumulative of invocation runtime corresponding
#                  to the transformation.

# 76a910c0-0a30-440b-ab99-7fbc946c787f (example_workflow)
Transformation                            Count     Succeeded Failed  Min       Max       Mean          Total     
dagman::post                              51        51        0       5.0       6.0       5.059         258.0     
example_workflow::analysisevent_0:1.0     1         1         0       0.68      0.68      0.68          0.68      
example_workflow::averageratioevent_0:1.0 1         1         0       29.993    29.993    29.993        29.993    
example_workflow::averageratioevent_1:1.0 1         1         0       46.663    46.663    46.663        46.663    
example_workflow::averageratioevent_2:1.0 1         1         0       3.77      3.77      3.77          3.77      
example_workflow::calculateratio_0:1.0    1         1         0       547.06    547.06    547.06        547.06    
example_workflow::calculateratio_1:1.0    1         1         0       692.472   692.472   692.472       692.472   
example_workflow::calculateratio_2:1.0    1         1         0       616.217   616.217   616.217       616.217   
example_workflow::generalinfo_0:1.0       1         1         0       309.144   309.144   309.144       309.144   
example_workflow::init_0:1.0              1         1         0       41.72     41.72     41.72         41.72     
example_workflow::mediancpu_0:1.0         1         1         0       543.746   543.746   543.746       543.746   
example_workflow::medianmemory_0:1.0      1         1         0       553.416   553.416   553.416       553.416   
example_workflow::statscpumemory_0:1.0    1         1         0       629.542   629.542   629.542       629.542   
example_workflow::taskevent_0:1.0         1         1         0       621.107   621.107   621.107       621.107   
example_workflow::taskevent_1:1.0         1         1         0       320.661   320.661   320.661       320.661   
example_workflow::taskevent_2:1.0         1         1         0       164.069   164.069   164.069       164.069   
example_workflow::terminate_0:1.0         1         1         0       0.653     0.653     0.653         0.653     
pegasus::cleanup                          13        13        0       0.0       16.288    6.662         86.611    
pegasus::dirmanager                       1         1         0       0.0       0.0       0.0           0.0       
pegasus::transfer                         22        22        0       2.275     4.777     3.407         74.95     


# All (All)
Transformation                            Count     Succeeded Failed  Min       Max       Mean          Total     
dagman::post                              51        51        0       5.0       6.0       5.059         258.0     
example_workflow::analysisevent_0:1.0     1         1         0       0.68      0.68      0.68          0.68      
example_workflow::averageratioevent_0:1.0 1         1         0       29.993    29.993    29.993        29.993    
example_workflow::averageratioevent_1:1.0 1         1         0       46.663    46.663    46.663        46.663    
example_workflow::averageratioevent_2:1.0 1         1         0       3.77      3.77      3.77          3.77      
example_workflow::calculateratio_0:1.0    1         1         0       547.06    547.06    547.06        547.06    
example_workflow::calculateratio_1:1.0    1         1         0       692.472   692.472   692.472       692.472   
example_workflow::calculateratio_2:1.0    1         1         0       616.217   616.217   616.217       616.217   
example_workflow::generalinfo_0:1.0       1         1         0       309.144   309.144   309.144       309.144   
example_workflow::init_0:1.0              1         1         0       41.72     41.72     41.72         41.72     
example_workflow::mediancpu_0:1.0         1         1         0       543.746   543.746   543.746       543.746   
example_workflow::medianmemory_0:1.0      1         1         0       553.416   553.416   553.416       553.416   
example_workflow::statscpumemory_0:1.0    1         1         0       629.542   629.542   629.542       629.542   
example_workflow::taskevent_0:1.0         1         1         0       621.107   621.107   621.107       621.107   
example_workflow::taskevent_1:1.0         1         1         0       320.661   320.661   320.661       320.661   
example_workflow::taskevent_2:1.0         1         1         0       164.069   164.069   164.069       164.069   
example_workflow::terminate_0:1.0         1         1         0       0.653     0.653     0.653         0.653     
pegasus::cleanup                          13        13        0       0.0       16.288    6.662         86.611    
pegasus::dirmanager                       1         1         0       0.0       0.0       0.0           0.0       
pegasus::transfer                         22        22        0       2.275     4.777     3.407         74.95     
