
# Transformation - name of the transformation.
# Count          - the number of times the invocations corresponding to
#                  the transformation was executed.
# Succeeded      - the count of the succeeded invocations corresponding
#                  to the transformation.
# Failed         - the count of the failed invocations corresponding to
#                  the transformation.
# Min(sec)       - the minimum invocation runtime value corresponding
#                  to the transformation.
# Max(sec)       - the maximum invocation runtime value corresponding
#                  to the transformation.
# Mean(sec)      - the mean of the invocation runtime corresponding
#                  to the transformation.
# Total(sec)     - the cumulative of invocation runtime corresponding
#                  to the transformation.

# 73f5066d-f881-46cb-91bc-b16566a2714d (example_workflow)
Transformation                            Count     Succeeded Failed  Min       Max       Mean          Total     
dagman::post                              51        51        0       5.0       6.0       5.216         266.0     
example_workflow::analysisevent_0:1.0     1         1         0       0.672     0.672     0.672         0.672     
example_workflow::averageratioevent_0:1.0 1         1         0       25.435    25.435    25.435        25.435    
example_workflow::averageratioevent_1:1.0 1         1         0       46.055    46.055    46.055        46.055    
example_workflow::averageratioevent_2:1.0 1         1         0       4.24      4.24      4.24          4.24      
example_workflow::calculateratio_0:1.0    1         1         0       1046.583  1046.583  1046.583      1046.583  
example_workflow::calculateratio_1:1.0    1         1         0       1253.123  1253.123  1253.123      1253.123  
example_workflow::calculateratio_2:1.0    1         1         0       1070.75   1070.75   1070.75       1070.75   
example_workflow::generalinfo_0:1.0       1         1         0       259.946   259.946   259.946       259.946   
example_workflow::init_0:1.0              1         1         0       44.227    44.227    44.227        44.227    
example_workflow::mediancpu_0:1.0         1         1         0       542.896   542.896   542.896       542.896   
example_workflow::medianmemory_0:1.0      1         1         0       542.18    542.18    542.18        542.18    
example_workflow::statscpumemory_0:1.0    1         1         0       546.501   546.501   546.501       546.501   
example_workflow::taskevent_0:1.0         1         1         0       565.579   565.579   565.579       565.579   
example_workflow::taskevent_1:1.0         1         1         0       331.927   331.927   331.927       331.927   
example_workflow::taskevent_2:1.0         1         1         0       172.798   172.798   172.798       172.798   
example_workflow::terminate_0:1.0         1         1         0       0.636     0.636     0.636         0.636     
pegasus::cleanup                          13        13        0       0.0       16.274    6.639         86.312    
pegasus::dirmanager                       1         1         0       0.0       0.0       0.0           0.0       
pegasus::transfer                         22        22        0       2.215     4.502     3.245         71.39     


# All (All)
Transformation                            Count     Succeeded Failed  Min       Max       Mean          Total     
dagman::post                              51        51        0       5.0       6.0       5.216         266.0     
example_workflow::analysisevent_0:1.0     1         1         0       0.672     0.672     0.672         0.672     
example_workflow::averageratioevent_0:1.0 1         1         0       25.435    25.435    25.435        25.435    
example_workflow::averageratioevent_1:1.0 1         1         0       46.055    46.055    46.055        46.055    
example_workflow::averageratioevent_2:1.0 1         1         0       4.24      4.24      4.24          4.24      
example_workflow::calculateratio_0:1.0    1         1         0       1046.583  1046.583  1046.583      1046.583  
example_workflow::calculateratio_1:1.0    1         1         0       1253.123  1253.123  1253.123      1253.123  
example_workflow::calculateratio_2:1.0    1         1         0       1070.75   1070.75   1070.75       1070.75   
example_workflow::generalinfo_0:1.0       1         1         0       259.946   259.946   259.946       259.946   
example_workflow::init_0:1.0              1         1         0       44.227    44.227    44.227        44.227    
example_workflow::mediancpu_0:1.0         1         1         0       542.896   542.896   542.896       542.896   
example_workflow::medianmemory_0:1.0      1         1         0       542.18    542.18    542.18        542.18    
example_workflow::statscpumemory_0:1.0    1         1         0       546.501   546.501   546.501       546.501   
example_workflow::taskevent_0:1.0         1         1         0       565.579   565.579   565.579       565.579   
example_workflow::taskevent_1:1.0         1         1         0       331.927   331.927   331.927       331.927   
example_workflow::taskevent_2:1.0         1         1         0       172.798   172.798   172.798       172.798   
example_workflow::terminate_0:1.0         1         1         0       0.636     0.636     0.636         0.636     
pegasus::cleanup                          13        13        0       0.0       16.274    6.639         86.312    
pegasus::dirmanager                       1         1         0       0.0       0.0       0.0           0.0       
pegasus::transfer                         22        22        0       2.215     4.502     3.245         71.39     
