
# Transformation - name of the transformation.
# Count          - the number of times the invocations corresponding to
#                  the transformation was executed.
# Succeeded      - the count of the succeeded invocations corresponding
#                  to the transformation.
# Failed         - the count of the failed invocations corresponding to
#                  the transformation.
# Min(sec)       - the minimum invocation runtime value corresponding
#                  to the transformation.
# Max(sec)       - the maximum invocation runtime value corresponding
#                  to the transformation.
# Mean(sec)      - the mean of the invocation runtime corresponding
#                  to the transformation.
# Total(sec)     - the cumulative of invocation runtime corresponding
#                  to the transformation.

# 733ef981-cd94-44c5-9eae-93583327bad5 (example_workflow)
Transformation                            Count     Succeeded Failed  Min       Max       Mean          Total     
dagman::post                              64        64        0       5.0       6.0       5.094         326.0     
example_workflow::analysisevent_0:1.0     1         1         0       0.711     0.711     0.711         0.711     
example_workflow::averageratioevent_0:1.0 1         1         0       15.603    15.603    15.603        15.603    
example_workflow::averageratioevent_1:1.0 1         1         0       9.091     9.091     9.091         9.091     
example_workflow::averageratioevent_2:1.0 1         1         0       47.212    47.212    47.212        47.212    
example_workflow::averageratioevent_3:1.0 1         1         0       0.745     0.745     0.745         0.745     
example_workflow::calculateratio_0:1.0    1         1         0       400.95    400.95    400.95        400.95    
example_workflow::calculateratio_1:1.0    1         1         0       391.986   391.986   391.986       391.986   
example_workflow::calculateratio_2:1.0    1         1         0       404.833   404.833   404.833       404.833   
example_workflow::calculateratio_3:1.0    1         1         0       495.543   495.543   495.543       495.543   
example_workflow::calculateratio_4:1.0    1         1         0       411.246   411.246   411.246       411.246   
example_workflow::calculateratio_5:1.0    1         1         0       498.88    498.88    498.88        498.88    
example_workflow::calculateratio_6:1.0    1         1         0       327.737   327.737   327.737       327.737   
example_workflow::calculateratio_7:1.0    1         1         0       403.526   403.526   403.526       403.526   
example_workflow::calculateratio_8:1.0    1         1         0       466.904   466.904   466.904       466.904   
example_workflow::generalinfo_0:1.0       1         1         0       259.418   259.418   259.418       259.418   
example_workflow::init_0:1.0              1         1         0       1.191     1.191     1.191         1.191     
example_workflow::mediancpu_0:1.0         1         1         0       574.345   574.345   574.345       574.345   
