
# Transformation - name of the transformation.
# Count          - the number of times the invocations corresponding to
#                  the transformation was executed.
# Succeeded      - the count of the succeeded invocations corresponding
#                  to the transformation.
# Failed         - the count of the failed invocations corresponding to
#                  the transformation.
# Min(sec)       - the minimum invocation runtime value corresponding
#                  to the transformation.
# Max(sec)       - the maximum invocation runtime value corresponding
#                  to the transformation.
# Mean(sec)      - the mean of the invocation runtime corresponding
#                  to the transformation.
# Total(sec)     - the cumulative of invocation runtime corresponding
#                  to the transformation.

# 75de1680-b996-4908-89a8-df6600b9674f (example_workflow)
Transformation                            Count     Succeeded Failed  Min       Max       Mean          Total     
dagman::post                              65        64        1       5.0       6.0       5.185         337.0     
example_workflow::analysisevent_0:1.0     1         1         0       0.675     0.675     0.675         0.675     
example_workflow::averageratioevent_0:1.0 1         1         0       15.442    15.442    15.442        15.442    
example_workflow::averageratioevent_1:1.0 1         1         0       8.299     8.299     8.299         8.299     
example_workflow::averageratioevent_2:1.0 1         1         0       46.029    46.029    46.029        46.029    
example_workflow::averageratioevent_3:1.0 1         1         0       0.661     0.661     0.661         0.661     
example_workflow::calculateratio_0:1.0    1         1         0       342.64    342.64    342.64        342.64    
example_workflow::calculateratio_1:1.0    1         1         0       320.306   320.306   320.306       320.306   
example_workflow::calculateratio_2:1.0    1         1         0       357.347   357.347   357.347       357.347   
example_workflow::calculateratio_3:1.0    1         1         0       417.598   417.598   417.598       417.598   
example_workflow::calculateratio_4:1.0    1         1         0       379.406   379.406   379.406       379.406   
example_workflow::calculateratio_5:1.0    1         1         0       404.681   404.681   404.681       404.681   
example_workflow::calculateratio_6:1.0    1         1         0       286.985   286.985   286.985       286.985   
example_workflow::calculateratio_7:1.0    1         1         0       333.831   333.831   333.831       333.831   
example_workflow::calculateratio_8:1.0    1         1         0       369.752   369.752   369.752       369.752   
example_workflow::generalinfo_0:1.0       1         1         0       256.927   256.927   256.927       256.927   
example_workflow::init_0:1.0              2         1         1       0.638     14.64     7.639         15.278    
example_workflow::mediancpu_0:1.0         1         1         0       566.231   566.231   566.231       566.231   
