1478645469 INTERNAL *** MONITORD_STARTED ***
1478645467 INTERNAL *** DAGMAN_STARTED 3724.0 ***
1478645471 create_dir_example_workflow_0_local SUBMIT 3725.0 local - 1
1478645476 create_dir_example_workflow_0_local EXECUTE 3725.0 local - 1
1478645476 create_dir_example_workflow_0_local JOB_TERMINATED 3725.0 local - 1
1478645476 create_dir_example_workflow_0_local JOB_SUCCESS 0 local - 1
1478645476 create_dir_example_workflow_0_local POST_SCRIPT_STARTED 3725.0 local - 1
1478645481 create_dir_example_workflow_0_local POST_SCRIPT_TERMINATED 3725.0 local - 1
1478645481 create_dir_example_workflow_0_local POST_SCRIPT_SUCCESS 0 local - 1
1478645487 stage_in_local_local_0_0 SUBMIT 3726.0 local - 2
1478645487 stage_in_remote_local_2_1 SUBMIT 3727.0 local - 3
1478645487 stage_in_local_local_0_0 EXECUTE 3726.0 local - 2
1478645487 stage_in_local_local_6_0 SUBMIT 3728.0 local - 4
1478645487 stage_in_remote_local_5_1 SUBMIT 3729.0 local - 5
1478645487 stage_in_remote_local_5_0 SUBMIT 3730.0 local - 6
1478645492 stage_in_local_local_0_0 JOB_TERMINATED 3726.0 local - 2
1478645492 stage_in_local_local_0_0 JOB_SUCCESS 0 local - 2
1478645492 stage_in_local_local_0_0 POST_SCRIPT_STARTED 3726.0 local - 2
1478645492 stage_in_remote_local_2_1 EXECUTE 3727.0 local - 3
1478645492 stage_in_remote_local_5_0 EXECUTE 3730.0 local - 6
1478645492 stage_in_local_local_6_0 EXECUTE 3728.0 local - 4
1478645492 stage_in_remote_local_5_1 EXECUTE 3729.0 local - 5
1478645492 stage_in_local_local_6_0 JOB_TERMINATED 3728.0 local - 4
1478645492 stage_in_local_local_6_0 JOB_SUCCESS 0 local - 4
1478645492 stage_in_local_local_6_0 POST_SCRIPT_STARTED 3728.0 local - 4
1478645492 stage_in_remote_local_2_1 JOB_TERMINATED 3727.0 local - 3
1478645492 stage_in_remote_local_2_1 JOB_SUCCESS 0 local - 3
1478645492 stage_in_remote_local_2_1 POST_SCRIPT_STARTED 3727.0 local - 3
1478645492 stage_in_local_local_2_0 SUBMIT 3731.0 local - 7
1478645492 stage_in_local_local_2_1 SUBMIT 3732.0 local - 8
1478645492 stage_in_remote_local_1_0 SUBMIT 3733.0 local - 9
1478645492 stage_in_local_local_3_1 SUBMIT 3734.0 local - 10
1478645492 stage_in_local_local_5_0 SUBMIT 3735.0 local - 11
1478645497 stage_in_remote_local_2_1 POST_SCRIPT_TERMINATED 3727.0 local - 3
1478645497 stage_in_remote_local_2_1 POST_SCRIPT_SUCCESS 0 local - 3
1478645497 stage_in_local_local_6_0 POST_SCRIPT_TERMINATED 3728.0 local - 4
1478645497 stage_in_local_local_6_0 POST_SCRIPT_SUCCESS 0 local - 4
1478645497 stage_in_local_local_0_0 POST_SCRIPT_TERMINATED 3726.0 local - 2
1478645497 stage_in_local_local_0_0 POST_SCRIPT_SUCCESS 0 local - 2
1478645497 stage_in_remote_local_5_0 JOB_TERMINATED 3730.0 local - 6
1478645497 stage_in_remote_local_5_0 JOB_SUCCESS 0 local - 6
1478645497 stage_in_remote_local_5_0 POST_SCRIPT_STARTED 3730.0 local - 6
1478645497 stage_in_local_local_2_1 EXECUTE 3732.0 local - 8
1478645497 stage_in_remote_local_5_1 JOB_TERMINATED 3729.0 local - 5
1478645497 stage_in_remote_local_5_1 JOB_SUCCESS 0 local - 5
1478645497 stage_in_remote_local_5_1 POST_SCRIPT_STARTED 3729.0 local - 5
1478645497 stage_in_local_local_2_0 EXECUTE 3731.0 local - 7
1478645497 stage_in_remote_local_1_0 EXECUTE 3733.0 local - 9
1478645497 stage_in_local_local_3_1 EXECUTE 3734.0 local - 10
1478645497 stage_in_local_local_5_0 EXECUTE 3735.0 local - 11
1478645497 stage_in_local_local_2_1 JOB_TERMINATED 3732.0 local - 8
1478645497 stage_in_local_local_2_1 JOB_SUCCESS 0 local - 8
1478645497 stage_in_local_local_2_1 POST_SCRIPT_STARTED 3732.0 local - 8
1478645497 stage_in_remote_local_1_0 JOB_TERMINATED 3733.0 local - 9
1478645497 stage_in_remote_local_1_0 JOB_SUCCESS 0 local - 9
1478645497 stage_in_remote_local_1_0 POST_SCRIPT_STARTED 3733.0 local - 9
1478645497 stage_in_local_local_3_0 SUBMIT 3736.0 local - 12
1478645497 stage_in_local_local_5_1 SUBMIT 3737.0 local - 13
1478645497 stage_in_local_local_4_0 SUBMIT 3738.0 local - 14
1478645497 stage_in_local_local_7_0 SUBMIT 3739.0 local - 15
1478645497 stage_in_local_local_4_1 SUBMIT 3740.0 local - 16
1478645503 stage_in_local_local_2_1 POST_SCRIPT_TERMINATED 3732.0 local - 8
1478645503 stage_in_local_local_2_1 POST_SCRIPT_SUCCESS 0 local - 8
1478645503 stage_in_remote_local_5_1 POST_SCRIPT_TERMINATED 3729.0 local - 5
1478645503 stage_in_remote_local_5_1 POST_SCRIPT_SUCCESS 0 local - 5
1478645503 stage_in_remote_local_5_0 POST_SCRIPT_TERMINATED 3730.0 local - 6
1478645503 stage_in_remote_local_5_0 POST_SCRIPT_SUCCESS 0 local - 6
1478645503 stage_in_local_local_2_0 JOB_TERMINATED 3731.0 local - 7
1478645503 stage_in_local_local_2_0 JOB_SUCCESS 0 local - 7
1478645503 stage_in_local_local_2_0 POST_SCRIPT_STARTED 3731.0 local - 7
1478645503 stage_in_remote_local_1_0 POST_SCRIPT_TERMINATED 3733.0 local - 9
1478645503 stage_in_remote_local_1_0 POST_SCRIPT_SUCCESS 0 local - 9
1478645503 stage_in_local_local_5_1 EXECUTE 3737.0 local - 13
1478645503 stage_in_local_local_7_0 EXECUTE 3739.0 local - 15
1478645503 stage_in_local_local_3_0 EXECUTE 3736.0 local - 12
1478645503 stage_in_local_local_5_0 JOB_TERMINATED 3735.0 local - 11
1478645503 stage_in_local_local_5_0 JOB_SUCCESS 0 local - 11
1478645503 stage_in_local_local_5_0 POST_SCRIPT_STARTED 3735.0 local - 11
1478645503 stage_in_local_local_4_0 EXECUTE 3738.0 local - 14
1478645503 stage_in_local_local_3_1 JOB_TERMINATED 3734.0 local - 10
1478645503 stage_in_local_local_3_1 JOB_SUCCESS 0 local - 10
1478645503 stage_in_local_local_3_1 POST_SCRIPT_STARTED 3734.0 local - 10
1478645503 stage_in_local_local_4_1 EXECUTE 3740.0 local - 16
1478645503 stage_in_local_local_7_0 JOB_TERMINATED 3739.0 local - 15
1478645503 stage_in_local_local_7_0 JOB_SUCCESS 0 local - 15
1478645503 stage_in_local_local_7_0 POST_SCRIPT_STARTED 3739.0 local - 15
1478645503 stage_in_local_local_1_0 SUBMIT 3741.0 local - 17
1478645503 stage_in_local_local_1_0 EXECUTE 3741.0 local - 17
1478645503 stage_in_remote_local_4_1 SUBMIT 3742.0 local - 18
1478645503 stage_in_remote_local_4_1 EXECUTE 3742.0 local - 18
1478645503 stage_in_remote_local_4_0 SUBMIT 3743.0 local - 19
1478645503 stage_in_remote_local_4_0 EXECUTE 3743.0 local - 19
1478645503 stage_in_remote_local_2_0 SUBMIT 3744.0 local - 20
1478645503 stage_in_remote_local_2_0 EXECUTE 3744.0 local - 20
1478645503 stage_in_remote_local_3_1 SUBMIT 3745.0 local - 21
1478645508 stage_in_local_local_4_0 JOB_TERMINATED 3738.0 local - 14
1478645508 stage_in_local_local_4_0 JOB_SUCCESS 0 local - 14
