
# Transformation - name of the transformation.
# Count          - the number of times the invocations corresponding to
#                  the transformation was executed.
# Succeeded      - the count of the succeeded invocations corresponding
#                  to the transformation.
# Failed         - the count of the failed invocations corresponding to
#                  the transformation.
# Min(sec)       - the minimum invocation runtime value corresponding
#                  to the transformation.
# Max(sec)       - the maximum invocation runtime value corresponding
#                  to the transformation.
# Mean(sec)      - the mean of the invocation runtime corresponding
#                  to the transformation.
# Total(sec)     - the cumulative of invocation runtime corresponding
#                  to the transformation.

# f87b02f6-84e1-4f1f-a9f1-e0fd0a84e1ba (example_workflow)
Transformation                            Count     Succeeded Failed  Min       Max       Mean          Total     
dagman::post                              65        64        1       5.0       6.0       5.277         343.0     
example_workflow::analysisevent_0:1.0     1         1         0       0.648     0.648     0.648         0.648     
example_workflow::averageratioevent_0:1.0 1         1         0       14.038    14.038    14.038        14.038    
example_workflow::averageratioevent_1:1.0 1         1         0       7.815     7.815     7.815         7.815     
example_workflow::averageratioevent_2:1.0 1         1         0       44.144    44.144    44.144        44.144    
example_workflow::averageratioevent_3:1.0 1         1         0       0.653     0.653     0.653         0.653     
example_workflow::calculateratio_0:1.0    1         1         0       628.198   628.198   628.198       628.198   
example_workflow::calculateratio_1:1.0    1         1         0       556.496   556.496   556.496       556.496   
example_workflow::calculateratio_2:1.0    1         1         0       618.09    618.09    618.09        618.09    
example_workflow::calculateratio_3:1.0    1         1         0       722.473   722.473   722.473       722.473   
example_workflow::calculateratio_4:1.0    1         1         0       555.659   555.659   555.659       555.659   
example_workflow::calculateratio_5:1.0    1         1         0       684.227   684.227   684.227       684.227   
example_workflow::calculateratio_6:1.0    1         1         0       545.065   545.065   545.065       545.065   
example_workflow::calculateratio_7:1.0    1         1         0       595.633   595.633   595.633       595.633   
example_workflow::calculateratio_8:1.0    1         1         0       610.062   610.062   610.062       610.062   
example_workflow::generalinfo_0:1.0       1         1         0       252.446   252.446   252.446       252.446   
example_workflow::init_0:1.0              2         1         1       0.641     0.652     0.647         1.293     
example_workflow::mediancpu_0:1.0         1         1         0       544.419   544.419   544.419       544.419   
example_workflow::medianmemory_0:1.0      1         1         0       545.658   545.658   545.658       545.658   
example_workflow::statscpumemory_0:1.0    1         1         0       535.894   535.894   535.894       535.894   
example_workflow::taskevent_0:1.0         1         1         0       234.476   234.476   234.476       234.476   
example_workflow::taskevent_1:1.0         1         1         0       228.833   228.833   228.833       228.833   
example_workflow::taskevent_2:1.0         1         1         0       67.02     67.02     67.02         67.02     
example_workflow::taskevent_3:1.0         1         1         0       55.675    55.675    55.675        55.675    
example_workflow::taskevent_4:1.0         1         1         0       131.105   131.105   131.105       131.105   
example_workflow::taskevent_5:1.0         1         1         0       98.431    98.431    98.431        98.431    
example_workflow::taskevent_6:1.0         1         1         0       10.413    10.413    10.413        10.413    
example_workflow::taskevent_7:1.0         1         1         0       22.161    22.161    22.161        22.161    
example_workflow::taskevent_8:1.0         1         1         0       58.765    58.765    58.765        58.765    
example_workflow::terminate_0:1.0         1         1         0       0.637     0.637     0.637         0.637     
