
# Transformation - name of the transformation.
# Count          - the number of times the invocations corresponding to
#                  the transformation was executed.
# Succeeded      - the count of the succeeded invocations corresponding
#                  to the transformation.
# Failed         - the count of the failed invocations corresponding to
#                  the transformation.
# Min(sec)       - the minimum invocation runtime value corresponding
#                  to the transformation.
# Max(sec)       - the maximum invocation runtime value corresponding
#                  to the transformation.
# Mean(sec)      - the mean of the invocation runtime corresponding
#                  to the transformation.
# Total(sec)     - the cumulative of invocation runtime corresponding
#                  to the transformation.

# 6c1b1e20-e763-4b2e-932e-f25dc9d50df9 (example_workflow)
Transformation                            Count     Succeeded Failed  Min       Max       Mean          Total     
dagman::post                              64        64        0       5.0       6.0       5.234         335.0     
example_workflow::analysisevent_0:1.0     1         1         0       0.696     0.696     0.696         0.696     
example_workflow::averageratioevent_0:1.0 1         1         0       19.699    19.699    19.699        19.699    
example_workflow::averageratioevent_1:1.0 1         1         0       12.284    12.284    12.284        12.284    
example_workflow::averageratioevent_2:1.0 1         1         0       51.901    51.901    51.901        51.901    
example_workflow::averageratioevent_3:1.0 1         1         0       2.432     2.432     2.432         2.432     
example_workflow::calculateratio_0:1.0    1         1         0       280.294   280.294   280.294       280.294   
example_workflow::calculateratio_1:1.0    1         1         0       260.361   260.361   260.361       260.361   
example_workflow::calculateratio_2:1.0    1         1         0       328.967   328.967   328.967       328.967   
example_workflow::calculateratio_3:1.0    1         1         0       365.411   365.411   365.411       365.411   
example_workflow::calculateratio_4:1.0    1         1         0       331.929   331.929   331.929       331.929   
example_workflow::calculateratio_5:1.0    1         1         0       352.227   352.227   352.227       352.227   
example_workflow::calculateratio_6:1.0    1         1         0       298.577   298.577   298.577       298.577   
example_workflow::calculateratio_7:1.0    1         1         0       271.522   271.522   271.522       271.522   
example_workflow::calculateratio_8:1.0    1         1         0       316.908   316.908   316.908       316.908   
example_workflow::generalinfo_0:1.0       1         1         0       259.606   259.606   259.606       259.606   
example_workflow::init_0:1.0              1         1         0       1.138     1.138     1.138         1.138     
example_workflow::mediancpu_0:1.0         1         1         0       572.348   572.348   572.348       572.348   
example_workflow::medianmemory_0:1.0      1         1         0       561.036   561.036   561.036       561.036   
example_workflow::statscpumemory_0:1.0    1         1         0       548.687   548.687   548.687       548.687   
example_workflow::taskevent_0:1.0         1         1         0       276.707   276.707   276.707       276.707   
example_workflow::taskevent_1:1.0         1         1         0       272.294   272.294   272.294       272.294   
example_workflow::taskevent_2:1.0         1         1         0       90.888    90.888    90.888        90.888    
example_workflow::taskevent_3:1.0         1         1         0       79.299    79.299    79.299        79.299    
example_workflow::taskevent_4:1.0         1         1         0       155.679   155.679   155.679       155.679   
example_workflow::taskevent_5:1.0         1         1         0       120.308   120.308   120.308       120.308   
example_workflow::taskevent_6:1.0         1         1         0       10.364    10.364    10.364        10.364    
example_workflow::taskevent_7:1.0         1         1         0       29.707    29.707    29.707        29.707    
example_workflow::taskevent_8:1.0         1         1         0       79.067    79.067    79.067        79.067    
example_workflow::terminate_0:1.0         1         1         0       0.645     0.645     0.645         0.645     
pegasus::cleanup                          13        13        0       0.0       16.292    7.865         102.25    
pegasus::dirmanager                       1         1         0       0.0       0.0       0.0           0.0       
pegasus::transfer                         22        22        0       2.183     4.746     3.755         82.605    


# All (All)
Transformation                            Count     Succeeded Failed  Min       Max       Mean          Total     
dagman::post                              64        64        0       5.0       6.0       5.234         335.0     
example_workflow::analysisevent_0:1.0     1         1         0       0.696     0.696     0.696         0.696     
example_workflow::averageratioevent_0:1.0 1         1         0       19.699    19.699    19.699        19.699    
example_workflow::averageratioevent_1:1.0 1         1         0       12.284    12.284    12.284        12.284    
example_workflow::averageratioevent_2:1.0 1         1         0       51.901    51.901    51.901        51.901    
example_workflow::averageratioevent_3:1.0 1         1         0       2.432     2.432     2.432         2.432     
example_workflow::calculateratio_0:1.0    1         1         0       280.294   280.294   280.294       280.294   
example_workflow::calculateratio_1:1.0    1         1         0       260.361   260.361   260.361       260.361   
example_workflow::calculateratio_2:1.0    1         1         0       328.967   328.967   328.967       328.967   
