
# Transformation - name of the transformation.
# Count          - the number of times the invocations corresponding to
#                  the transformation was executed.
# Succeeded      - the count of the succeeded invocations corresponding
#                  to the transformation.
# Failed         - the count of the failed invocations corresponding to
#                  the transformation.
# Min(sec)       - the minimum invocation runtime value corresponding
#                  to the transformation.
# Max(sec)       - the maximum invocation runtime value corresponding
#                  to the transformation.
# Mean(sec)      - the mean of the invocation runtime corresponding
#                  to the transformation.
# Total(sec)     - the cumulative of invocation runtime corresponding
#                  to the transformation.

# 438b8873-6044-446c-bc93-da95f6c8e61d (example_workflow)
Transformation                            Count     Succeeded Failed  Min       Max       Mean          Total     
dagman::post                              65        64        1       5.0       25.0      5.954         387.0     
example_workflow::analysisevent_0:1.0     1         1         0       0.664     0.664     0.664         0.664     
example_workflow::averageratioevent_0:1.0 1         1         0       18.596    18.596    18.596        18.596    
example_workflow::averageratioevent_1:1.0 1         1         0       12.011    12.011    12.011        12.011    
example_workflow::averageratioevent_2:1.0 1         1         0       50.194    50.194    50.194        50.194    
example_workflow::averageratioevent_3:1.0 1         1         0       2.75      2.75      2.75          2.75      
example_workflow::calculateratio_0:1.0    1         1         0       226.701   226.701   226.701       226.701   
example_workflow::calculateratio_1:1.0    1         1         0       192.563   192.563   192.563       192.563   
example_workflow::calculateratio_2:1.0    1         1         0       234.405   234.405   234.405       234.405   
example_workflow::calculateratio_3:1.0    1         1         0       287.106   287.106   287.106       287.106   
example_workflow::calculateratio_4:1.0    1         1         0       249.054   249.054   249.054       249.054   
example_workflow::calculateratio_5:1.0    1         1         0       249.624   249.624   249.624       249.624   
example_workflow::calculateratio_6:1.0    1         1         0       188.327   188.327   188.327       188.327   
example_workflow::calculateratio_7:1.0    1         1         0       219.558   219.558   219.558       219.558   
example_workflow::calculateratio_8:1.0    1         1         0       238.664   238.664   238.664       238.664   
example_workflow::generalinfo_0:1.0       1         1         0       237.396   237.396   237.396       237.396   
example_workflow::init_0:1.0              2         1         1       1.141     14.154    7.647         15.295    
example_workflow::mediancpu_0:1.0         1         1         0       542.495   542.495   542.495       542.495   
example_workflow::medianmemory_0:1.0      1         1         0       527.456   527.456   527.456       527.456   
example_workflow::statscpumemory_0:1.0    1         1         0       526.034   526.034   526.034       526.034   
example_workflow::taskevent_0:1.0         1         1         0       239.368   239.368   239.368       239.368   
example_workflow::taskevent_1:1.0         1         1         0       221.621   221.621   221.621       221.621   
example_workflow::taskevent_2:1.0         1         1         0       68.657    68.657    68.657        68.657    
example_workflow::taskevent_3:1.0         1         1         0       50.589    50.589    50.589        50.589    
example_workflow::taskevent_4:1.0         1         1         0       127.118   127.118   127.118       127.118   
example_workflow::taskevent_5:1.0         1         1         0       92.385    92.385    92.385        92.385    
example_workflow::taskevent_6:1.0         1         1         0       9.43      9.43      9.43          9.43      
example_workflow::taskevent_7:1.0         1         1         0       15.476    15.476    15.476        15.476    
example_workflow::taskevent_8:1.0         1         1         0       49.532    49.532    49.532        49.532    
example_workflow::terminate_0:1.0         1         1         0       0.641     0.641     0.641         0.641     
pegasus::cleanup                          13        13        0       0.0       16.259    7.865         102.243   
pegasus::dirmanager                       1         1         0       0.0       0.0       0.0           0.0       
pegasus::transfer                         22        22        0       2.233     4.657     3.762         82.774    


# All (All)
Transformation                            Count     Succeeded Failed  Min       Max       Mean          Total     
dagman::post                              65        64        1       5.0       25.0      5.954         387.0     
example_workflow::analysisevent_0:1.0     1         1         0       0.664     0.664     0.664         0.664     
example_workflow::averageratioevent_0:1.0 1         1         0       18.596    18.596    18.596        18.596    
example_workflow::averageratioevent_1:1.0 1         1         0       12.011    12.011    12.011        12.011    
example_workflow::averageratioevent_2:1.0 1         1         0       50.194    50.194    50.194        50.194    
example_workflow::averageratioevent_3:1.0 1         1         0       2.75      2.75      2.75          2.75      
example_workflow::calculateratio_0:1.0    1         1         0       226.701   226.701   226.701       226.701   
example_workflow::calculateratio_1:1.0    1         1         0       192.563   192.563   192.563       192.563   
example_workflow::calculateratio_2:1.0    1         1         0       234.405   234.405   234.405       234.405   
example_workflow::calculateratio_3:1.0    1         1         0       287.106   287.106   287.106       287.106   
example_workflow::calculateratio_4:1.0    1         1         0       249.054   249.054   249.054       249.054   
example_workflow::calculateratio_5:1.0    1         1         0       249.624   249.624   249.624       249.624   
example_workflow::calculateratio_6:1.0    1         1         0       188.327   188.327   188.327       188.327   
example_workflow::calculateratio_7:1.0    1         1         0       219.558   219.558   219.558       219.558   
example_workflow::calculateratio_8:1.0    1         1         0       238.664   238.664   238.664       238.664   
example_workflow::generalinfo_0:1.0       1         1         0       237.396   237.396   237.396       237.396   
example_workflow::init_0:1.0              2         1         1       1.141     14.154    7.647         15.295    
example_workflow::mediancpu_0:1.0         1         1         0       542.495   542.495   542.495       542.495   
example_workflow::medianmemory_0:1.0      1         1         0       527.456   527.456   527.456       527.456   
example_workflow::statscpumemory_0:1.0    1         1         0       526.034   526.034   526.034       526.034   
example_workflow::taskevent_0:1.0         1         1         0       239.368   239.368   239.368       239.368   
example_workflow::taskevent_1:1.0         1         1         0       221.621   221.621   221.621       221.621   
example_workflow::taskevent_2:1.0         1         1         0       68.657    68.657    68.657        68.657    
example_workflow::taskevent_3:1.0         1         1         0       50.589    50.589    50.589        50.589    
example_workflow::taskevent_4:1.0         1         1         0       127.118   127.118   127.118       127.118   
example_workflow::taskevent_5:1.0         1         1         0       92.385    92.385    92.385        92.385    
example_workflow::taskevent_6:1.0         1         1         0       9.43      9.43      9.43          9.43      
example_workflow::taskevent_7:1.0         1         1         0       15.476    15.476    15.476        15.476    
example_workflow::taskevent_8:1.0         1         1         0       49.532    49.532    49.532        49.532    
example_workflow::terminate_0:1.0         1         1         0       0.641     0.641     0.641         0.641     
pegasus::cleanup                          13        13        0       0.0       16.259    7.865         102.243   
pegasus::dirmanager                       1         1         0       0.0       0.0       0.0           0.0       
pegasus::transfer                         22        22        0       2.233     4.657     3.762         82.774    
