
# Transformation - name of the transformation.
# Count          - the number of times the invocations corresponding to
#                  the transformation was executed.
# Succeeded      - the count of the succeeded invocations corresponding
#                  to the transformation.
# Failed         - the count of the failed invocations corresponding to
#                  the transformation.
# Min(sec)       - the minimum invocation runtime value corresponding
#                  to the transformation.
# Max(sec)       - the maximum invocation runtime value corresponding
#                  to the transformation.
# Mean(sec)      - the mean of the invocation runtime corresponding
#                  to the transformation.
# Total(sec)     - the cumulative of invocation runtime corresponding
#                  to the transformation.

# cb511500-12a7-4c93-8ada-2dd37603c038 (example_workflow)
Transformation                            Count     Succeeded Failed  Min       Max       Mean          Total     
dagman::post                              64        64        0       5.0       7.0       5.156         330.0     
example_workflow::analysisevent_0:1.0     1         1         0       0.677     0.677     0.677         0.677     
example_workflow::averageratioevent_0:1.0 1         1         0       20.483    20.483    20.483        20.483    
example_workflow::averageratioevent_1:1.0 1         1         0       13.199    13.199    13.199        13.199    
example_workflow::averageratioevent_2:1.0 1         1         0       55.15     55.15     55.15         55.15     
example_workflow::averageratioevent_3:1.0 1         1         0       3.154     3.154     3.154         3.154     
example_workflow::calculateratio_0:1.0    1         1         0       484.467   484.467   484.467       484.467   
example_workflow::calculateratio_1:1.0    1         1         0       422.631   422.631   422.631       422.631   
example_workflow::calculateratio_2:1.0    1         1         0       510.396   510.396   510.396       510.396   
example_workflow::calculateratio_3:1.0    1         1         0       615.673   615.673   615.673       615.673   
example_workflow::calculateratio_4:1.0    1         1         0       562.666   562.666   562.666       562.666   
example_workflow::calculateratio_5:1.0    1         1         0       569.753   569.753   569.753       569.753   
example_workflow::calculateratio_6:1.0    1         1         0       442.767   442.767   442.767       442.767   
example_workflow::calculateratio_7:1.0    1         1         0       437.68    437.68    437.68        437.68    
example_workflow::calculateratio_8:1.0    1         1         0       544.069   544.069   544.069       544.069   
example_workflow::generalinfo_0:1.0       1         1         0       244.632   244.632   244.632       244.632   
example_workflow::init_0:1.0              1         1         0       22.686    22.686    22.686        22.686    
example_workflow::mediancpu_0:1.0         1         1         0       541.087   541.087   541.087       541.087   
example_workflow::medianmemory_0:1.0      1         1         0       546.246   546.246   546.246       546.246   
example_workflow::statscpumemory_0:1.0    1         1         0       523.527   523.527   523.527       523.527   
example_workflow::taskevent_0:1.0         1         1         0       242.923   242.923   242.923       242.923   
example_workflow::taskevent_1:1.0         1         1         0       234.439   234.439   234.439       234.439   
example_workflow::taskevent_2:1.0         1         1         0       76.356    76.356    76.356        76.356    
example_workflow::taskevent_3:1.0         1         1         0       59.015    59.015    59.015        59.015    
example_workflow::taskevent_4:1.0         1         1         0       138.922   138.922   138.922       138.922   
example_workflow::taskevent_5:1.0         1         1         0       100.53    100.53    100.53        100.53    
example_workflow::taskevent_6:1.0         1         1         0       9.623     9.623     9.623         9.623     
example_workflow::taskevent_7:1.0         1         1         0       14.755    14.755    14.755        14.755    
example_workflow::taskevent_8:1.0         1         1         0       57.87     57.87     57.87         57.87     
example_workflow::terminate_0:1.0         1         1         0       0.672     0.672     0.672         0.672     
pegasus::cleanup                          13        13        0       0.0       16.223    7.883         102.473   
pegasus::dirmanager                       1         1         0       0.0       0.0       0.0           0.0       
pegasus::transfer                         22        22        0       2.209     4.824     3.73          82.049    


# All (All)
Transformation                            Count     Succeeded Failed  Min       Max       Mean          Total     
dagman::post                              64        64        0       5.0       7.0       5.156         330.0     
example_workflow::analysisevent_0:1.0     1         1         0       0.677     0.677     0.677         0.677     
example_workflow::averageratioevent_0:1.0 1         1         0       20.483    20.483    20.483        20.483    
example_workflow::averageratioevent_1:1.0 1         1         0       13.199    13.199    13.199        13.199    
example_workflow::averageratioevent_2:1.0 1         1         0       55.15     55.15     55.15         55.15     
example_workflow::averageratioevent_3:1.0 1         1         0       3.154     3.154     3.154         3.154     
example_workflow::calculateratio_0:1.0    1         1         0       484.467   484.467   484.467       484.467   
example_workflow::calculateratio_1:1.0    1         1         0       422.631   422.631   422.631       422.631   
example_workflow::calculateratio_2:1.0    1         1         0       510.396   510.396   510.396       510.396   
example_workflow::calculateratio_3:1.0    1         1         0       615.673   615.673   615.673       615.673   
example_workflow::calculateratio_4:1.0    1         1         0       562.666   562.666   562.666       562.666   
example_workflow::calculateratio_5:1.0    1         1         0       569.753   569.753   569.753       569.753   
example_workflow::calculateratio_6:1.0    1         1         0       442.767   442.767   442.767       442.767   
example_workflow::calculateratio_7:1.0    1         1         0       437.68    437.68    437.68        437.68    
example_workflow::calculateratio_8:1.0    1         1         0       544.069   544.069   544.069       544.069   
example_workflow::generalinfo_0:1.0       1         1         0       244.632   244.632   244.632       244.632   
example_workflow::init_0:1.0              1         1         0       22.686    22.686    22.686        22.686    
example_workflow::mediancpu_0:1.0         1         1         0       541.087   541.087   541.087       541.087   
example_workflow::medianmemory_0:1.0      1         1         0       546.246   546.246   546.246       546.246   
example_workflow::statscpumemory_0:1.0    1         1         0       523.527   523.527   523.527       523.527   
example_workflow::taskevent_0:1.0         1         1         0       242.923   242.923   242.923       242.923   
example_workflow::taskevent_1:1.0         1         1         0       234.439   234.439   234.439       234.439   
example_workflow::taskevent_2:1.0         1         1         0       76.356    76.356    76.356        76.356    
example_workflow::taskevent_3:1.0         1         1         0       59.015    59.015    59.015        59.015    
example_workflow::taskevent_4:1.0         1         1         0       138.922   138.922   138.922       138.922   
example_workflow::taskevent_5:1.0         1         1         0       100.53    100.53    100.53        100.53    
example_workflow::taskevent_6:1.0         1         1         0       9.623     9.623     9.623         9.623     
example_workflow::taskevent_7:1.0         1         1         0       14.755    14.755    14.755        14.755    
example_workflow::taskevent_8:1.0         1         1         0       57.87     57.87     57.87         57.87     
example_workflow::terminate_0:1.0         1         1         0       0.672     0.672     0.672         0.672     
pegasus::cleanup                          13        13        0       0.0       16.223    7.883         102.473   
pegasus::dirmanager                       1         1         0       0.0       0.0       0.0           0.0       
pegasus::transfer                         22        22        0       2.209     4.824     3.73          82.049    
