
# Transformation - name of the transformation.
# Count          - the number of times the invocations corresponding to
#                  the transformation was executed.
# Succeeded      - the count of the succeeded invocations corresponding
#                  to the transformation.
# Failed         - the count of the failed invocations corresponding to
#                  the transformation.
# Min(sec)       - the minimum invocation runtime value corresponding
#                  to the transformation.
# Max(sec)       - the maximum invocation runtime value corresponding
#                  to the transformation.
# Mean(sec)      - the mean of the invocation runtime corresponding
#                  to the transformation.
# Total(sec)     - the cumulative of invocation runtime corresponding
#                  to the transformation.

# 1fcaacfb-6bf3-4a55-86ef-73df420d9f9e (example_workflow)
Transformation                            Count     Succeeded Failed  Min       Max       Mean          Total     
dagman::post                              65        64        1       5.0       6.0       5.292         344.0     
example_workflow::analysisevent_0:1.0     1         1         0       0.659     0.659     0.659         0.659     
example_workflow::averageratioevent_0:1.0 1         1         0       20.892    20.892    20.892        20.892    
example_workflow::averageratioevent_1:1.0 1         1         0       13.183    13.183    13.183        13.183    
example_workflow::averageratioevent_2:1.0 1         1         0       57.692    57.692    57.692        57.692    
example_workflow::averageratioevent_3:1.0 1         1         0       2.766     2.766     2.766         2.766     
example_workflow::calculateratio_0:1.0    1         1         0       456.563   456.563   456.563       456.563   
example_workflow::calculateratio_1:1.0    1         1         0       391.426   391.426   391.426       391.426   
example_workflow::calculateratio_2:1.0    1         1         0       476.803   476.803   476.803       476.803   
example_workflow::calculateratio_3:1.0    1         1         0       593.604   593.604   593.604       593.604   
example_workflow::calculateratio_4:1.0    1         1         0       531.512   531.512   531.512       531.512   
example_workflow::calculateratio_5:1.0    1         1         0       534.238   534.238   534.238       534.238   
example_workflow::calculateratio_6:1.0    1         1         0       420.784   420.784   420.784       420.784   
example_workflow::calculateratio_7:1.0    1         1         0       419.309   419.309   419.309       419.309   
example_workflow::calculateratio_8:1.0    1         1         0       529.85    529.85    529.85        529.85    
example_workflow::generalinfo_0:1.0       1         1         0       245.637   245.637   245.637       245.637   
example_workflow::init_0:1.0              2         1         1       1.12      14.664    7.892         15.784    
example_workflow::mediancpu_0:1.0         1         1         0       547.646   547.646   547.646       547.646   
example_workflow::medianmemory_0:1.0      1         1         0       535.653   535.653   535.653       535.653   
example_workflow::statscpumemory_0:1.0    1         1         0       527.468   527.468   527.468       527.468   
example_workflow::taskevent_0:1.0         1         1         0       238.045   238.045   238.045       238.045   
