1482107626 INTERNAL *** MONITORD_STARTED ***
1482107624 INTERNAL *** DAGMAN_STARTED 2432.0 ***
1482107628 create_dir_example_workflow_0_local SUBMIT 2433.0 local - 1
1482107633 create_dir_example_workflow_0_local EXECUTE 2433.0 local - 1
1482107633 create_dir_example_workflow_0_local JOB_TERMINATED 2433.0 local - 1
1482107633 create_dir_example_workflow_0_local JOB_SUCCESS 0 local - 1
1482107633 create_dir_example_workflow_0_local POST_SCRIPT_STARTED 2433.0 local - 1
1482107638 create_dir_example_workflow_0_local POST_SCRIPT_TERMINATED 2433.0 local - 1
1482107638 create_dir_example_workflow_0_local POST_SCRIPT_SUCCESS 0 local - 1
1482107644 stage_in_local_local_0_0 SUBMIT 2434.0 local - 2
1482107644 stage_in_local_local_0_0 EXECUTE 2434.0 local - 2
1482107644 stage_in_local_local_6_0 SUBMIT 2435.0 local - 3
1482107644 stage_in_remote_local_2_1 SUBMIT 2436.0 local - 4
1482107644 stage_in_remote_local_5_0 SUBMIT 2437.0 local - 5
1482107644 stage_in_local_local_2_0 SUBMIT 2438.0 local - 6
1482107649 stage_in_local_local_0_0 JOB_TERMINATED 2434.0 local - 2
1482107649 stage_in_local_local_0_0 JOB_SUCCESS 0 local - 2
1482107649 stage_in_local_local_0_0 POST_SCRIPT_STARTED 2434.0 local - 2
1482107649 stage_in_remote_local_2_1 EXECUTE 2436.0 local - 4
1482107649 stage_in_local_local_2_0 EXECUTE 2438.0 local - 6
1482107649 stage_in_local_local_6_0 EXECUTE 2435.0 local - 3
1482107649 stage_in_remote_local_5_0 EXECUTE 2437.0 local - 5
1482107649 stage_in_remote_local_2_1 JOB_TERMINATED 2436.0 local - 4
1482107649 stage_in_remote_local_2_1 JOB_SUCCESS 0 local - 4
1482107649 stage_in_remote_local_2_1 POST_SCRIPT_STARTED 2436.0 local - 4
1482107649 stage_in_local_local_6_0 JOB_TERMINATED 2435.0 local - 3
1482107649 stage_in_local_local_6_0 JOB_SUCCESS 0 local - 3
1482107649 stage_in_local_local_6_0 POST_SCRIPT_STARTED 2435.0 local - 3
1482107649 stage_in_remote_local_5_0 JOB_TERMINATED 2437.0 local - 5
1482107649 stage_in_remote_local_5_0 JOB_SUCCESS 0 local - 5
1482107649 stage_in_remote_local_5_0 POST_SCRIPT_STARTED 2437.0 local - 5
1482107649 stage_in_local_local_2_1 SUBMIT 2439.0 local - 7
1482107649 stage_in_remote_local_1_0 SUBMIT 2440.0 local - 8
1482107649 stage_in_local_local_5_0 SUBMIT 2441.0 local - 9
1482107649 stage_in_local_local_3_0 SUBMIT 2442.0 local - 10
1482107649 stage_in_remote_local_7_0 SUBMIT 2443.0 local - 11
1482107654 stage_in_local_local_0_0 POST_SCRIPT_TERMINATED 2434.0 local - 2
1482107654 stage_in_local_local_0_0 POST_SCRIPT_SUCCESS 0 local - 2
1482107654 stage_in_local_local_6_0 POST_SCRIPT_TERMINATED 2435.0 local - 3
1482107654 stage_in_local_local_6_0 POST_SCRIPT_SUCCESS 0 local - 3
1482107654 stage_in_remote_local_2_1 POST_SCRIPT_TERMINATED 2436.0 local - 4
1482107654 stage_in_remote_local_2_1 POST_SCRIPT_SUCCESS 0 local - 4
1482107654 stage_in_remote_local_5_0 POST_SCRIPT_TERMINATED 2437.0 local - 5
1482107654 stage_in_remote_local_5_0 POST_SCRIPT_SUCCESS 0 local - 5
1482107654 stage_in_local_local_2_0 JOB_TERMINATED 2438.0 local - 6
1482107654 stage_in_local_local_2_0 JOB_SUCCESS 0 local - 6
1482107654 stage_in_local_local_2_0 POST_SCRIPT_STARTED 2438.0 local - 6
1482107654 stage_in_local_local_3_0 EXECUTE 2442.0 local - 10
1482107654 stage_in_local_local_5_0 EXECUTE 2441.0 local - 9
1482107654 stage_in_remote_local_1_0 EXECUTE 2440.0 local - 8
1482107654 stage_in_remote_local_7_0 EXECUTE 2443.0 local - 11
1482107654 stage_in_local_local_2_1 EXECUTE 2439.0 local - 7
1482107654 stage_in_local_local_5_0 JOB_TERMINATED 2441.0 local - 9
1482107654 stage_in_local_local_5_0 JOB_SUCCESS 0 local - 9
1482107654 stage_in_local_local_5_0 POST_SCRIPT_STARTED 2441.0 local - 9
1482107654 stage_in_local_local_2_1 JOB_TERMINATED 2439.0 local - 7
1482107654 stage_in_local_local_2_1 JOB_SUCCESS 0 local - 7
1482107654 stage_in_local_local_2_1 POST_SCRIPT_STARTED 2439.0 local - 7
1482107654 stage_in_local_local_3_0 JOB_TERMINATED 2442.0 local - 10
1482107654 stage_in_local_local_3_0 JOB_SUCCESS 0 local - 10
1482107654 stage_in_local_local_3_0 POST_SCRIPT_STARTED 2442.0 local - 10
1482107654 stage_in_remote_local_1_0 JOB_TERMINATED 2440.0 local - 8
1482107654 stage_in_remote_local_1_0 JOB_SUCCESS 0 local - 8
1482107654 stage_in_remote_local_1_0 POST_SCRIPT_STARTED 2440.0 local - 8
1482107654 stage_in_remote_local_7_0 JOB_TERMINATED 2443.0 local - 11
1482107654 stage_in_remote_local_7_0 JOB_SUCCESS 0 local - 11
1482107654 stage_in_remote_local_7_0 POST_SCRIPT_STARTED 2443.0 local - 11
1482107654 stage_in_local_local_4_0 SUBMIT 2444.0 local - 12
1482107654 stage_in_local_local_1_0 SUBMIT 2445.0 local - 13
