1480993851 INTERNAL *** MONITORD_STARTED ***
1480993850 INTERNAL *** DAGMAN_STARTED 8505.0 ***
1480993854 create_dir_example_workflow_0_local SUBMIT 8506.0 local - 1
1480993859 create_dir_example_workflow_0_local EXECUTE 8506.0 local - 1
1480993859 create_dir_example_workflow_0_local JOB_TERMINATED 8506.0 local - 1
1480993859 create_dir_example_workflow_0_local JOB_SUCCESS 0 local - 1
1480993859 create_dir_example_workflow_0_local POST_SCRIPT_STARTED 8506.0 local - 1
1480993864 create_dir_example_workflow_0_local POST_SCRIPT_TERMINATED 8506.0 local - 1
1480993864 create_dir_example_workflow_0_local POST_SCRIPT_SUCCESS 0 local - 1
1480993869 stage_in_local_local_0_0 SUBMIT 8507.0 local - 2
1480993869 stage_in_local_local_0_0 EXECUTE 8507.0 local - 2
1480993869 stage_in_local_local_6_0 SUBMIT 8508.0 local - 3
1480993869 stage_in_remote_local_2_1 SUBMIT 8509.0 local - 4
1480993869 stage_in_remote_local_5_0 SUBMIT 8510.0 local - 5
1480993869 stage_in_local_local_2_0 SUBMIT 8511.0 local - 6
1480993875 stage_in_local_local_0_0 JOB_TERMINATED 8507.0 local - 2
1480993875 stage_in_local_local_0_0 JOB_SUCCESS 0 local - 2
1480993875 stage_in_local_local_0_0 POST_SCRIPT_STARTED 8507.0 local - 2
1480993875 stage_in_remote_local_2_1 EXECUTE 8509.0 local - 4
1480993875 stage_in_local_local_6_0 EXECUTE 8508.0 local - 3
1480993875 stage_in_local_local_2_0 EXECUTE 8511.0 local - 6
1480993875 stage_in_remote_local_5_0 EXECUTE 8510.0 local - 5
1480993875 stage_in_remote_local_5_0 JOB_TERMINATED 8510.0 local - 5
1480993875 stage_in_remote_local_5_0 JOB_SUCCESS 0 local - 5
1480993875 stage_in_remote_local_5_0 POST_SCRIPT_STARTED 8510.0 local - 5
1480993875 stage_in_remote_local_2_1 JOB_TERMINATED 8509.0 local - 4
1480993875 stage_in_remote_local_2_1 JOB_SUCCESS 0 local - 4
1480993875 stage_in_remote_local_2_1 POST_SCRIPT_STARTED 8509.0 local - 4
1480993875 stage_in_local_local_6_0 JOB_TERMINATED 8508.0 local - 3
1480993875 stage_in_local_local_6_0 JOB_SUCCESS 0 local - 3
1480993875 stage_in_local_local_6_0 POST_SCRIPT_STARTED 8508.0 local - 3
1480993875 stage_in_local_local_2_1 SUBMIT 8512.0 local - 7
1480993875 stage_in_local_local_2_1 EXECUTE 8512.0 local - 7
1480993875 stage_in_remote_local_1_0 SUBMIT 8513.0 local - 8
1480993875 stage_in_local_local_3_0 SUBMIT 8514.0 local - 9
1480993875 stage_in_remote_local_1_0 EXECUTE 8513.0 local - 8
1480993875 stage_in_local_local_3_0 EXECUTE 8514.0 local - 9
1480993875 stage_in_local_local_5_0 SUBMIT 8515.0 local - 10
1480993875 stage_in_local_local_4_0 SUBMIT 8516.0 local - 11
1480993880 stage_in_remote_local_5_0 POST_SCRIPT_TERMINATED 8510.0 local - 5
1480993880 stage_in_remote_local_5_0 POST_SCRIPT_SUCCESS 0 local - 5
1480993880 stage_in_local_local_0_0 POST_SCRIPT_TERMINATED 8507.0 local - 2
1480993880 stage_in_local_local_0_0 POST_SCRIPT_SUCCESS 0 local - 2
1480993880 stage_in_remote_local_2_1 POST_SCRIPT_TERMINATED 8509.0 local - 4
1480993880 stage_in_remote_local_2_1 POST_SCRIPT_SUCCESS 0 local - 4
1480993880 stage_in_local_local_6_0 POST_SCRIPT_TERMINATED 8508.0 local - 3
1480993880 stage_in_local_local_6_0 POST_SCRIPT_SUCCESS 0 local - 3
1480993880 stage_in_local_local_2_0 JOB_TERMINATED 8511.0 local - 6
1480993880 stage_in_local_local_2_0 JOB_SUCCESS 0 local - 6
1480993880 stage_in_local_local_2_0 POST_SCRIPT_STARTED 8511.0 local - 6
1480993880 stage_in_local_local_5_0 EXECUTE 8515.0 local - 10
1480993880 stage_in_local_local_4_0 EXECUTE 8516.0 local - 11
1480993880 stage_in_local_local_2_1 JOB_TERMINATED 8512.0 local - 7
1480993880 stage_in_local_local_2_1 JOB_SUCCESS 0 local - 7
1480993880 stage_in_local_local_2_1 POST_SCRIPT_STARTED 8512.0 local - 7
1480993880 stage_in_remote_local_1_0 JOB_TERMINATED 8513.0 local - 8
1480993880 stage_in_remote_local_1_0 JOB_SUCCESS 0 local - 8
1480993880 stage_in_remote_local_1_0 POST_SCRIPT_STARTED 8513.0 local - 8
1480993880 stage_in_local_local_3_0 JOB_TERMINATED 8514.0 local - 9
1480993880 stage_in_local_local_3_0 JOB_SUCCESS 0 local - 9
1480993880 stage_in_local_local_3_0 POST_SCRIPT_STARTED 8514.0 local - 9
