1481915672 INTERNAL *** MONITORD_STARTED ***
1481915670 INTERNAL *** DAGMAN_STARTED 8935.0 ***
1481915675 create_dir_example_workflow_0_local SUBMIT 8936.0 local - 1
1481915680 create_dir_example_workflow_0_local EXECUTE 8936.0 local - 1
1481915680 create_dir_example_workflow_0_local JOB_TERMINATED 8936.0 local - 1
1481915680 create_dir_example_workflow_0_local JOB_SUCCESS 0 local - 1
1481915680 create_dir_example_workflow_0_local POST_SCRIPT_STARTED 8936.0 local - 1
1481915685 create_dir_example_workflow_0_local POST_SCRIPT_TERMINATED 8936.0 local - 1
1481915685 create_dir_example_workflow_0_local POST_SCRIPT_SUCCESS 0 local - 1
1481915690 stage_in_local_local_0_0 SUBMIT 8937.0 local - 2
1481915690 stage_in_local_local_0_0 EXECUTE 8937.0 local - 2
1481915690 stage_in_local_local_6_0 SUBMIT 8938.0 local - 3
1481915690 stage_in_remote_local_2_1 SUBMIT 8939.0 local - 4
1481915690 stage_in_remote_local_5_0 SUBMIT 8940.0 local - 5
1481915690 stage_in_local_local_2_0 SUBMIT 8941.0 local - 6
1481915696 stage_in_local_local_0_0 JOB_TERMINATED 8937.0 local - 2
1481915696 stage_in_local_local_0_0 JOB_SUCCESS 0 local - 2
1481915696 stage_in_local_local_0_0 POST_SCRIPT_STARTED 8937.0 local - 2
1481915696 stage_in_remote_local_5_0 EXECUTE 8940.0 local - 5
1481915696 stage_in_remote_local_2_1 EXECUTE 8939.0 local - 4
1481915696 stage_in_local_local_6_0 EXECUTE 8938.0 local - 3
1481915696 stage_in_local_local_2_0 EXECUTE 8941.0 local - 6
1481915696 stage_in_remote_local_5_0 JOB_TERMINATED 8940.0 local - 5
1481915696 stage_in_remote_local_5_0 JOB_SUCCESS 0 local - 5
1481915696 stage_in_remote_local_5_0 POST_SCRIPT_STARTED 8940.0 local - 5
1481915696 stage_in_remote_local_2_1 JOB_TERMINATED 8939.0 local - 4
1481915696 stage_in_remote_local_2_1 JOB_SUCCESS 0 local - 4
1481915696 stage_in_remote_local_2_1 POST_SCRIPT_STARTED 8939.0 local - 4
1481915696 stage_in_local_local_6_0 JOB_TERMINATED 8938.0 local - 3
1481915696 stage_in_local_local_6_0 JOB_SUCCESS 0 local - 3
1481915696 stage_in_local_local_6_0 POST_SCRIPT_STARTED 8938.0 local - 3
1481915696 stage_in_local_local_2_1 SUBMIT 8942.0 local - 7
1481915696 stage_in_local_local_2_1 EXECUTE 8942.0 local - 7
1481915696 stage_in_remote_local_1_0 SUBMIT 8943.0 local - 8
