
# Transformation - name of the transformation.
# Count          - the number of times the invocations corresponding to
#                  the transformation was executed.
# Succeeded      - the count of the succeeded invocations corresponding
#                  to the transformation.
# Failed         - the count of the failed invocations corresponding to
#                  the transformation.
# Min(sec)       - the minimum invocation runtime value corresponding
#                  to the transformation.
# Max(sec)       - the maximum invocation runtime value corresponding
#                  to the transformation.
# Mean(sec)      - the mean of the invocation runtime corresponding
#                  to the transformation.
# Total(sec)     - the cumulative of invocation runtime corresponding
#                  to the transformation.

# 5679fb50-d41e-430c-9ca5-5020b1d9faa7 (example_workflow)
Transformation                            Count     Succeeded Failed  Min       Max       Mean          Total     
dagman::post                              38        38        0       5.0       6.0       5.132         195.0     
example_workflow::analysisevent_0:1.0     1         1         0       0.637     0.637     0.637         0.637     
example_workflow::averageratioevent_0:1.0 1         1         0       1240.776  1240.776  1240.776      1240.776  
example_workflow::calculateratio_0:1.0    1         1         0       14583.683 14583.683 14583.683     14583.683 
example_workflow::generalinfo_0:1.0       1         1         0       3588.282  3588.282  3588.282      3588.282  
example_workflow::init_0:1.0              1         1         0       588.538   588.538   588.538       588.538   
example_workflow::mediancpu_0:1.0         1         1         0       7978.019  7978.019  7978.019      7978.019  
example_workflow::medianmemory_0:1.0      1         1         0       7679.509  7679.509  7679.509      7679.509  
example_workflow::statscpumemory_0:1.0    1         1         0       7645.54   7645.54   7645.54       7645.54   
example_workflow::taskevent_0:1.0         1         1         0       11416.44  11416.44  11416.44      11416.44  
example_workflow::terminate_0:1.0         1         1         0       0.623     0.623     0.623         0.623     
pegasus::cleanup                          10        10        0       0.0       8.361     4.572         45.725    
pegasus::dirmanager                       1         1         0       0.0       0.0       0.0           0.0       
pegasus::transfer                         18        18        0       2.216     4.804     2.963         53.34     


# All (All)
Transformation                            Count     Succeeded Failed  Min       Max       Mean          Total     
dagman::post                              38        38        0       5.0       6.0       5.132         195.0     
example_workflow::analysisevent_0:1.0     1         1         0       0.637     0.637     0.637         0.637     
example_workflow::averageratioevent_0:1.0 1         1         0       1240.776  1240.776  1240.776      1240.776  
example_workflow::calculateratio_0:1.0    1         1         0       14583.683 14583.683 14583.683     14583.683 
example_workflow::generalinfo_0:1.0       1         1         0       3588.282  3588.282  3588.282      3588.282  
example_workflow::init_0:1.0              1         1         0       588.538   588.538   588.538       588.538   
example_workflow::mediancpu_0:1.0         1         1         0       7978.019  7978.019  7978.019      7978.019  
example_workflow::medianmemory_0:1.0      1         1         0       7679.509  7679.509  7679.509      7679.509  
example_workflow::statscpumemory_0:1.0    1         1         0       7645.54   7645.54   7645.54       7645.54   
example_workflow::taskevent_0:1.0         1         1         0       11416.44  11416.44  11416.44      11416.44  
example_workflow::terminate_0:1.0         1         1         0       0.623     0.623     0.623         0.623     
pegasus::cleanup                          10        10        0       0.0       8.361     4.572         45.725    
pegasus::dirmanager                       1         1         0       0.0       0.0       0.0           0.0       
pegasus::transfer                         18        18        0       2.216     4.804     2.963         53.34     
