
# Transformation - name of the transformation.
# Count          - the number of times the invocations corresponding to
#                  the transformation was executed.
# Succeeded      - the count of the succeeded invocations corresponding
#                  to the transformation.
# Failed         - the count of the failed invocations corresponding to
#                  the transformation.
# Min(sec)       - the minimum invocation runtime value corresponding
#                  to the transformation.
# Max(sec)       - the maximum invocation runtime value corresponding
#                  to the transformation.
# Mean(sec)      - the mean of the invocation runtime corresponding
#                  to the transformation.
# Total(sec)     - the cumulative of invocation runtime corresponding
#                  to the transformation.

# 4c7b807b-1455-4d1c-b03a-21c0e837163e (example_workflow)
Transformation                            Count     Succeeded Failed  Min       Max       Mean          Total     
dagman::post                              38        38        0       5.0       6.0       5.184         197.0     
example_workflow::analysisevent_0:1.0     1         1         0       0.636     0.636     0.636         0.636     
example_workflow::averageratioevent_0:1.0 1         1         0       1244.501  1244.501  1244.501      1244.501  
example_workflow::calculateratio_0:1.0    1         1         0       14843.217 14843.217 14843.217     14843.217 
example_workflow::generalinfo_0:1.0       1         1         0       3706.801  3706.801  3706.801      3706.801  
example_workflow::init_0:1.0              1         1         0       595.024   595.024   595.024       595.024   
example_workflow::mediancpu_0:1.0         1         1         0       7941.749  7941.749  7941.749      7941.749  
example_workflow::medianmemory_0:1.0      1         1         0       7787.452  7787.452  7787.452      7787.452  
example_workflow::statscpumemory_0:1.0    1         1         0       7704.81   7704.81   7704.81       7704.81   
example_workflow::taskevent_0:1.0         1         1         0       11355.306 11355.306 11355.306     11355.306 
example_workflow::terminate_0:1.0         1         1         0       0.622     0.622     0.622         0.622     
pegasus::cleanup                          10        10        0       0.0       8.261     4.565         45.654    
pegasus::dirmanager                       1         1         0       0.0       0.0       0.0           0.0       
pegasus::transfer                         18        18        0       2.225     4.917     2.981         53.653    


# All (All)
Transformation                            Count     Succeeded Failed  Min       Max       Mean          Total     
dagman::post                              38        38        0       5.0       6.0       5.184         197.0     
example_workflow::analysisevent_0:1.0     1         1         0       0.636     0.636     0.636         0.636     
example_workflow::averageratioevent_0:1.0 1         1         0       1244.501  1244.501  1244.501      1244.501  
example_workflow::calculateratio_0:1.0    1         1         0       14843.217 14843.217 14843.217     14843.217 
example_workflow::generalinfo_0:1.0       1         1         0       3706.801  3706.801  3706.801      3706.801  
example_workflow::init_0:1.0              1         1         0       595.024   595.024   595.024       595.024   
example_workflow::mediancpu_0:1.0         1         1         0       7941.749  7941.749  7941.749      7941.749  
example_workflow::medianmemory_0:1.0      1         1         0       7787.452  7787.452  7787.452      7787.452  
example_workflow::statscpumemory_0:1.0    1         1         0       7704.81   7704.81   7704.81       7704.81   
example_workflow::taskevent_0:1.0         1         1         0       11355.306 11355.306 11355.306     11355.306 
example_workflow::terminate_0:1.0         1         1         0       0.622     0.622     0.622         0.622     
pegasus::cleanup                          10        10        0       0.0       8.261     4.565         45.654    
pegasus::dirmanager                       1         1         0       0.0       0.0       0.0           0.0       
pegasus::transfer                         18        18        0       2.225     4.917     2.981         53.653    
