
# Transformation - name of the transformation.
# Count          - the number of times the invocations corresponding to
#                  the transformation was executed.
# Succeeded      - the count of the succeeded invocations corresponding
#                  to the transformation.
# Failed         - the count of the failed invocations corresponding to
#                  the transformation.
# Min(sec)       - the minimum invocation runtime value corresponding
#                  to the transformation.
# Max(sec)       - the maximum invocation runtime value corresponding
#                  to the transformation.
# Mean(sec)      - the mean of the invocation runtime corresponding
#                  to the transformation.
# Total(sec)     - the cumulative of invocation runtime corresponding
#                  to the transformation.

# 15226c84-a6e2-4c05-88dd-bf6f989f89fe (example_workflow)
Transformation                            Count     Succeeded Failed  Min       Max       Mean          Total     
dagman::post                              38        38        0       5.0       7.0       5.158         196.0     
example_workflow::analysisevent_0:1.0     1         1         0       0.634     0.634     0.634         0.634     
example_workflow::averageratioevent_0:1.0 1         1         0       1284.466  1284.466  1284.466      1284.466  
example_workflow::calculateratio_0:1.0    1         1         0       14796.164 14796.164 14796.164     14796.164 
example_workflow::generalinfo_0:1.0       1         1         0       3722.562  3722.562  3722.562      3722.562  
example_workflow::init_0:1.0              1         1         0       589.033   589.033   589.033       589.033   
example_workflow::mediancpu_0:1.0         1         1         0       7913.792  7913.792  7913.792      7913.792  
example_workflow::medianmemory_0:1.0      1         1         0       7790.156  7790.156  7790.156      7790.156  
example_workflow::statscpumemory_0:1.0    1         1         0       7883.53   7883.53   7883.53       7883.53   
example_workflow::taskevent_0:1.0         1         1         0       11520.596 11520.596 11520.596     11520.596 
example_workflow::terminate_0:1.0         1         1         0       0.647     0.647     0.647         0.647     
pegasus::cleanup                          10        10        0       0.0       8.197     4.557         45.569    
pegasus::dirmanager                       1         1         0       0.0       0.0       0.0           0.0       
pegasus::transfer                         18        18        0       2.193     4.579     2.938         52.882    


# All (All)
Transformation                            Count     Succeeded Failed  Min       Max       Mean          Total     
dagman::post                              38        38        0       5.0       7.0       5.158         196.0     
example_workflow::analysisevent_0:1.0     1         1         0       0.634     0.634     0.634         0.634     
example_workflow::averageratioevent_0:1.0 1         1         0       1284.466  1284.466  1284.466      1284.466  
example_workflow::calculateratio_0:1.0    1         1         0       14796.164 14796.164 14796.164     14796.164 
example_workflow::generalinfo_0:1.0       1         1         0       3722.562  3722.562  3722.562      3722.562  
example_workflow::init_0:1.0              1         1         0       589.033   589.033   589.033       589.033   
example_workflow::mediancpu_0:1.0         1         1         0       7913.792  7913.792  7913.792      7913.792  
example_workflow::medianmemory_0:1.0      1         1         0       7790.156  7790.156  7790.156      7790.156  
example_workflow::statscpumemory_0:1.0    1         1         0       7883.53   7883.53   7883.53       7883.53   
example_workflow::taskevent_0:1.0         1         1         0       11520.596 11520.596 11520.596     11520.596 
example_workflow::terminate_0:1.0         1         1         0       0.647     0.647     0.647         0.647     
pegasus::cleanup                          10        10        0       0.0       8.197     4.557         45.569    
pegasus::dirmanager                       1         1         0       0.0       0.0       0.0           0.0       
pegasus::transfer                         18        18        0       2.193     4.579     2.938         52.882    
