1480715356 INTERNAL *** MONITORD_STARTED ***
1480715354 INTERNAL *** DAGMAN_STARTED 8928.0 ***
1480715358 create_dir_example_workflow_0_local SUBMIT 8929.0 local - 1
1480715363 create_dir_example_workflow_0_local EXECUTE 8929.0 local - 1
1480715363 create_dir_example_workflow_0_local JOB_TERMINATED 8929.0 local - 1
1480715363 create_dir_example_workflow_0_local JOB_SUCCESS 0 local - 1
1480715363 create_dir_example_workflow_0_local POST_SCRIPT_STARTED 8929.0 local - 1
1480715368 create_dir_example_workflow_0_local POST_SCRIPT_TERMINATED 8929.0 local - 1
1480715368 create_dir_example_workflow_0_local POST_SCRIPT_SUCCESS 0 local - 1
1480715374 stage_in_local_local_0_0 SUBMIT 8930.0 local - 2
1480715374 stage_in_local_local_0_0 EXECUTE 8930.0 local - 2
1480715374 stage_in_local_local_6_0 SUBMIT 8931.0 local - 3
1480715374 stage_in_remote_local_2_1 SUBMIT 8932.0 local - 4
1480715374 stage_in_remote_local_5_1 SUBMIT 8933.0 local - 5
1480715374 stage_in_remote_local_5_0 SUBMIT 8934.0 local - 6
1480715379 stage_in_local_local_0_0 JOB_TERMINATED 8930.0 local - 2
1480715379 stage_in_local_local_0_0 JOB_SUCCESS 0 local - 2
1480715379 stage_in_local_local_0_0 POST_SCRIPT_STARTED 8930.0 local - 2
1480715379 stage_in_local_local_6_0 EXECUTE 8931.0 local - 3
1480715379 stage_in_remote_local_5_0 EXECUTE 8934.0 local - 6
1480715379 stage_in_remote_local_2_1 EXECUTE 8932.0 local - 4
1480715379 stage_in_remote_local_5_1 EXECUTE 8933.0 local - 5
1480715379 stage_in_remote_local_5_1 JOB_TERMINATED 8933.0 local - 5
1480715379 stage_in_remote_local_5_1 JOB_SUCCESS 0 local - 5
1480715379 stage_in_remote_local_5_1 POST_SCRIPT_STARTED 8933.0 local - 5
1480715380 stage_in_remote_local_2_1 JOB_TERMINATED 8932.0 local - 4
1480715380 stage_in_remote_local_2_1 JOB_SUCCESS 0 local - 4
1480715380 stage_in_remote_local_2_1 POST_SCRIPT_STARTED 8932.0 local - 4
