
# Transformation - name of the transformation.
# Count          - the number of times the invocations corresponding to
#                  the transformation was executed.
# Succeeded      - the count of the succeeded invocations corresponding
#                  to the transformation.
# Failed         - the count of the failed invocations corresponding to
#                  the transformation.
# Min(sec)       - the minimum invocation runtime value corresponding
#                  to the transformation.
# Max(sec)       - the maximum invocation runtime value corresponding
#                  to the transformation.
# Mean(sec)      - the mean of the invocation runtime corresponding
#                  to the transformation.
# Total(sec)     - the cumulative of invocation runtime corresponding
#                  to the transformation.

# 7394059c-86e5-4887-b18d-e46f89c94062 (example_workflow)
Transformation                            Count     Succeeded Failed  Min       Max       Mean          Total     
dagman::post                              38        38        0       5.0       6.0       5.158         196.0     
example_workflow::analysisevent_0:1.0     1         1         0       3.161     3.161     3.161         3.161     
example_workflow::averageratioevent_0:1.0 1         1         0       1321.163  1321.163  1321.163      1321.163  
example_workflow::calculateratio_0:1.0    1         1         0       15509.434 15509.434 15509.434     15509.434 
example_workflow::generalinfo_0:1.0       1         1         0       3881.422  3881.422  3881.422      3881.422  
example_workflow::init_0:1.0              1         1         0       603.887   603.887   603.887       603.887   
example_workflow::mediancpu_0:1.0         1         1         0       8285.983  8285.983  8285.983      8285.983  
example_workflow::medianmemory_0:1.0      1         1         0       8461.03   8461.03   8461.03       8461.03   
example_workflow::statscpumemory_0:1.0    1         1         0       8242.337  8242.337  8242.337      8242.337  
example_workflow::taskevent_0:1.0         1         1         0       12730.649 12730.649 12730.649     12730.649 
example_workflow::terminate_0:1.0         1         1         0       2.64      2.64      2.64          2.64      
pegasus::cleanup                          10        10        0       0.0       8.223     4.55          45.504    
pegasus::dirmanager                       1         1         0       0.0       0.0       0.0           0.0       
pegasus::transfer                         18        18        0       2.221     4.688     2.99          53.815    


# All (All)
Transformation                            Count     Succeeded Failed  Min       Max       Mean          Total     
dagman::post                              38        38        0       5.0       6.0       5.158         196.0     
example_workflow::analysisevent_0:1.0     1         1         0       3.161     3.161     3.161         3.161     
example_workflow::averageratioevent_0:1.0 1         1         0       1321.163  1321.163  1321.163      1321.163  
example_workflow::calculateratio_0:1.0    1         1         0       15509.434 15509.434 15509.434     15509.434 
example_workflow::generalinfo_0:1.0       1         1         0       3881.422  3881.422  3881.422      3881.422  
example_workflow::init_0:1.0              1         1         0       603.887   603.887   603.887       603.887   
example_workflow::mediancpu_0:1.0         1         1         0       8285.983  8285.983  8285.983      8285.983  
example_workflow::medianmemory_0:1.0      1         1         0       8461.03   8461.03   8461.03       8461.03   
example_workflow::statscpumemory_0:1.0    1         1         0       8242.337  8242.337  8242.337      8242.337  
example_workflow::taskevent_0:1.0         1         1         0       12730.649 12730.649 12730.649     12730.649 
example_workflow::terminate_0:1.0         1         1         0       2.64      2.64      2.64          2.64      
pegasus::cleanup                          10        10        0       0.0       8.223     4.55          45.504    
pegasus::dirmanager                       1         1         0       0.0       0.0       0.0           0.0       
pegasus::transfer                         18        18        0       2.221     4.688     2.99          53.815    
