
# Transformation - name of the transformation.
# Count          - the number of times the invocations corresponding to
#                  the transformation was executed.
# Succeeded      - the count of the succeeded invocations corresponding
#                  to the transformation.
# Failed         - the count of the failed invocations corresponding to
#                  the transformation.
# Min(sec)       - the minimum invocation runtime value corresponding
#                  to the transformation.
# Max(sec)       - the maximum invocation runtime value corresponding
#                  to the transformation.
# Mean(sec)      - the mean of the invocation runtime corresponding
#                  to the transformation.
# Total(sec)     - the cumulative of invocation runtime corresponding
#                  to the transformation.

# 73e61419-f334-41c9-96d0-d8dffd258f42 (example_workflow)
Transformation                            Count     Succeeded Failed  Min       Max       Mean          Total     
dagman::post                              38        38        0       5.0       6.0       5.342         203.0     
example_workflow::analysisevent_0:1.0     1         1         0       3.183     3.183     3.183         3.183     
example_workflow::averageratioevent_0:1.0 1         1         0       1332.096  1332.096  1332.096      1332.096  
example_workflow::calculateratio_0:1.0    1         1         0       15618.887 15618.887 15618.887     15618.887 
example_workflow::generalinfo_0:1.0       1         1         0       3781.036  3781.036  3781.036      3781.036  
example_workflow::init_0:1.0              1         1         0       608.857   608.857   608.857       608.857   
example_workflow::mediancpu_0:1.0         1         1         0       8381.226  8381.226  8381.226      8381.226  
example_workflow::medianmemory_0:1.0      1         1         0       8171.162  8171.162  8171.162      8171.162  
example_workflow::statscpumemory_0:1.0    1         1         0       8062.0    8062.0    8062.0        8062.0    
example_workflow::taskevent_0:1.0         1         1         0       12769.946 12769.946 12769.946     12769.946 
example_workflow::terminate_0:1.0         1         1         0       2.649     2.649     2.649         2.649     
pegasus::cleanup                          10        10        0       0.0       8.267     4.559         45.595    
pegasus::dirmanager                       1         1         0       0.0       0.0       0.0           0.0       
pegasus::transfer                         18        18        0       2.193     4.641     2.884         51.916    


# All (All)
Transformation                            Count     Succeeded Failed  Min       Max       Mean          Total     
dagman::post                              38        38        0       5.0       6.0       5.342         203.0     
example_workflow::analysisevent_0:1.0     1         1         0       3.183     3.183     3.183         3.183     
example_workflow::averageratioevent_0:1.0 1         1         0       1332.096  1332.096  1332.096      1332.096  
example_workflow::calculateratio_0:1.0    1         1         0       15618.887 15618.887 15618.887     15618.887 
example_workflow::generalinfo_0:1.0       1         1         0       3781.036  3781.036  3781.036      3781.036  
example_workflow::init_0:1.0              1         1         0       608.857   608.857   608.857       608.857   
example_workflow::mediancpu_0:1.0         1         1         0       8381.226  8381.226  8381.226      8381.226  
example_workflow::medianmemory_0:1.0      1         1         0       8171.162  8171.162  8171.162      8171.162  
example_workflow::statscpumemory_0:1.0    1         1         0       8062.0    8062.0    8062.0        8062.0    
example_workflow::taskevent_0:1.0         1         1         0       12769.946 12769.946 12769.946     12769.946 
example_workflow::terminate_0:1.0         1         1         0       2.649     2.649     2.649         2.649     
pegasus::cleanup                          10        10        0       0.0       8.267     4.559         45.595    
pegasus::dirmanager                       1         1         0       0.0       0.0       0.0           0.0       
pegasus::transfer                         18        18        0       2.193     4.641     2.884         51.916    
