
# Transformation - name of the transformation.
# Count          - the number of times the invocations corresponding to
#                  the transformation was executed.
# Succeeded      - the count of the succeeded invocations corresponding
#                  to the transformation.
# Failed         - the count of the failed invocations corresponding to
#                  the transformation.
# Min(sec)       - the minimum invocation runtime value corresponding
#                  to the transformation.
# Max(sec)       - the maximum invocation runtime value corresponding
#                  to the transformation.
# Mean(sec)      - the mean of the invocation runtime corresponding
#                  to the transformation.
# Total(sec)     - the cumulative of invocation runtime corresponding
#                  to the transformation.

# 35817248-3068-4c0e-a4b7-1c0489b6f423 (example_workflow)
Transformation                            Count     Succeeded Failed  Min       Max       Mean          Total     
dagman::post                              38        38        0       5.0       7.0       5.289         201.0     
example_workflow::analysisevent_0:1.0     1         1         0       3.168     3.168     3.168         3.168     
example_workflow::averageratioevent_0:1.0 1         1         0       1334.509  1334.509  1334.509      1334.509  
example_workflow::calculateratio_0:1.0    1         1         0       15633.427 15633.427 15633.427     15633.427 
example_workflow::generalinfo_0:1.0       1         1         0       3776.648  3776.648  3776.648      3776.648  
example_workflow::init_0:1.0              1         1         0       607.946   607.946   607.946       607.946   
example_workflow::mediancpu_0:1.0         1         1         0       8291.171  8291.171  8291.171      8291.171  
example_workflow::medianmemory_0:1.0      1         1         0       8165.688  8165.688  8165.688      8165.688  
example_workflow::statscpumemory_0:1.0    1         1         0       8090.589  8090.589  8090.589      8090.589  
example_workflow::taskevent_0:1.0         1         1         0       12670.483 12670.483 12670.483     12670.483 
example_workflow::terminate_0:1.0         1         1         0       2.646     2.646     2.646         2.646     
pegasus::cleanup                          10        10        0       0.0       8.288     4.555         45.552    
pegasus::dirmanager                       1         1         0       0.0       0.0       0.0           0.0       
pegasus::transfer                         18        18        0       2.231     4.638     2.899         52.189    


# All (All)
Transformation                            Count     Succeeded Failed  Min       Max       Mean          Total     
dagman::post                              38        38        0       5.0       7.0       5.289         201.0     
example_workflow::analysisevent_0:1.0     1         1         0       3.168     3.168     3.168         3.168     
example_workflow::averageratioevent_0:1.0 1         1         0       1334.509  1334.509  1334.509      1334.509  
example_workflow::calculateratio_0:1.0    1         1         0       15633.427 15633.427 15633.427     15633.427 
example_workflow::generalinfo_0:1.0       1         1         0       3776.648  3776.648  3776.648      3776.648  
example_workflow::init_0:1.0              1         1         0       607.946   607.946   607.946       607.946   
example_workflow::mediancpu_0:1.0         1         1         0       8291.171  8291.171  8291.171      8291.171  
example_workflow::medianmemory_0:1.0      1         1         0       8165.688  8165.688  8165.688      8165.688  
example_workflow::statscpumemory_0:1.0    1         1         0       8090.589  8090.589  8090.589      8090.589  
example_workflow::taskevent_0:1.0         1         1         0       12670.483 12670.483 12670.483     12670.483 
example_workflow::terminate_0:1.0         1         1         0       2.646     2.646     2.646         2.646     
pegasus::cleanup                          10        10        0       0.0       8.288     4.555         45.552    
pegasus::dirmanager                       1         1         0       0.0       0.0       0.0           0.0       
pegasus::transfer                         18        18        0       2.231     4.638     2.899         52.189    
