
# Transformation - name of the transformation.
# Count          - the number of times the invocations corresponding to
#                  the transformation was executed.
# Succeeded      - the count of the succeeded invocations corresponding
#                  to the transformation.
# Failed         - the count of the failed invocations corresponding to
#                  the transformation.
# Min(sec)       - the minimum invocation runtime value corresponding
#                  to the transformation.
# Max(sec)       - the maximum invocation runtime value corresponding
#                  to the transformation.
# Mean(sec)      - the mean of the invocation runtime corresponding
#                  to the transformation.
# Total(sec)     - the cumulative of invocation runtime corresponding
#                  to the transformation.

# 7fbdc95e-7296-42bf-97b4-fc51e4807ce4 (example_workflow)
Transformation                            Count     Succeeded Failed  Min       Max       Mean          Total     
dagman::post                              38        38        0       5.0       6.0       5.158         196.0     
example_workflow::analysisevent_0:1.0     1         1         0       3.122     3.122     3.122         3.122     
example_workflow::averageratioevent_0:1.0 1         1         0       1364.236  1364.236  1364.236      1364.236  
example_workflow::calculateratio_0:1.0    1         1         0       16286.613 16286.613 16286.613     16286.613 
example_workflow::generalinfo_0:1.0       1         1         0       4136.69   4136.69   4136.69       4136.69   
example_workflow::init_0:1.0              1         1         0       606.39    606.39    606.39        606.39    
example_workflow::mediancpu_0:1.0         1         1         0       8393.067  8393.067  8393.067      8393.067  
example_workflow::medianmemory_0:1.0      1         1         0       8163.848  8163.848  8163.848      8163.848  
example_workflow::statscpumemory_0:1.0    1         1         0       8130.704  8130.704  8130.704      8130.704  
example_workflow::taskevent_0:1.0         1         1         0       13956.313 13956.313 13956.313     13956.313 
example_workflow::terminate_0:1.0         1         1         0       2.649     2.649     2.649         2.649     
pegasus::cleanup                          10        10        0       0.0       8.273     4.56          45.597    
pegasus::dirmanager                       1         1         0       0.0       0.0       0.0           0.0       
pegasus::transfer                         18        18        0       2.214     4.748     2.993         53.871    


# All (All)
Transformation                            Count     Succeeded Failed  Min       Max       Mean          Total     
dagman::post                              38        38        0       5.0       6.0       5.158         196.0     
example_workflow::analysisevent_0:1.0     1         1         0       3.122     3.122     3.122         3.122     
example_workflow::averageratioevent_0:1.0 1         1         0       1364.236  1364.236  1364.236      1364.236  
example_workflow::calculateratio_0:1.0    1         1         0       16286.613 16286.613 16286.613     16286.613 
example_workflow::generalinfo_0:1.0       1         1         0       4136.69   4136.69   4136.69       4136.69   
example_workflow::init_0:1.0              1         1         0       606.39    606.39    606.39        606.39    
example_workflow::mediancpu_0:1.0         1         1         0       8393.067  8393.067  8393.067      8393.067  
example_workflow::medianmemory_0:1.0      1         1         0       8163.848  8163.848  8163.848      8163.848  
example_workflow::statscpumemory_0:1.0    1         1         0       8130.704  8130.704  8130.704      8130.704  
example_workflow::taskevent_0:1.0         1         1         0       13956.313 13956.313 13956.313     13956.313 
example_workflow::terminate_0:1.0         1         1         0       2.649     2.649     2.649         2.649     
pegasus::cleanup                          10        10        0       0.0       8.273     4.56          45.597    
pegasus::dirmanager                       1         1         0       0.0       0.0       0.0           0.0       
pegasus::transfer                         18        18        0       2.214     4.748     2.993         53.871    
