
# Transformation - name of the transformation.
# Count          - the number of times the invocations corresponding to
#                  the transformation was executed.
# Succeeded      - the count of the succeeded invocations corresponding
#                  to the transformation.
# Failed         - the count of the failed invocations corresponding to
#                  the transformation.
# Min(sec)       - the minimum invocation runtime value corresponding
#                  to the transformation.
# Max(sec)       - the maximum invocation runtime value corresponding
#                  to the transformation.
# Mean(sec)      - the mean of the invocation runtime corresponding
#                  to the transformation.
# Total(sec)     - the cumulative of invocation runtime corresponding
#                  to the transformation.

# 7b5ec7a3-1178-4c5f-97b5-8b9d27de2894 (example_workflow)
Transformation                            Count     Succeeded Failed  Min       Max       Mean          Total     
dagman::post                              51        51        0       5.0       6.0       5.176         264.0     
example_workflow::analysisevent_0:1.0     1         1         0       0.667     0.667     0.667         0.667     
example_workflow::averageratioevent_0:1.0 1         1         0       761.733   761.733   761.733       761.733   
example_workflow::averageratioevent_1:1.0 1         1         0       642.856   642.856   642.856       642.856   
example_workflow::averageratioevent_2:1.0 1         1         0       166.601   166.601   166.601       166.601   
example_workflow::calculateratio_0:1.0    1         1         0       8493.735  8493.735  8493.735      8493.735  
example_workflow::calculateratio_1:1.0    1         1         0       8487.423  8487.423  8487.423      8487.423  
example_workflow::calculateratio_2:1.0    1         1         0       8070.945  8070.945  8070.945      8070.945  
example_workflow::generalinfo_0:1.0       1         1         0       3959.338  3959.338  3959.338      3959.338  
example_workflow::init_0:1.0              1         1         0       608.984   608.984   608.984       608.984   
example_workflow::mediancpu_0:1.0         1         1         0       8331.751  8331.751  8331.751      8331.751  
example_workflow::medianmemory_0:1.0      1         1         0       8368.312  8368.312  8368.312      8368.312  
example_workflow::statscpumemory_0:1.0    1         1         0       8289.932  8289.932  8289.932      8289.932  
example_workflow::taskevent_0:1.0         1         1         0       8286.568  8286.568  8286.568      8286.568  
example_workflow::taskevent_1:1.0         1         1         0       4758.308  4758.308  4758.308      4758.308  
example_workflow::taskevent_2:1.0         1         1         0       1915.295  1915.295  1915.295      1915.295  
example_workflow::terminate_0:1.0         1         1         0       0.648     0.648     0.648         0.648     
pegasus::cleanup                          13        13        0       0.0       16.291    6.652         86.479    
pegasus::dirmanager                       1         1         0       0.0       0.0       0.0           0.0       
pegasus::transfer                         22        22        0       2.212     4.829     3.475         76.445    


# All (All)
Transformation                            Count     Succeeded Failed  Min       Max       Mean          Total     
dagman::post                              51        51        0       5.0       6.0       5.176         264.0     
example_workflow::analysisevent_0:1.0     1         1         0       0.667     0.667     0.667         0.667     
example_workflow::averageratioevent_0:1.0 1         1         0       761.733   761.733   761.733       761.733   
example_workflow::averageratioevent_1:1.0 1         1         0       642.856   642.856   642.856       642.856   
example_workflow::averageratioevent_2:1.0 1         1         0       166.601   166.601   166.601       166.601   
example_workflow::calculateratio_0:1.0    1         1         0       8493.735  8493.735  8493.735      8493.735  
example_workflow::calculateratio_1:1.0    1         1         0       8487.423  8487.423  8487.423      8487.423  
example_workflow::calculateratio_2:1.0    1         1         0       8070.945  8070.945  8070.945      8070.945  
example_workflow::generalinfo_0:1.0       1         1         0       3959.338  3959.338  3959.338      3959.338  
example_workflow::init_0:1.0              1         1         0       608.984   608.984   608.984       608.984   
example_workflow::mediancpu_0:1.0         1         1         0       8331.751  8331.751  8331.751      8331.751  
example_workflow::medianmemory_0:1.0      1         1         0       8368.312  8368.312  8368.312      8368.312  
example_workflow::statscpumemory_0:1.0    1         1         0       8289.932  8289.932  8289.932      8289.932  
example_workflow::taskevent_0:1.0         1         1         0       8286.568  8286.568  8286.568      8286.568  
example_workflow::taskevent_1:1.0         1         1         0       4758.308  4758.308  4758.308      4758.308  
example_workflow::taskevent_2:1.0         1         1         0       1915.295  1915.295  1915.295      1915.295  
example_workflow::terminate_0:1.0         1         1         0       0.648     0.648     0.648         0.648     
pegasus::cleanup                          13        13        0       0.0       16.291    6.652         86.479    
pegasus::dirmanager                       1         1         0       0.0       0.0       0.0           0.0       
pegasus::transfer                         22        22        0       2.212     4.829     3.475         76.445    
