
# Transformation - name of the transformation.
# Count          - the number of times the invocations corresponding to
#                  the transformation was executed.
# Succeeded      - the count of the succeeded invocations corresponding
#                  to the transformation.
# Failed         - the count of the failed invocations corresponding to
#                  the transformation.
# Min(sec)       - the minimum invocation runtime value corresponding
#                  to the transformation.
# Max(sec)       - the maximum invocation runtime value corresponding
#                  to the transformation.
# Mean(sec)      - the mean of the invocation runtime corresponding
#                  to the transformation.
# Total(sec)     - the cumulative of invocation runtime corresponding
#                  to the transformation.

# c236417e-eebd-4a0a-826d-f889df80807a (example_workflow)
Transformation                            Count     Succeeded Failed  Min       Max       Mean          Total     
dagman::post                              51        51        0       5.0       6.0       5.02          256.0     
example_workflow::analysisevent_0:1.0     1         1         0       0.788     0.788     0.788         0.788     
example_workflow::averageratioevent_0:1.0 1         1         0       32.149    32.149    32.149        32.149    
example_workflow::averageratioevent_1:1.0 1         1         0       48.46     48.46     48.46         48.46     
example_workflow::averageratioevent_2:1.0 1         1         0       8.48      8.48      8.48          8.48      
example_workflow::calculateratio_0:1.0    1         1         0       996.816   996.816   996.816       996.816   
example_workflow::calculateratio_1:1.0    1         1         0       1081.023  1081.023  1081.023      1081.023  
example_workflow::calculateratio_2:1.0    1         1         0       1058.321  1058.321  1058.321      1058.321  
example_workflow::generalinfo_0:1.0       1         1         0       4040.56   4040.56   4040.56       4040.56   
example_workflow::init_0:1.0              1         1         0       612.864   612.864   612.864       612.864   
example_workflow::mediancpu_0:1.0         1         1         0       8749.094  8749.094  8749.094      8749.094  
example_workflow::medianmemory_0:1.0      1         1         0       8413.034  8413.034  8413.034      8413.034  
example_workflow::statscpumemory_0:1.0    1         1         0       8455.954  8455.954  8455.954      8455.954  
example_workflow::taskevent_0:1.0         1         1         0       8326.942  8326.942  8326.942      8326.942  
example_workflow::taskevent_1:1.0         1         1         0       4830.628  4830.628  4830.628      4830.628  
example_workflow::taskevent_2:1.0         1         1         0       2019.78   2019.78   2019.78       2019.78   
example_workflow::terminate_0:1.0         1         1         0       0.669     0.669     0.669         0.669     
pegasus::cleanup                          13        13        0       0.0       16.258    6.629         86.181    
pegasus::dirmanager                       1         1         0       0.0       0.0       0.0           0.0       
pegasus::transfer                         22        22        0       2.212     4.818     3.437         75.615    


# All (All)
Transformation                            Count     Succeeded Failed  Min       Max       Mean          Total     
dagman::post                              51        51        0       5.0       6.0       5.02          256.0     
example_workflow::analysisevent_0:1.0     1         1         0       0.788     0.788     0.788         0.788     
example_workflow::averageratioevent_0:1.0 1         1         0       32.149    32.149    32.149        32.149    
example_workflow::averageratioevent_1:1.0 1         1         0       48.46     48.46     48.46         48.46     
example_workflow::averageratioevent_2:1.0 1         1         0       8.48      8.48      8.48          8.48      
example_workflow::calculateratio_0:1.0    1         1         0       996.816   996.816   996.816       996.816   
example_workflow::calculateratio_1:1.0    1         1         0       1081.023  1081.023  1081.023      1081.023  
example_workflow::calculateratio_2:1.0    1         1         0       1058.321  1058.321  1058.321      1058.321  
example_workflow::generalinfo_0:1.0       1         1         0       4040.56   4040.56   4040.56       4040.56   
example_workflow::init_0:1.0              1         1         0       612.864   612.864   612.864       612.864   
example_workflow::mediancpu_0:1.0         1         1         0       8749.094  8749.094  8749.094      8749.094  
example_workflow::medianmemory_0:1.0      1         1         0       8413.034  8413.034  8413.034      8413.034  
example_workflow::statscpumemory_0:1.0    1         1         0       8455.954  8455.954  8455.954      8455.954  
example_workflow::taskevent_0:1.0         1         1         0       8326.942  8326.942  8326.942      8326.942  
example_workflow::taskevent_1:1.0         1         1         0       4830.628  4830.628  4830.628      4830.628  
example_workflow::taskevent_2:1.0         1         1         0       2019.78   2019.78   2019.78       2019.78   
example_workflow::terminate_0:1.0         1         1         0       0.669     0.669     0.669         0.669     
pegasus::cleanup                          13        13        0       0.0       16.258    6.629         86.181    
pegasus::dirmanager                       1         1         0       0.0       0.0       0.0           0.0       
pegasus::transfer                         22        22        0       2.212     4.818     3.437         75.615    
