
# Transformation - name of the transformation.
# Count          - the number of times the invocations corresponding to
#                  the transformation was executed.
# Succeeded      - the count of the succeeded invocations corresponding
#                  to the transformation.
# Failed         - the count of the failed invocations corresponding to
#                  the transformation.
# Min(sec)       - the minimum invocation runtime value corresponding
#                  to the transformation.
# Max(sec)       - the maximum invocation runtime value corresponding
#                  to the transformation.
# Mean(sec)      - the mean of the invocation runtime corresponding
#                  to the transformation.
# Total(sec)     - the cumulative of invocation runtime corresponding
#                  to the transformation.

# bb1c75d9-e2f1-4f9d-bcc1-f30c8f5b4f89 (example_workflow)
Transformation                            Count     Succeeded Failed  Min       Max       Mean          Total     
dagman::post                              51        51        0       5.0       24.0      7.412         378.0     
example_workflow::analysisevent_0:1.0     1         1         0       0.813     0.813     0.813         0.813     
example_workflow::averageratioevent_0:1.0 1         1         0       31.026    31.026    31.026        31.026    
example_workflow::averageratioevent_1:1.0 1         1         0       49.693    49.693    49.693        49.693    
example_workflow::averageratioevent_2:1.0 1         1         0       6.977     6.977     6.977         6.977     
example_workflow::calculateratio_0:1.0    1         1         0       1055.2    1055.2    1055.2        1055.2    
example_workflow::calculateratio_1:1.0    1         1         0       1175.343  1175.343  1175.343      1175.343  
example_workflow::calculateratio_2:1.0    1         1         0       1141.369  1141.369  1141.369      1141.369  
example_workflow::generalinfo_0:1.0       1         1         0       4281.933  4281.933  4281.933      4281.933  
example_workflow::init_0:1.0              1         1         0       620.911   620.911   620.911       620.911   
example_workflow::mediancpu_0:1.0         1         1         0       8504.148  8504.148  8504.148      8504.148  
example_workflow::medianmemory_0:1.0      1         1         0       8339.208  8339.208  8339.208      8339.208  
example_workflow::statscpumemory_0:1.0    1         1         0       8955.372  8955.372  8955.372      8955.372  
example_workflow::taskevent_0:1.0         1         1         0       8613.397  8613.397  8613.397      8613.397  
example_workflow::taskevent_1:1.0         1         1         0       4754.078  4754.078  4754.078      4754.078  
example_workflow::taskevent_2:1.0         1         1         0       2007.412  2007.412  2007.412      2007.412  
example_workflow::terminate_0:1.0         1         1         0       0.623     0.623     0.623         0.623     
pegasus::cleanup                          13        13        0       0.0       16.285    6.642         86.35     
pegasus::dirmanager                       1         1         0       0.0       0.0       0.0           0.0       
pegasus::transfer                         22        22        0       2.192     4.62      3.303         72.677    


# All (All)
Transformation                            Count     Succeeded Failed  Min       Max       Mean          Total     
dagman::post                              51        51        0       5.0       24.0      7.412         378.0     
example_workflow::analysisevent_0:1.0     1         1         0       0.813     0.813     0.813         0.813     
example_workflow::averageratioevent_0:1.0 1         1         0       31.026    31.026    31.026        31.026    
example_workflow::averageratioevent_1:1.0 1         1         0       49.693    49.693    49.693        49.693    
example_workflow::averageratioevent_2:1.0 1         1         0       6.977     6.977     6.977         6.977     
example_workflow::calculateratio_0:1.0    1         1         0       1055.2    1055.2    1055.2        1055.2    
example_workflow::calculateratio_1:1.0    1         1         0       1175.343  1175.343  1175.343      1175.343  
example_workflow::calculateratio_2:1.0    1         1         0       1141.369  1141.369  1141.369      1141.369  
example_workflow::generalinfo_0:1.0       1         1         0       4281.933  4281.933  4281.933      4281.933  
example_workflow::init_0:1.0              1         1         0       620.911   620.911   620.911       620.911   
example_workflow::mediancpu_0:1.0         1         1         0       8504.148  8504.148  8504.148      8504.148  
example_workflow::medianmemory_0:1.0      1         1         0       8339.208  8339.208  8339.208      8339.208  
example_workflow::statscpumemory_0:1.0    1         1         0       8955.372  8955.372  8955.372      8955.372  
example_workflow::taskevent_0:1.0         1         1         0       8613.397  8613.397  8613.397      8613.397  
example_workflow::taskevent_1:1.0         1         1         0       4754.078  4754.078  4754.078      4754.078  
example_workflow::taskevent_2:1.0         1         1         0       2007.412  2007.412  2007.412      2007.412  
example_workflow::terminate_0:1.0         1         1         0       0.623     0.623     0.623         0.623     
pegasus::cleanup                          13        13        0       0.0       16.285    6.642         86.35     
pegasus::dirmanager                       1         1         0       0.0       0.0       0.0           0.0       
pegasus::transfer                         22        22        0       2.192     4.62      3.303         72.677    
