
# Transformation - name of the transformation.
# Count          - the number of times the invocations corresponding to
#                  the transformation was executed.
# Succeeded      - the count of the succeeded invocations corresponding
#                  to the transformation.
# Failed         - the count of the failed invocations corresponding to
#                  the transformation.
# Min(sec)       - the minimum invocation runtime value corresponding
#                  to the transformation.
# Max(sec)       - the maximum invocation runtime value corresponding
#                  to the transformation.
# Mean(sec)      - the mean of the invocation runtime corresponding
#                  to the transformation.
# Total(sec)     - the cumulative of invocation runtime corresponding
#                  to the transformation.

# 43ecef21-7e41-4c68-8fcf-d087134b72f5 (example_workflow)
Transformation                            Count     Succeeded Failed  Min       Max       Mean          Total     
dagman::post                              51        51        0       5.0       7.0       5.235         267.0     
example_workflow::analysisevent_0:1.0     1         1         0       0.784     0.784     0.784         0.784     
example_workflow::averageratioevent_0:1.0 1         1         0       33.557    33.557    33.557        33.557    
example_workflow::averageratioevent_1:1.0 1         1         0       47.798    47.798    47.798        47.798    
example_workflow::averageratioevent_2:1.0 1         1         0       5.856     5.856     5.856         5.856     
example_workflow::calculateratio_0:1.0    1         1         0       1014.151  1014.151  1014.151      1014.151  
example_workflow::calculateratio_1:1.0    1         1         0       1104.842  1104.842  1104.842      1104.842  
example_workflow::calculateratio_2:1.0    1         1         0       1096.645  1096.645  1096.645      1096.645  
example_workflow::generalinfo_0:1.0       1         1         0       4311.222  4311.222  4311.222      4311.222  
example_workflow::init_0:1.0              1         1         0       618.434   618.434   618.434       618.434   
example_workflow::mediancpu_0:1.0         1         1         0       8481.531  8481.531  8481.531      8481.531  
example_workflow::medianmemory_0:1.0      1         1         0       8075.871  8075.871  8075.871      8075.871  
example_workflow::statscpumemory_0:1.0    1         1         0       8531.404  8531.404  8531.404      8531.404  
example_workflow::taskevent_0:1.0         1         1         0       8531.741  8531.741  8531.741      8531.741  
example_workflow::taskevent_1:1.0         1         1         0       4789.315  4789.315  4789.315      4789.315  
example_workflow::taskevent_2:1.0         1         1         0       2043.228  2043.228  2043.228      2043.228  
example_workflow::terminate_0:1.0         1         1         0       0.611     0.611     0.611         0.611     
pegasus::cleanup                          13        13        0       0.0       16.268    6.649         86.443    
pegasus::dirmanager                       1         1         0       0.0       0.0       0.0           0.0       
pegasus::transfer                         22        22        0       2.198     4.653     3.275         72.054    


# All (All)
Transformation                            Count     Succeeded Failed  Min       Max       Mean          Total     
dagman::post                              51        51        0       5.0       7.0       5.235         267.0     
example_workflow::analysisevent_0:1.0     1         1         0       0.784     0.784     0.784         0.784     
example_workflow::averageratioevent_0:1.0 1         1         0       33.557    33.557    33.557        33.557    
example_workflow::averageratioevent_1:1.0 1         1         0       47.798    47.798    47.798        47.798    
example_workflow::averageratioevent_2:1.0 1         1         0       5.856     5.856     5.856         5.856     
example_workflow::calculateratio_0:1.0    1         1         0       1014.151  1014.151  1014.151      1014.151  
example_workflow::calculateratio_1:1.0    1         1         0       1104.842  1104.842  1104.842      1104.842  
example_workflow::calculateratio_2:1.0    1         1         0       1096.645  1096.645  1096.645      1096.645  
example_workflow::generalinfo_0:1.0       1         1         0       4311.222  4311.222  4311.222      4311.222  
example_workflow::init_0:1.0              1         1         0       618.434   618.434   618.434       618.434   
example_workflow::mediancpu_0:1.0         1         1         0       8481.531  8481.531  8481.531      8481.531  
example_workflow::medianmemory_0:1.0      1         1         0       8075.871  8075.871  8075.871      8075.871  
example_workflow::statscpumemory_0:1.0    1         1         0       8531.404  8531.404  8531.404      8531.404  
example_workflow::taskevent_0:1.0         1         1         0       8531.741  8531.741  8531.741      8531.741  
example_workflow::taskevent_1:1.0         1         1         0       4789.315  4789.315  4789.315      4789.315  
example_workflow::taskevent_2:1.0         1         1         0       2043.228  2043.228  2043.228      2043.228  
example_workflow::terminate_0:1.0         1         1         0       0.611     0.611     0.611         0.611     
pegasus::cleanup                          13        13        0       0.0       16.268    6.649         86.443    
pegasus::dirmanager                       1         1         0       0.0       0.0       0.0           0.0       
pegasus::transfer                         22        22        0       2.198     4.653     3.275         72.054    
