
# Transformation - name of the transformation.
# Count          - the number of times the invocations corresponding to
#                  the transformation was executed.
# Succeeded      - the count of the succeeded invocations corresponding
#                  to the transformation.
# Failed         - the count of the failed invocations corresponding to
#                  the transformation.
# Min(sec)       - the minimum invocation runtime value corresponding
#                  to the transformation.
# Max(sec)       - the maximum invocation runtime value corresponding
#                  to the transformation.
# Mean(sec)      - the mean of the invocation runtime corresponding
#                  to the transformation.
# Total(sec)     - the cumulative of invocation runtime corresponding
#                  to the transformation.

# 811253cf-f43f-4ad3-baf7-aae1196e45be (example_workflow)
Transformation                            Count     Succeeded Failed  Min       Max       Mean          Total     
dagman::post                              38        38        0       5.0       6.0       5.105         194.0     
example_workflow::analysisevent_0:1.0     1         1         0       0.658     0.658     0.658         0.658     
example_workflow::averageratioevent_0:1.0 1         1         0       1422.514  1422.514  1422.514      1422.514  
example_workflow::calculateratio_0:1.0    1         1         0       17914.445 17914.445 17914.445     17914.445 
example_workflow::generalinfo_0:1.0       1         1         0       3668.592  3668.592  3668.592      3668.592  
example_workflow::init_0:1.0              1         1         0       333.557   333.557   333.557       333.557   
example_workflow::mediancpu_0:1.0         1         1         0       8031.924  8031.924  8031.924      8031.924  
example_workflow::medianmemory_0:1.0      1         1         0       8189.413  8189.413  8189.413      8189.413  
example_workflow::statscpumemory_0:1.0    1         1         0       7890.625  7890.625  7890.625      7890.625  
example_workflow::taskevent_0:1.0         1         1         0       14041.219 14041.219 14041.219     14041.219 
example_workflow::terminate_0:1.0         1         1         0       0.632     0.632     0.632         0.632     
pegasus::cleanup                          10        10        0       0.0       8.229     4.563         45.632    
pegasus::dirmanager                       1         1         0       0.0       0.0       0.0           0.0       
pegasus::transfer                         18        18        0       2.231     4.654     2.943         52.979    


# All (All)
Transformation                            Count     Succeeded Failed  Min       Max       Mean          Total     
dagman::post                              38        38        0       5.0       6.0       5.105         194.0     
example_workflow::analysisevent_0:1.0     1         1         0       0.658     0.658     0.658         0.658     
example_workflow::averageratioevent_0:1.0 1         1         0       1422.514  1422.514  1422.514      1422.514  
example_workflow::calculateratio_0:1.0    1         1         0       17914.445 17914.445 17914.445     17914.445 
example_workflow::generalinfo_0:1.0       1         1         0       3668.592  3668.592  3668.592      3668.592  
example_workflow::init_0:1.0              1         1         0       333.557   333.557   333.557       333.557   
example_workflow::mediancpu_0:1.0         1         1         0       8031.924  8031.924  8031.924      8031.924  
example_workflow::medianmemory_0:1.0      1         1         0       8189.413  8189.413  8189.413      8189.413  
example_workflow::statscpumemory_0:1.0    1         1         0       7890.625  7890.625  7890.625      7890.625  
example_workflow::taskevent_0:1.0         1         1         0       14041.219 14041.219 14041.219     14041.219 
example_workflow::terminate_0:1.0         1         1         0       0.632     0.632     0.632         0.632     
pegasus::cleanup                          10        10        0       0.0       8.229     4.563         45.632    
pegasus::dirmanager                       1         1         0       0.0       0.0       0.0           0.0       
pegasus::transfer                         18        18        0       2.231     4.654     2.943         52.979    
