1481422532 INTERNAL *** MONITORD_STARTED ***
1481422530 INTERNAL *** DAGMAN_STARTED 8705.0 ***
1481422534 create_dir_example_workflow_0_local SUBMIT 8706.0 local - 1
1481422539 create_dir_example_workflow_0_local EXECUTE 8706.0 local - 1
1481422539 create_dir_example_workflow_0_local JOB_TERMINATED 8706.0 local - 1
1481422539 create_dir_example_workflow_0_local JOB_SUCCESS 0 local - 1
1481422539 create_dir_example_workflow_0_local POST_SCRIPT_STARTED 8706.0 local - 1
1481422544 create_dir_example_workflow_0_local POST_SCRIPT_TERMINATED 8706.0 local - 1
1481422544 create_dir_example_workflow_0_local POST_SCRIPT_SUCCESS 0 local - 1
1481422549 stage_in_local_local_0_0 SUBMIT 8707.0 local - 2
1481422549 stage_in_local_local_0_0 EXECUTE 8707.0 local - 2
1481422549 stage_in_local_local_6_0 SUBMIT 8708.0 local - 3
1481422549 stage_in_remote_local_2_1 SUBMIT 8709.0 local - 4
1481422549 stage_in_remote_local_5_0 SUBMIT 8710.0 local - 5
1481422549 stage_in_local_local_2_0 SUBMIT 8711.0 local - 6
1481422555 stage_in_local_local_0_0 JOB_TERMINATED 8707.0 local - 2
1481422555 stage_in_local_local_0_0 JOB_SUCCESS 0 local - 2
1481422555 stage_in_local_local_0_0 POST_SCRIPT_STARTED 8707.0 local - 2
1481422555 stage_in_local_local_2_0 EXECUTE 8711.0 local - 6
1481422555 stage_in_remote_local_5_0 EXECUTE 8710.0 local - 5
1481422555 stage_in_remote_local_2_1 EXECUTE 8709.0 local - 4
1481422555 stage_in_local_local_6_0 EXECUTE 8708.0 local - 3
1481422555 stage_in_remote_local_5_0 JOB_TERMINATED 8710.0 local - 5
1481422555 stage_in_remote_local_5_0 JOB_SUCCESS 0 local - 5
1481422555 stage_in_remote_local_5_0 POST_SCRIPT_STARTED 8710.0 local - 5
1481422555 stage_in_local_local_6_0 JOB_TERMINATED 8708.0 local - 3
1481422555 stage_in_local_local_6_0 JOB_SUCCESS 0 local - 3
1481422555 stage_in_local_local_6_0 POST_SCRIPT_STARTED 8708.0 local - 3
1481422555 stage_in_remote_local_2_1 JOB_TERMINATED 8709.0 local - 4
1481422555 stage_in_remote_local_2_1 JOB_SUCCESS 0 local - 4
