
# Transformation - name of the transformation.
# Count          - the number of times the invocations corresponding to
#                  the transformation was executed.
# Succeeded      - the count of the succeeded invocations corresponding
#                  to the transformation.
# Failed         - the count of the failed invocations corresponding to
#                  the transformation.
# Min(sec)       - the minimum invocation runtime value corresponding
#                  to the transformation.
# Max(sec)       - the maximum invocation runtime value corresponding
#                  to the transformation.
# Mean(sec)      - the mean of the invocation runtime corresponding
#                  to the transformation.
# Total(sec)     - the cumulative of invocation runtime corresponding
#                  to the transformation.

# 5a9a45cf-691d-4e52-9e97-c8c83e1f9197 (example_workflow)
Transformation                            Count     Succeeded Failed  Min       Max       Mean          Total     
dagman::post                              38        38        0       5.0       6.0       5.158         196.0     
example_workflow::analysisevent_0:1.0     1         1         0       0.68      0.68      0.68          0.68      
example_workflow::averageratioevent_0:1.0 1         1         0       3420.26   3420.26   3420.26       3420.26   
example_workflow::calculateratio_0:1.0    1         1         0       21566.686 21566.686 21566.686     21566.686 
example_workflow::generalinfo_0:1.0       1         1         0       3853.456  3853.456  3853.456      3853.456  
example_workflow::init_0:1.0              1         1         0       350.55    350.55    350.55        350.55    
example_workflow::mediancpu_0:1.0         1         1         0       8050.431  8050.431  8050.431      8050.431  
example_workflow::medianmemory_0:1.0      1         1         0       7980.341  7980.341  7980.341      7980.341  
example_workflow::statscpumemory_0:1.0    1         1         0       7648.374  7648.374  7648.374      7648.374  
example_workflow::taskevent_0:1.0         1         1         0       13805.66  13805.66  13805.66      13805.66  
example_workflow::terminate_0:1.0         1         1         0       0.661     0.661     0.661         0.661     
pegasus::cleanup                          10        10        0       0.0       8.226     4.552         45.515    
pegasus::dirmanager                       1         1         0       0.0       0.0       0.0           0.0       
pegasus::transfer                         18        18        0       2.212     4.79      2.974         53.536    


# All (All)
Transformation                            Count     Succeeded Failed  Min       Max       Mean          Total     
dagman::post                              38        38        0       5.0       6.0       5.158         196.0     
example_workflow::analysisevent_0:1.0     1         1         0       0.68      0.68      0.68          0.68      
example_workflow::averageratioevent_0:1.0 1         1         0       3420.26   3420.26   3420.26       3420.26   
example_workflow::calculateratio_0:1.0    1         1         0       21566.686 21566.686 21566.686     21566.686 
example_workflow::generalinfo_0:1.0       1         1         0       3853.456  3853.456  3853.456      3853.456  
example_workflow::init_0:1.0              1         1         0       350.55    350.55    350.55        350.55    
example_workflow::mediancpu_0:1.0         1         1         0       8050.431  8050.431  8050.431      8050.431  
example_workflow::medianmemory_0:1.0      1         1         0       7980.341  7980.341  7980.341      7980.341  
example_workflow::statscpumemory_0:1.0    1         1         0       7648.374  7648.374  7648.374      7648.374  
example_workflow::taskevent_0:1.0         1         1         0       13805.66  13805.66  13805.66      13805.66  
example_workflow::terminate_0:1.0         1         1         0       0.661     0.661     0.661         0.661     
pegasus::cleanup                          10        10        0       0.0       8.226     4.552         45.515    
pegasus::dirmanager                       1         1         0       0.0       0.0       0.0           0.0       
pegasus::transfer                         18        18        0       2.212     4.79      2.974         53.536    
