1479856681 INTERNAL *** MONITORD_STARTED ***
1479856679 INTERNAL *** DAGMAN_STARTED 6293.0 ***
1479856683 create_dir_example_workflow_0_local SUBMIT 6294.0 local - 1
1479856688 create_dir_example_workflow_0_local EXECUTE 6294.0 local - 1
1479856688 create_dir_example_workflow_0_local JOB_TERMINATED 6294.0 local - 1
1479856688 create_dir_example_workflow_0_local JOB_SUCCESS 0 local - 1
1479856688 create_dir_example_workflow_0_local POST_SCRIPT_STARTED 6294.0 local - 1
1479856693 create_dir_example_workflow_0_local POST_SCRIPT_TERMINATED 6294.0 local - 1
1479856693 create_dir_example_workflow_0_local POST_SCRIPT_SUCCESS 0 local - 1
1479856699 stage_in_local_local_0_0 SUBMIT 6295.0 local - 2
1479856699 stage_in_local_local_0_0 EXECUTE 6295.0 local - 2
1479856699 stage_in_remote_local_2_1 SUBMIT 6296.0 local - 3
1479856699 stage_in_local_local_6_0 SUBMIT 6297.0 local - 4
1479856699 stage_in_remote_local_5_1 SUBMIT 6298.0 local - 5
1479856699 stage_in_remote_local_5_0 SUBMIT 6299.0 local - 6
1479856704 stage_in_local_local_0_0 JOB_TERMINATED 6295.0 local - 2
1479856704 stage_in_local_local_0_0 JOB_SUCCESS 0 local - 2
1479856704 stage_in_local_local_0_0 POST_SCRIPT_STARTED 6295.0 local - 2
1479856704 stage_in_remote_local_2_1 EXECUTE 6296.0 local - 3
1479856704 stage_in_remote_local_5_0 EXECUTE 6299.0 local - 6
1479856704 stage_in_remote_local_5_1 EXECUTE 6298.0 local - 5
1479856704 stage_in_local_local_6_0 EXECUTE 6297.0 local - 4
1479856704 stage_in_local_local_6_0 JOB_TERMINATED 6297.0 local - 4
1479856704 stage_in_local_local_6_0 JOB_SUCCESS 0 local - 4
1479856704 stage_in_local_local_6_0 POST_SCRIPT_STARTED 6297.0 local - 4
1479856704 stage_in_remote_local_2_1 JOB_TERMINATED 6296.0 local - 3
1479856704 stage_in_remote_local_2_1 JOB_SUCCESS 0 local - 3
1479856704 stage_in_remote_local_2_1 POST_SCRIPT_STARTED 6296.0 local - 3
1479856704 stage_in_local_local_2_0 SUBMIT 6300.0 local - 7
1479856704 stage_in_local_local_2_1 SUBMIT 6301.0 local - 8
1479856704 stage_in_local_local_2_0 EXECUTE 6300.0 local - 7
1479856704 stage_in_local_local_2_1 EXECUTE 6301.0 local - 8
1479856704 stage_in_remote_local_1_0 SUBMIT 6302.0 local - 9
1479856704 stage_in_local_local_3_1 SUBMIT 6303.0 local - 10
1479856704 stage_in_local_local_5_0 SUBMIT 6304.0 local - 11
1479856709 stage_in_local_local_0_0 POST_SCRIPT_TERMINATED 6295.0 local - 2
1479856709 stage_in_local_local_0_0 POST_SCRIPT_SUCCESS 0 local - 2
1479856709 stage_in_remote_local_2_1 POST_SCRIPT_TERMINATED 6296.0 local - 3
1479856709 stage_in_remote_local_2_1 POST_SCRIPT_SUCCESS 0 local - 3
1479856709 stage_in_local_local_6_0 POST_SCRIPT_TERMINATED 6297.0 local - 4
1479856709 stage_in_local_local_6_0 POST_SCRIPT_SUCCESS 0 local - 4
1479856709 stage_in_remote_local_5_0 JOB_TERMINATED 6299.0 local - 6
1479856709 stage_in_remote_local_5_0 JOB_SUCCESS 0 local - 6
1479856709 stage_in_remote_local_5_0 POST_SCRIPT_STARTED 6299.0 local - 6
1479856709 stage_in_remote_local_5_1 JOB_TERMINATED 6298.0 local - 5
1479856709 stage_in_remote_local_5_1 JOB_SUCCESS 0 local - 5
1479856709 stage_in_remote_local_5_1 POST_SCRIPT_STARTED 6298.0 local - 5
1479856709 stage_in_remote_local_1_0 EXECUTE 6302.0 local - 9
1479856709 stage_in_local_local_5_0 EXECUTE 6304.0 local - 11
1479856709 stage_in_local_local_3_1 EXECUTE 6303.0 local - 10
1479856709 stage_in_local_local_2_1 JOB_TERMINATED 6301.0 local - 8
1479856709 stage_in_local_local_2_1 JOB_SUCCESS 0 local - 8
1479856709 stage_in_local_local_2_1 POST_SCRIPT_STARTED 6301.0 local - 8
1479856709 stage_in_remote_local_1_0 JOB_TERMINATED 6302.0 local - 9
1479856709 stage_in_remote_local_1_0 JOB_SUCCESS 0 local - 9
1479856709 stage_in_remote_local_1_0 POST_SCRIPT_STARTED 6302.0 local - 9
1479856709 stage_in_local_local_2_0 JOB_TERMINATED 6300.0 local - 7
1479856709 stage_in_local_local_2_0 JOB_SUCCESS 0 local - 7
1479856709 stage_in_local_local_2_0 POST_SCRIPT_STARTED 6300.0 local - 7
1479856709 stage_in_local_local_3_0 SUBMIT 6305.0 local - 12
1479856709 stage_in_local_local_5_1 SUBMIT 6306.0 local - 13
1479856709 stage_in_local_local_4_0 SUBMIT 6307.0 local - 14
1479856709 stage_in_local_local_7_0 SUBMIT 6308.0 local - 15
1479856709 stage_in_local_local_4_1 SUBMIT 6309.0 local - 16
1479856714 stage_in_local_local_2_1 POST_SCRIPT_TERMINATED 6301.0 local - 8
1479856714 stage_in_local_local_2_1 POST_SCRIPT_SUCCESS 0 local - 8
1479856714 stage_in_local_local_2_0 POST_SCRIPT_TERMINATED 6300.0 local - 7
1479856714 stage_in_local_local_2_0 POST_SCRIPT_SUCCESS 0 local - 7
1479856714 stage_in_remote_local_5_0 POST_SCRIPT_TERMINATED 6299.0 local - 6
1479856714 stage_in_remote_local_5_0 POST_SCRIPT_SUCCESS 0 local - 6
1479856714 stage_in_remote_local_5_1 POST_SCRIPT_TERMINATED 6298.0 local - 5
1479856714 stage_in_remote_local_5_1 POST_SCRIPT_SUCCESS 0 local - 5
1479856714 stage_in_remote_local_1_0 POST_SCRIPT_TERMINATED 6302.0 local - 9
1479856714 stage_in_remote_local_1_0 POST_SCRIPT_SUCCESS 0 local - 9
1479856714 stage_in_local_local_3_1 JOB_TERMINATED 6303.0 local - 10
1479856714 stage_in_local_local_3_1 JOB_SUCCESS 0 local - 10
1479856714 stage_in_local_local_3_1 POST_SCRIPT_STARTED 6303.0 local - 10
1479856714 stage_in_local_local_5_0 JOB_TERMINATED 6304.0 local - 11
1479856714 stage_in_local_local_5_0 JOB_SUCCESS 0 local - 11
1479856714 stage_in_local_local_5_0 POST_SCRIPT_STARTED 6304.0 local - 11
1479856714 stage_in_local_local_3_0 EXECUTE 6305.0 local - 12
1479856714 stage_in_local_local_4_0 EXECUTE 6307.0 local - 14
1479856714 stage_in_local_local_7_0 EXECUTE 6308.0 local - 15
1479856714 stage_in_local_local_5_1 EXECUTE 6306.0 local - 13
1479856714 stage_in_local_local_4_1 EXECUTE 6309.0 local - 16
1479856714 stage_in_local_local_7_0 JOB_TERMINATED 6308.0 local - 15
1479856714 stage_in_local_local_7_0 JOB_SUCCESS 0 local - 15
1479856714 stage_in_local_local_7_0 POST_SCRIPT_STARTED 6308.0 local - 15
