
# Transformation - name of the transformation.
# Count          - the number of times the invocations corresponding to
#                  the transformation was executed.
# Succeeded      - the count of the succeeded invocations corresponding
#                  to the transformation.
# Failed         - the count of the failed invocations corresponding to
#                  the transformation.
# Min(sec)       - the minimum invocation runtime value corresponding
#                  to the transformation.
# Max(sec)       - the maximum invocation runtime value corresponding
#                  to the transformation.
# Mean(sec)      - the mean of the invocation runtime corresponding
#                  to the transformation.
# Total(sec)     - the cumulative of invocation runtime corresponding
#                  to the transformation.

# 84338a23-7ab6-423a-9121-c4ad002ebe9b (example_workflow)
Transformation                            Count     Succeeded Failed  Min       Max       Mean          Total     
dagman::post                              65        64        1       5.0       6.0       5.108         332.0     
example_workflow::analysisevent_0:1.0     1         1         0       0.654     0.654     0.654         0.654     
example_workflow::averageratioevent_0:1.0 1         1         0       0.66      0.66      0.66          0.66      
example_workflow::averageratioevent_1:1.0 1         1         0       0.652     0.652     0.652         0.652     
example_workflow::averageratioevent_2:1.0 1         1         0       0.654     0.654     0.654         0.654     
example_workflow::averageratioevent_3:1.0 1         1         0       0.658     0.658     0.658         0.658     
example_workflow::calculateratio_0:1.0    1         1         0       0.679     0.679     0.679         0.679     
example_workflow::calculateratio_1:1.0    1         1         0       0.692     0.692     0.692         0.692     
example_workflow::calculateratio_2:1.0    1         1         0       0.707     0.707     0.707         0.707     
example_workflow::calculateratio_3:1.0    1         1         0       0.703     0.703     0.703         0.703     
example_workflow::calculateratio_4:1.0    1         1         0       0.749     0.749     0.749         0.749     
example_workflow::calculateratio_5:1.0    1         1         0       0.693     0.693     0.693         0.693     
example_workflow::calculateratio_6:1.0    1         1         0       0.743     0.743     0.743         0.743     
example_workflow::calculateratio_7:1.0    1         1         0       0.709     0.709     0.709         0.709     
example_workflow::calculateratio_8:1.0    1         1         0       0.733     0.733     0.733         0.733     
example_workflow::generalinfo_0:1.0       1         1         0       3674.547  3674.547  3674.547      3674.547  
example_workflow::init_0:1.0              2         1         1       0.647     393.633   197.14        394.28    
example_workflow::mediancpu_0:1.0         1         1         0       8298.53   8298.53   8298.53       8298.53   
example_workflow::medianmemory_0:1.0      1         1         0       8162.608  8162.608  8162.608      8162.608  
example_workflow::statscpumemory_0:1.0    1         1         0       7878.874  7878.874  7878.874      7878.874  
example_workflow::taskevent_0:1.0         1         1         0       4104.523  4104.523  4104.523      4104.523  
example_workflow::taskevent_1:1.0         1         1         0       4075.645  4075.645  4075.645      4075.645  
example_workflow::taskevent_2:1.0         1         1         0       1455.316  1455.316  1455.316      1455.316  
