
# Transformation - name of the transformation.
# Count          - the number of times the invocations corresponding to
#                  the transformation was executed.
# Succeeded      - the count of the succeeded invocations corresponding
#                  to the transformation.
# Failed         - the count of the failed invocations corresponding to
#                  the transformation.
# Min(sec)       - the minimum invocation runtime value corresponding
#                  to the transformation.
# Max(sec)       - the maximum invocation runtime value corresponding
#                  to the transformation.
# Mean(sec)      - the mean of the invocation runtime corresponding
#                  to the transformation.
# Total(sec)     - the cumulative of invocation runtime corresponding
#                  to the transformation.

# 24e88983-836e-4523-8022-0034ea2b8b2b (example_workflow)
Transformation                            Count     Succeeded Failed  Min       Max       Mean          Total     
dagman::post                              64        64        0       5.0       6.0       5.047         323.0     
example_workflow::analysisevent_0:1.0     1         1         0       0.669     0.669     0.669         0.669     
example_workflow::averageratioevent_0:1.0 1         1         0       0.66      0.66      0.66          0.66      
example_workflow::averageratioevent_1:1.0 1         1         0       0.662     0.662     0.662         0.662     
example_workflow::averageratioevent_2:1.0 1         1         0       0.657     0.657     0.657         0.657     
example_workflow::averageratioevent_3:1.0 1         1         0       0.657     0.657     0.657         0.657     
example_workflow::calculateratio_0:1.0    1         1         0       0.713     0.713     0.713         0.713     
example_workflow::calculateratio_1:1.0    1         1         0       0.673     0.673     0.673         0.673     
example_workflow::calculateratio_2:1.0    1         1         0       0.711     0.711     0.711         0.711     
example_workflow::calculateratio_3:1.0    1         1         0       0.684     0.684     0.684         0.684     
example_workflow::calculateratio_4:1.0    1         1         0       0.687     0.687     0.687         0.687     
example_workflow::calculateratio_5:1.0    1         1         0       0.682     0.682     0.682         0.682     
example_workflow::calculateratio_6:1.0    1         1         0       0.718     0.718     0.718         0.718     
example_workflow::calculateratio_7:1.0    1         1         0       0.687     0.687     0.687         0.687     
example_workflow::calculateratio_8:1.0    1         1         0       0.671     0.671     0.671         0.671     
example_workflow::generalinfo_0:1.0       1         1         0       3764.855  3764.855  3764.855      3764.855  
example_workflow::init_0:1.0              1         1         0       0.639     0.639     0.639         0.639     
example_workflow::mediancpu_0:1.0         1         1         0       8102.199  8102.199  8102.199      8102.199  
example_workflow::medianmemory_0:1.0      1         1         0       8077.445  8077.445  8077.445      8077.445  
example_workflow::statscpumemory_0:1.0    1         1         0       8003.091  8003.091  8003.091      8003.091  
example_workflow::taskevent_0:1.0         1         1         0       4159.754  4159.754  4159.754      4159.754  
example_workflow::taskevent_1:1.0         1         1         0       4142.549  4142.549  4142.549      4142.549  
example_workflow::taskevent_2:1.0         1         1         0       1487.619  1487.619  1487.619      1487.619  
example_workflow::taskevent_3:1.0         1         1         0       2056.374  2056.374  2056.374      2056.374  
