
# Transformation - name of the transformation.
# Count          - the number of times the invocations corresponding to
#                  the transformation was executed.
# Succeeded      - the count of the succeeded invocations corresponding
#                  to the transformation.
# Failed         - the count of the failed invocations corresponding to
#                  the transformation.
# Min(sec)       - the minimum invocation runtime value corresponding
#                  to the transformation.
# Max(sec)       - the maximum invocation runtime value corresponding
#                  to the transformation.
# Mean(sec)      - the mean of the invocation runtime corresponding
#                  to the transformation.
# Total(sec)     - the cumulative of invocation runtime corresponding
#                  to the transformation.

# 5ee25925-5782-4a40-9e0a-b514ca15f378 (example_workflow)
Transformation                            Count     Succeeded Failed  Min       Max       Mean          Total     
dagman::post                              65        62        3       5.0       6.0       5.015         326.0     
example_workflow::analysisevent_0:1.0     1         1         0       0.652     0.652     0.652         0.652     
example_workflow::averageratioevent_0:1.0 1         1         0       0.667     0.667     0.667         0.667     
example_workflow::averageratioevent_1:1.0 1         1         0       0.691     0.691     0.691         0.691     
example_workflow::averageratioevent_2:1.0 1         1         0       0.653     0.653     0.653         0.653     
example_workflow::averageratioevent_3:1.0 1         1         0       0.653     0.653     0.653         0.653     
example_workflow::calculateratio_0:1.0    1         1         0       0.685     0.685     0.685         0.685     
example_workflow::calculateratio_1:1.0    1         1         0       0.711     0.711     0.711         0.711     
example_workflow::calculateratio_2:1.0    1         1         0       0.723     0.723     0.723         0.723     
example_workflow::calculateratio_3:1.0    1         1         0       0.707     0.707     0.707         0.707     
example_workflow::calculateratio_4:1.0    1         1         0       0.691     0.691     0.691         0.691     
example_workflow::calculateratio_5:1.0    1         1         0       0.706     0.706     0.706         0.706     
example_workflow::calculateratio_6:1.0    1         1         0       0.706     0.706     0.706         0.706     
example_workflow::calculateratio_7:1.0    1         1         0       0.708     0.708     0.708         0.708     
example_workflow::calculateratio_8:1.0    1         1         0       0.68      0.68      0.68          0.68      
example_workflow::generalinfo_0:1.0       1         1         0       3826.989  3826.989  3826.989      3826.989  
example_workflow::init_0:1.0              2         1         1       0.637     0.637     0.637         1.274     
example_workflow::mediancpu_0:1.0         1         1         0       8091.115  8091.115  8091.115      8091.115  
example_workflow::medianmemory_0:1.0      1         1         0       8034.578  8034.578  8034.578      8034.578  
example_workflow::statscpumemory_0:1.0    1         1         0       7840.295  7840.295  7840.295      7840.295  
example_workflow::taskevent_0:1.0         1         1         0       3773.263  3773.263  3773.263      3773.263  
example_workflow::taskevent_1:1.0         1         1         0       3750.54   3750.54   3750.54       3750.54   
example_workflow::taskevent_2:1.0         1         1         0       1174.188  1174.188  1174.188      1174.188  
example_workflow::taskevent_3:1.0         1         1         0       1709.726  1709.726  1709.726      1709.726  
example_workflow::taskevent_4:1.0         1         1         0       1919.614  1919.614  1919.614      1919.614  
example_workflow::taskevent_5:1.0         1         1         0       1489.239  1489.239  1489.239      1489.239  
example_workflow::taskevent_6:1.0         1         1         0       1.915     1.915     1.915         1.915     
example_workflow::taskevent_7:1.0         1         1         0       27.396    27.396    27.396        27.396    
example_workflow::taskevent_8:1.0         1         1         0       911.983   911.983   911.983       911.983   
example_workflow::terminate_0:1.0         2         0         2       0.613     0.648     0.631         1.261     
pegasus::cleanup                          11        11        0       2.183     16.264    9.108         100.192   
pegasus::dirmanager                       1         1         0       0.0       0.0       0.0           0.0       
pegasus::transfer                         22        22        0       2.226     4.83      3.783         83.233    


# All (All)
Transformation                            Count     Succeeded Failed  Min       Max       Mean          Total     
dagman::post                              65        62        3       5.0       6.0       5.015         326.0     
example_workflow::analysisevent_0:1.0     1         1         0       0.652     0.652     0.652         0.652     
example_workflow::averageratioevent_0:1.0 1         1         0       0.667     0.667     0.667         0.667     
example_workflow::averageratioevent_1:1.0 1         1         0       0.691     0.691     0.691         0.691     
example_workflow::averageratioevent_2:1.0 1         1         0       0.653     0.653     0.653         0.653     
example_workflow::averageratioevent_3:1.0 1         1         0       0.653     0.653     0.653         0.653     
example_workflow::calculateratio_0:1.0    1         1         0       0.685     0.685     0.685         0.685     
example_workflow::calculateratio_1:1.0    1         1         0       0.711     0.711     0.711         0.711     
example_workflow::calculateratio_2:1.0    1         1         0       0.723     0.723     0.723         0.723     
example_workflow::calculateratio_3:1.0    1         1         0       0.707     0.707     0.707         0.707     
example_workflow::calculateratio_4:1.0    1         1         0       0.691     0.691     0.691         0.691     
example_workflow::calculateratio_5:1.0    1         1         0       0.706     0.706     0.706         0.706     
example_workflow::calculateratio_6:1.0    1         1         0       0.706     0.706     0.706         0.706     
example_workflow::calculateratio_7:1.0    1         1         0       0.708     0.708     0.708         0.708     
example_workflow::calculateratio_8:1.0    1         1         0       0.68      0.68      0.68          0.68      
example_workflow::generalinfo_0:1.0       1         1         0       3826.989  3826.989  3826.989      3826.989  
example_workflow::init_0:1.0              2         1         1       0.637     0.637     0.637         1.274     
example_workflow::mediancpu_0:1.0         1         1         0       8091.115  8091.115  8091.115      8091.115  
example_workflow::medianmemory_0:1.0      1         1         0       8034.578  8034.578  8034.578      8034.578  
example_workflow::statscpumemory_0:1.0    1         1         0       7840.295  7840.295  7840.295      7840.295  
example_workflow::taskevent_0:1.0         1         1         0       3773.263  3773.263  3773.263      3773.263  
example_workflow::taskevent_1:1.0         1         1         0       3750.54   3750.54   3750.54       3750.54   
example_workflow::taskevent_2:1.0         1         1         0       1174.188  1174.188  1174.188      1174.188  
example_workflow::taskevent_3:1.0         1         1         0       1709.726  1709.726  1709.726      1709.726  
example_workflow::taskevent_4:1.0         1         1         0       1919.614  1919.614  1919.614      1919.614  
example_workflow::taskevent_5:1.0         1         1         0       1489.239  1489.239  1489.239      1489.239  
example_workflow::taskevent_6:1.0         1         1         0       1.915     1.915     1.915         1.915     
example_workflow::taskevent_7:1.0         1         1         0       27.396    27.396    27.396        27.396    
example_workflow::taskevent_8:1.0         1         1         0       911.983   911.983   911.983       911.983   
example_workflow::terminate_0:1.0         2         0         2       0.613     0.648     0.631         1.261     
pegasus::cleanup                          11        11        0       2.183     16.264    9.108         100.192   
pegasus::dirmanager                       1         1         0       0.0       0.0       0.0           0.0       
pegasus::transfer                         22        22        0       2.226     4.83      3.783         83.233    
