
# Transformation - name of the transformation.
# Count          - the number of times the invocations corresponding to
#                  the transformation was executed.
# Succeeded      - the count of the succeeded invocations corresponding
#                  to the transformation.
# Failed         - the count of the failed invocations corresponding to
#                  the transformation.
# Min(sec)       - the minimum invocation runtime value corresponding
#                  to the transformation.
# Max(sec)       - the maximum invocation runtime value corresponding
#                  to the transformation.
# Mean(sec)      - the mean of the invocation runtime corresponding
#                  to the transformation.
# Total(sec)     - the cumulative of invocation runtime corresponding
#                  to the transformation.

# cd84152c-c6a9-425b-8773-234cfd575334 (example_workflow)
Transformation                            Count     Succeeded Failed  Min       Max       Mean          Total     
dagman::post                              65        64        1       5.0       6.0       5.077         330.0     
example_workflow::analysisevent_0:1.0     1         1         0       0.653     0.653     0.653         0.653     
example_workflow::averageratioevent_0:1.0 1         1         0       0.659     0.659     0.659         0.659     
example_workflow::averageratioevent_1:1.0 1         1         0       0.65      0.65      0.65          0.65      
example_workflow::averageratioevent_2:1.0 1         1         0       0.653     0.653     0.653         0.653     
example_workflow::averageratioevent_3:1.0 1         1         0       0.703     0.703     0.703         0.703     
example_workflow::calculateratio_0:1.0    1         1         0       0.711     0.711     0.711         0.711     
example_workflow::calculateratio_1:1.0    1         1         0       0.723     0.723     0.723         0.723     
example_workflow::calculateratio_2:1.0    1         1         0       0.751     0.751     0.751         0.751     
example_workflow::calculateratio_3:1.0    1         1         0       0.71      0.71      0.71          0.71      
example_workflow::calculateratio_4:1.0    1         1         0       0.719     0.719     0.719         0.719     
example_workflow::calculateratio_5:1.0    1         1         0       0.701     0.701     0.701         0.701     
example_workflow::calculateratio_6:1.0    1         1         0       0.704     0.704     0.704         0.704     
example_workflow::calculateratio_7:1.0    1         1         0       0.684     0.684     0.684         0.684     
example_workflow::calculateratio_8:1.0    1         1         0       0.673     0.673     0.673         0.673     
example_workflow::generalinfo_0:1.0       1         1         0       3834.439  3834.439  3834.439      3834.439  
example_workflow::init_0:1.0              2         1         1       0.623     400.144   200.383       400.767   
example_workflow::mediancpu_0:1.0         1         1         0       8100.48   8100.48   8100.48       8100.48   
example_workflow::medianmemory_0:1.0      1         1         0       7955.65   7955.65   7955.65       7955.65   
example_workflow::statscpumemory_0:1.0    1         1         0       7707.517  7707.517  7707.517      7707.517  
example_workflow::taskevent_0:1.0         1         1         0       3736.418  3736.418  3736.418      3736.418  
example_workflow::taskevent_1:1.0         1         1         0       3693.627  3693.627  3693.627      3693.627  
example_workflow::taskevent_2:1.0         1         1         0       1158.883  1158.883  1158.883      1158.883  
example_workflow::taskevent_3:1.0         1         1         0       1733.66   1733.66   1733.66       1733.66   
example_workflow::taskevent_4:1.0         1         1         0       1905.786  1905.786  1905.786      1905.786  
example_workflow::taskevent_5:1.0         1         1         0       1410.284  1410.284  1410.284      1410.284  
example_workflow::taskevent_6:1.0         1         1         0       2.004     2.004     2.004         2.004     
example_workflow::taskevent_7:1.0         1         1         0       7.388     7.388     7.388         7.388     
example_workflow::taskevent_8:1.0         1         1         0       908.919   908.919   908.919       908.919   
example_workflow::terminate_0:1.0         1         1         0       0.619     0.619     0.619         0.619     
pegasus::cleanup                          13        13        0       0.0       16.152    7.874         102.364   
pegasus::dirmanager                       1         1         0       0.0       0.0       0.0           0.0       
pegasus::transfer                         22        22        0       2.13      4.833     3.741         82.305    


# All (All)
Transformation                            Count     Succeeded Failed  Min       Max       Mean          Total     
dagman::post                              65        64        1       5.0       6.0       5.077         330.0     
example_workflow::analysisevent_0:1.0     1         1         0       0.653     0.653     0.653         0.653     
example_workflow::averageratioevent_0:1.0 1         1         0       0.659     0.659     0.659         0.659     
example_workflow::averageratioevent_1:1.0 1         1         0       0.65      0.65      0.65          0.65      
example_workflow::averageratioevent_2:1.0 1         1         0       0.653     0.653     0.653         0.653     
example_workflow::averageratioevent_3:1.0 1         1         0       0.703     0.703     0.703         0.703     
example_workflow::calculateratio_0:1.0    1         1         0       0.711     0.711     0.711         0.711     
example_workflow::calculateratio_1:1.0    1         1         0       0.723     0.723     0.723         0.723     
example_workflow::calculateratio_2:1.0    1         1         0       0.751     0.751     0.751         0.751     
example_workflow::calculateratio_3:1.0    1         1         0       0.71      0.71      0.71          0.71      
example_workflow::calculateratio_4:1.0    1         1         0       0.719     0.719     0.719         0.719     
example_workflow::calculateratio_5:1.0    1         1         0       0.701     0.701     0.701         0.701     
example_workflow::calculateratio_6:1.0    1         1         0       0.704     0.704     0.704         0.704     
example_workflow::calculateratio_7:1.0    1         1         0       0.684     0.684     0.684         0.684     
example_workflow::calculateratio_8:1.0    1         1         0       0.673     0.673     0.673         0.673     
example_workflow::generalinfo_0:1.0       1         1         0       3834.439  3834.439  3834.439      3834.439  
example_workflow::init_0:1.0              2         1         1       0.623     400.144   200.383       400.767   
example_workflow::mediancpu_0:1.0         1         1         0       8100.48   8100.48   8100.48       8100.48   
example_workflow::medianmemory_0:1.0      1         1         0       7955.65   7955.65   7955.65       7955.65   
example_workflow::statscpumemory_0:1.0    1         1         0       7707.517  7707.517  7707.517      7707.517  
example_workflow::taskevent_0:1.0         1         1         0       3736.418  3736.418  3736.418      3736.418  
example_workflow::taskevent_1:1.0         1         1         0       3693.627  3693.627  3693.627      3693.627  
example_workflow::taskevent_2:1.0         1         1         0       1158.883  1158.883  1158.883      1158.883  
example_workflow::taskevent_3:1.0         1         1         0       1733.66   1733.66   1733.66       1733.66   
example_workflow::taskevent_4:1.0         1         1         0       1905.786  1905.786  1905.786      1905.786  
example_workflow::taskevent_5:1.0         1         1         0       1410.284  1410.284  1410.284      1410.284  
example_workflow::taskevent_6:1.0         1         1         0       2.004     2.004     2.004         2.004     
example_workflow::taskevent_7:1.0         1         1         0       7.388     7.388     7.388         7.388     
example_workflow::taskevent_8:1.0         1         1         0       908.919   908.919   908.919       908.919   
example_workflow::terminate_0:1.0         1         1         0       0.619     0.619     0.619         0.619     
pegasus::cleanup                          13        13        0       0.0       16.152    7.874         102.364   
pegasus::dirmanager                       1         1         0       0.0       0.0       0.0           0.0       
pegasus::transfer                         22        22        0       2.13      4.833     3.741         82.305    
