
# Transformation - name of the transformation.
# Count          - the number of times the invocations corresponding to
#                  the transformation was executed.
# Succeeded      - the count of the succeeded invocations corresponding
#                  to the transformation.
# Failed         - the count of the failed invocations corresponding to
#                  the transformation.
# Min(sec)       - the minimum invocation runtime value corresponding
#                  to the transformation.
# Max(sec)       - the maximum invocation runtime value corresponding
#                  to the transformation.
# Mean(sec)      - the mean of the invocation runtime corresponding
#                  to the transformation.
# Total(sec)     - the cumulative of invocation runtime corresponding
#                  to the transformation.

# 5ecc02c7-8840-4313-b343-35999be6b991 (example_workflow)
Transformation                            Count     Succeeded Failed  Min       Max       Mean          Total     
dagman::post                              64        64        0       5.0       6.0       5.234         335.0     
example_workflow::analysisevent_0:1.0     1         1         0       0.681     0.681     0.681         0.681     
example_workflow::averageratioevent_0:1.0 1         1         0       0.66      0.66      0.66          0.66      
example_workflow::averageratioevent_1:1.0 1         1         0       0.661     0.661     0.661         0.661     
example_workflow::averageratioevent_2:1.0 1         1         0       0.657     0.657     0.657         0.657     
example_workflow::averageratioevent_3:1.0 1         1         0       0.666     0.666     0.666         0.666     
example_workflow::calculateratio_0:1.0    1         1         0       0.702     0.702     0.702         0.702     
example_workflow::calculateratio_1:1.0    1         1         0       0.701     0.701     0.701         0.701     
example_workflow::calculateratio_2:1.0    1         1         0       0.715     0.715     0.715         0.715     
example_workflow::calculateratio_3:1.0    1         1         0       0.702     0.702     0.702         0.702     
example_workflow::calculateratio_4:1.0    1         1         0       0.703     0.703     0.703         0.703     
example_workflow::calculateratio_5:1.0    1         1         0       0.706     0.706     0.706         0.706     
example_workflow::calculateratio_6:1.0    1         1         0       0.712     0.712     0.712         0.712     
example_workflow::calculateratio_7:1.0    1         1         0       0.685     0.685     0.685         0.685     
example_workflow::calculateratio_8:1.0    1         1         0       0.687     0.687     0.687         0.687     
example_workflow::generalinfo_0:1.0       1         1         0       3749.647  3749.647  3749.647      3749.647  
example_workflow::init_0:1.0              1         1         0       375.074   375.074   375.074       375.074   
example_workflow::mediancpu_0:1.0         1         1         0       8261.376  8261.376  8261.376      8261.376  
example_workflow::medianmemory_0:1.0      1         1         0       8021.57   8021.57   8021.57       8021.57   
example_workflow::statscpumemory_0:1.0    1         1         0       7686.023  7686.023  7686.023      7686.023  
example_workflow::taskevent_0:1.0         1         1         0       3816.501  3816.501  3816.501      3816.501  
example_workflow::taskevent_1:1.0         1         1         0       3842.686  3842.686  3842.686      3842.686  
example_workflow::taskevent_2:1.0         1         1         0       1229.871  1229.871  1229.871      1229.871  
example_workflow::taskevent_3:1.0         1         1         0       1685.24   1685.24   1685.24       1685.24   
example_workflow::taskevent_4:1.0         1         1         0       1906.388  1906.388  1906.388      1906.388  
example_workflow::taskevent_5:1.0         1         1         0       1498.871  1498.871  1498.871      1498.871  
example_workflow::taskevent_6:1.0         1         1         0       2.042     2.042     2.042         2.042     
example_workflow::taskevent_7:1.0         1         1         0       1.8       1.8       1.8           1.8       
example_workflow::taskevent_8:1.0         1         1         0       963.363   963.363   963.363       963.363   
example_workflow::terminate_0:1.0         1         1         0       0.622     0.622     0.622         0.622     
pegasus::cleanup                          13        13        0       0.0       16.142    7.867         102.269   
pegasus::dirmanager                       1         1         0       0.0       0.0       0.0           0.0       
pegasus::transfer                         22        22        0       2.237     4.582     3.714         81.714    


# All (All)
Transformation                            Count     Succeeded Failed  Min       Max       Mean          Total     
dagman::post                              64        64        0       5.0       6.0       5.234         335.0     
example_workflow::analysisevent_0:1.0     1         1         0       0.681     0.681     0.681         0.681     
example_workflow::averageratioevent_0:1.0 1         1         0       0.66      0.66      0.66          0.66      
example_workflow::averageratioevent_1:1.0 1         1         0       0.661     0.661     0.661         0.661     
example_workflow::averageratioevent_2:1.0 1         1         0       0.657     0.657     0.657         0.657     
example_workflow::averageratioevent_3:1.0 1         1         0       0.666     0.666     0.666         0.666     
example_workflow::calculateratio_0:1.0    1         1         0       0.702     0.702     0.702         0.702     
example_workflow::calculateratio_1:1.0    1         1         0       0.701     0.701     0.701         0.701     
example_workflow::calculateratio_2:1.0    1         1         0       0.715     0.715     0.715         0.715     
example_workflow::calculateratio_3:1.0    1         1         0       0.702     0.702     0.702         0.702     
example_workflow::calculateratio_4:1.0    1         1         0       0.703     0.703     0.703         0.703     
example_workflow::calculateratio_5:1.0    1         1         0       0.706     0.706     0.706         0.706     
example_workflow::calculateratio_6:1.0    1         1         0       0.712     0.712     0.712         0.712     
example_workflow::calculateratio_7:1.0    1         1         0       0.685     0.685     0.685         0.685     
example_workflow::calculateratio_8:1.0    1         1         0       0.687     0.687     0.687         0.687     
example_workflow::generalinfo_0:1.0       1         1         0       3749.647  3749.647  3749.647      3749.647  
example_workflow::init_0:1.0              1         1         0       375.074   375.074   375.074       375.074   
example_workflow::mediancpu_0:1.0         1         1         0       8261.376  8261.376  8261.376      8261.376  
example_workflow::medianmemory_0:1.0      1         1         0       8021.57   8021.57   8021.57       8021.57   
example_workflow::statscpumemory_0:1.0    1         1         0       7686.023  7686.023  7686.023      7686.023  
example_workflow::taskevent_0:1.0         1         1         0       3816.501  3816.501  3816.501      3816.501  
example_workflow::taskevent_1:1.0         1         1         0       3842.686  3842.686  3842.686      3842.686  
example_workflow::taskevent_2:1.0         1         1         0       1229.871  1229.871  1229.871      1229.871  
example_workflow::taskevent_3:1.0         1         1         0       1685.24   1685.24   1685.24       1685.24   
example_workflow::taskevent_4:1.0         1         1         0       1906.388  1906.388  1906.388      1906.388  
example_workflow::taskevent_5:1.0         1         1         0       1498.871  1498.871  1498.871      1498.871  
example_workflow::taskevent_6:1.0         1         1         0       2.042     2.042     2.042         2.042     
example_workflow::taskevent_7:1.0         1         1         0       1.8       1.8       1.8           1.8       
example_workflow::taskevent_8:1.0         1         1         0       963.363   963.363   963.363       963.363   
example_workflow::terminate_0:1.0         1         1         0       0.622     0.622     0.622         0.622     
pegasus::cleanup                          13        13        0       0.0       16.142    7.867         102.269   
pegasus::dirmanager                       1         1         0       0.0       0.0       0.0           0.0       
pegasus::transfer                         22        22        0       2.237     4.582     3.714         81.714    
