
# Job instance statistics per day:
#   the number of job instances run, total runtime sorted by day
# Invocation statistics per day:
#   the number of invocations , total runtime sorted by day
# Job instance statistics by host per day:
#   the number of job instance run, total runtime on each host sorted by day
# Invocation by host per day:
#   the number of invocations, total runtime on each host sorted by day

# Job instances statistics per day
Date[YYYY-MM-DD]              Count               Runtime (sec)       
2016-11-24                    41                  43156.0             
2016-11-25                    24                  80.0                

# Invocation statistics run per day
Date[YYYY-MM-DD]              Count               Runtime (sec)       
2016-11-24                    75                  43326.036           
2016-11-25                    54                  243.659             

# Job instances statistics on host per day
Date[YYYY-MM-DD]       Host                     Count     Runtime (sec)       
2016-11-24             ip-172-31-29-109.us-west-2.compute.internal4         11815.0             
2016-11-24             ip-172-31-29-196.us-west-1.compute.internal26        94.0                
2016-11-24             ip-172-31-29-107.us-west-2.compute.internal2         9950.0              
2016-11-24             ip-172-31-29-108.us-west-2.compute.internal2         11841.0             
2016-11-24             ip-172-31-29-101.us-west-2.compute.internal1         5.0                 
2016-11-24             ip-172-31-29-102.us-west-2.compute.internal1         966.0               
2016-11-24             ip-172-31-29-103.us-west-2.compute.internal1         1907.0              
2016-11-24             ip-172-31-29-104.us-west-2.compute.internal1         1502.0              
2016-11-24             ip-172-31-29-105.us-west-2.compute.internal1         3844.0              
2016-11-24             ip-172-31-29-106.us-west-2.compute.internal1         1232.0              
2016-11-25             ip-172-31-29-101.us-west-2.compute.internal1         0.0                 
2016-11-25             ip-172-31-29-102.us-west-2.compute.internal1         0.0                 
2016-11-25             ip-172-31-29-103.us-west-2.compute.internal1         0.0                 
2016-11-25             ip-172-31-29-104.us-west-2.compute.internal2         0.0                 
2016-11-25             ip-172-31-29-105.us-west-2.compute.internal5         0.0                 
2016-11-25             ip-172-31-29-106.us-west-2.compute.internal1         0.0                 
2016-11-25             ip-172-31-29-107.us-west-2.compute.internal1         0.0                 
2016-11-25             ip-172-31-29-108.us-west-2.compute.internal2         0.0                 
2016-11-25             ip-172-31-29-109.us-west-2.compute.internal1         0.0                 
2016-11-25             ip-172-31-29-196.us-west-1.compute.internal8         80.0                

# Invocation statistics on host per day
Date[YYYY-MM-DD]       Host                     Count     Runtime (sec)       
2016-11-24             ip-172-31-29-109.us-west-2.compute.internal8         11832.786           
2016-11-24             ip-172-31-29-196.us-west-1.compute.internal52        245.584             
2016-11-24             ip-172-31-29-107.us-west-2.compute.internal3         9951.616            
2016-11-24             ip-172-31-29-108.us-west-2.compute.internal3         11843.071           
2016-11-24             ip-172-31-29-101.us-west-2.compute.internal2         6.8                 
2016-11-24             ip-172-31-29-102.us-west-2.compute.internal1         963.363             
2016-11-24             ip-172-31-29-103.us-west-2.compute.internal1         1906.388            
2016-11-24             ip-172-31-29-104.us-west-2.compute.internal1         1498.871            
2016-11-24             ip-172-31-29-105.us-west-2.compute.internal1         3842.686            
2016-11-24             ip-172-31-29-106.us-west-2.compute.internal1         1229.871            
2016-11-25             ip-172-31-29-101.us-west-2.compute.internal2         5.702               
2016-11-25             ip-172-31-29-102.us-west-2.compute.internal3         10.715              
2016-11-25             ip-172-31-29-103.us-west-2.compute.internal3         10.703              
2016-11-25             ip-172-31-29-104.us-west-2.compute.internal5         16.367              
2016-11-25             ip-172-31-29-105.us-west-2.compute.internal11        33.327              
2016-11-25             ip-172-31-29-106.us-west-2.compute.internal3         10.702              
2016-11-25             ip-172-31-29-107.us-west-2.compute.internal3         10.685              
2016-11-25             ip-172-31-29-108.us-west-2.compute.internal5         16.372              
2016-11-25             ip-172-31-29-109.us-west-2.compute.internal2         5.687               
2016-11-25             ip-172-31-29-196.us-west-1.compute.internal16        123.399             
