
# Transformation - name of the transformation.
# Count          - the number of times the invocations corresponding to
#                  the transformation was executed.
# Succeeded      - the count of the succeeded invocations corresponding
#                  to the transformation.
# Failed         - the count of the failed invocations corresponding to
#                  the transformation.
# Min(sec)       - the minimum invocation runtime value corresponding
#                  to the transformation.
# Max(sec)       - the maximum invocation runtime value corresponding
#                  to the transformation.
# Mean(sec)      - the mean of the invocation runtime corresponding
#                  to the transformation.
# Total(sec)     - the cumulative of invocation runtime corresponding
#                  to the transformation.

# 196ba0cc-b467-4d00-80ec-fca341aa2dfd (example_workflow)
Transformation                            Count     Succeeded Failed  Min       Max       Mean      Total     
dagman::post                              64        64        0       5.0       6.0       5.047     323.0     
example_workflow::analysisevent_0:1.0     1         1         0       0.68      0.68      0.68      0.68      
example_workflow::averageratioevent_0:1.0 1         1         0       0.651     0.651     0.651     0.651     
example_workflow::averageratioevent_1:1.0 1         1         0       0.667     0.667     0.667     0.667     
example_workflow::averageratioevent_2:1.0 1         1         0       0.704     0.704     0.704     0.704     
example_workflow::averageratioevent_3:1.0 1         1         0       0.682     0.682     0.682     0.682     
example_workflow::calculateratio_0:1.0    1         1         0       0.718     0.718     0.718     0.718     
example_workflow::calculateratio_1:1.0    1         1         0       0.707     0.707     0.707     0.707     
example_workflow::calculateratio_2:1.0    1         1         0       0.701     0.701     0.701     0.701     
example_workflow::calculateratio_3:1.0    1         1         0       0.686     0.686     0.686     0.686     
example_workflow::calculateratio_4:1.0    1         1         0       0.679     0.679     0.679     0.679     
example_workflow::calculateratio_5:1.0    1         1         0       0.725     0.725     0.725     0.725     
example_workflow::calculateratio_6:1.0    1         1         0       0.71      0.71      0.71      0.71      
example_workflow::calculateratio_7:1.0    1         1         0       0.688     0.688     0.688     0.688     
example_workflow::calculateratio_8:1.0    1         1         0       0.697     0.697     0.697     0.697     
example_workflow::generalinfo_0:1.0       1         1         0       3722.055  3722.055  3722.055  3722.055  
example_workflow::init_0:1.0              1         1         0       425.677   425.677   425.677   425.677   
example_workflow::mediancpu_0:1.0         1         1         0       7995.341  7995.341  7995.341  7995.341  
example_workflow::medianmemory_0:1.0      1         1         0       7855.392  7855.392  7855.392  7855.392  
example_workflow::statscpumemory_0:1.0    1         1         0       7886.858  7886.858  7886.858  7886.858  
example_workflow::taskevent_0:1.0         1         1         0       3892.714  3892.714  3892.714  3892.714  
example_workflow::taskevent_1:1.0         1         1         0       3782.391  3782.391  3782.391  3782.391  
example_workflow::taskevent_2:1.0         1         1         0       1217.737  1217.737  1217.737  1217.737  
example_workflow::taskevent_3:1.0         1         1         0       1751.565  1751.565  1751.565  1751.565  
example_workflow::taskevent_4:1.0         1         1         0       1875.959  1875.959  1875.959  1875.959  
example_workflow::taskevent_5:1.0         1         1         0       1473.031  1473.031  1473.031  1473.031  
example_workflow::taskevent_6:1.0         1         1         0       1.75      1.75      1.75      1.75      
example_workflow::taskevent_7:1.0         1         1         0       1.755     1.755     1.755     1.755     
example_workflow::taskevent_8:1.0         1         1         0       959.775   959.775   959.775   959.775   
example_workflow::terminate_0:1.0         1         1         0       0.666     0.666     0.666     0.666     
pegasus::cleanup                          13        13        0       0.0       16.398    7.873     102.349   
pegasus::dirmanager                       1         1         0       0.0       0.0       0.0       0.0       
pegasus::transfer                         22        22        0       2.265     4.701     3.757     82.654    


# All (All)
Transformation                            Count     Succeeded Failed  Min       Max       Mean      Total     
dagman::post                              64        64        0       5.0       6.0       5.047     323.0     
example_workflow::analysisevent_0:1.0     1         1         0       0.68      0.68      0.68      0.68      
example_workflow::averageratioevent_0:1.0 1         1         0       0.651     0.651     0.651     0.651     
example_workflow::averageratioevent_1:1.0 1         1         0       0.667     0.667     0.667     0.667     
example_workflow::averageratioevent_2:1.0 1         1         0       0.704     0.704     0.704     0.704     
example_workflow::averageratioevent_3:1.0 1         1         0       0.682     0.682     0.682     0.682     
example_workflow::calculateratio_0:1.0    1         1         0       0.718     0.718     0.718     0.718     
example_workflow::calculateratio_1:1.0    1         1         0       0.707     0.707     0.707     0.707     
example_workflow::calculateratio_2:1.0    1         1         0       0.701     0.701     0.701     0.701     
example_workflow::calculateratio_3:1.0    1         1         0       0.686     0.686     0.686     0.686     
example_workflow::calculateratio_4:1.0    1         1         0       0.679     0.679     0.679     0.679     
example_workflow::calculateratio_5:1.0    1         1         0       0.725     0.725     0.725     0.725     
example_workflow::calculateratio_6:1.0    1         1         0       0.71      0.71      0.71      0.71      
example_workflow::calculateratio_7:1.0    1         1         0       0.688     0.688     0.688     0.688     
example_workflow::calculateratio_8:1.0    1         1         0       0.697     0.697     0.697     0.697     
example_workflow::generalinfo_0:1.0       1         1         0       3722.055  3722.055  3722.055  3722.055  
example_workflow::init_0:1.0              1         1         0       425.677   425.677   425.677   425.677   
example_workflow::mediancpu_0:1.0         1         1         0       7995.341  7995.341  7995.341  7995.341  
example_workflow::medianmemory_0:1.0      1         1         0       7855.392  7855.392  7855.392  7855.392  
example_workflow::statscpumemory_0:1.0    1         1         0       7886.858  7886.858  7886.858  7886.858  
example_workflow::taskevent_0:1.0         1         1         0       3892.714  3892.714  3892.714  3892.714  
example_workflow::taskevent_1:1.0         1         1         0       3782.391  3782.391  3782.391  3782.391  
example_workflow::taskevent_2:1.0         1         1         0       1217.737  1217.737  1217.737  1217.737  
example_workflow::taskevent_3:1.0         1         1         0       1751.565  1751.565  1751.565  1751.565  
example_workflow::taskevent_4:1.0         1         1         0       1875.959  1875.959  1875.959  1875.959  
example_workflow::taskevent_5:1.0         1         1         0       1473.031  1473.031  1473.031  1473.031  
example_workflow::taskevent_6:1.0         1         1         0       1.75      1.75      1.75      1.75      
example_workflow::taskevent_7:1.0         1         1         0       1.755     1.755     1.755     1.755     
example_workflow::taskevent_8:1.0         1         1         0       959.775   959.775   959.775   959.775   
example_workflow::terminate_0:1.0         1         1         0       0.666     0.666     0.666     0.666     
pegasus::cleanup                          13        13        0       0.0       16.398    7.873     102.349   
pegasus::dirmanager                       1         1         0       0.0       0.0       0.0       0.0       
pegasus::transfer                         22        22        0       2.265     4.701     3.757     82.654    
