
# Job instance statistics per day:
#   the number of job instances run, total runtime sorted by day
# Invocation statistics per day:
#   the number of invocations , total runtime sorted by day
# Job instance statistics by host per day:
#   the number of job instance run, total runtime on each host sorted by day
# Invocation by host per day:
#   the number of invocations, total runtime on each host sorted by day

# Job instances statistics per day
Date[YYYY-MM-DD]              Count               Runtime (sec)       
2016-11-29                    27                  3828.0              
2016-11-30                    39                  41431.0             

# Invocation statistics run per day
Date[YYYY-MM-DD]              Count               Runtime (sec)       
2016-11-29                    53                  3965.2              
2016-11-30                    78                  41657.263           

# Job instances statistics on host per day
Date[YYYY-MM-DD]       Host                     Count     Runtime (sec)       
2016-11-29             ip-172-31-29-109.us-west-2.compute.internal3         3733.0              
2016-11-29             ip-172-31-29-196.us-west-1.compute.internal23        95.0                
2016-11-30             ip-172-31-29-107.us-west-2.compute.internal3         9976.0              
2016-11-30             ip-172-31-29-108.us-west-2.compute.internal3         12444.0             
2016-11-30             ip-172-31-29-109.us-west-2.compute.internal3         8144.0              
2016-11-30             ip-172-31-29-196.us-west-1.compute.internal11        90.0                
2016-11-30             ip-172-31-29-101.us-west-2.compute.internal2         1.0                 
2016-11-30             ip-172-31-29-102.us-west-2.compute.internal6         1182.0              
2016-11-30             ip-172-31-29-103.us-west-2.compute.internal2         2284.0              
2016-11-30             ip-172-31-29-104.us-west-2.compute.internal3         1657.0              
2016-11-30             ip-172-31-29-105.us-west-2.compute.internal2         4215.0              
2016-11-30             ip-172-31-29-106.us-west-2.compute.internal3         1438.0              

# Invocation statistics on host per day
Date[YYYY-MM-DD]       Host                     Count     Runtime (sec)       
2016-11-29             ip-172-31-29-109.us-west-2.compute.internal5         3746.431            
2016-11-29             ip-172-31-29-196.us-west-1.compute.internal46        213.769             
2016-11-30             ip-172-31-29-107.us-west-2.compute.internal6         9992.255            
2016-11-30             ip-172-31-29-108.us-west-2.compute.internal6         12461.311           
2016-11-30             ip-172-31-29-109.us-west-2.compute.internal7         8166.943            
2016-11-30             ip-172-31-29-196.us-west-1.compute.internal22        155.099             
2016-11-30             ip-172-31-29-101.us-west-2.compute.internal4         12.665              
2016-11-30             ip-172-31-29-102.us-west-2.compute.internal12        1213.701            
2016-11-30             ip-172-31-29-103.us-west-2.compute.internal4         2295.487            
2016-11-30             ip-172-31-29-104.us-west-2.compute.internal6         1677.264            
2016-11-30             ip-172-31-29-105.us-west-2.compute.internal4         4226.055            
2016-11-30             ip-172-31-29-106.us-west-2.compute.internal6         1456.483            
