
# Transformation - name of the transformation.
# Count          - the number of times the invocations corresponding to
#                  the transformation was executed.
# Succeeded      - the count of the succeeded invocations corresponding
#                  to the transformation.
# Failed         - the count of the failed invocations corresponding to
#                  the transformation.
# Min(sec)       - the minimum invocation runtime value corresponding
#                  to the transformation.
# Max(sec)       - the maximum invocation runtime value corresponding
#                  to the transformation.
# Mean(sec)      - the mean of the invocation runtime corresponding
#                  to the transformation.
# Total(sec)     - the cumulative of invocation runtime corresponding
#                  to the transformation.

# 7443de83-7978-46c8-b804-d033bdc7d82d (example_workflow)
Transformation                            Count     Succeeded Failed  Min       Max       Mean          Total     
dagman::post                              64        64        0       5.0       6.0       5.234         335.0     
example_workflow::analysisevent_0:1.0     1         1         0       0.654     0.654     0.654         0.654     
example_workflow::averageratioevent_0:1.0 1         1         0       0.655     0.655     0.655         0.655     
example_workflow::averageratioevent_1:1.0 1         1         0       0.682     0.682     0.682         0.682     
example_workflow::averageratioevent_2:1.0 1         1         0       0.698     0.698     0.698         0.698     
example_workflow::averageratioevent_3:1.0 1         1         0       0.722     0.722     0.722         0.722     
example_workflow::calculateratio_0:1.0    1         1         0       0.692     0.692     0.692         0.692     
example_workflow::calculateratio_1:1.0    1         1         0       0.697     0.697     0.697         0.697     
example_workflow::calculateratio_2:1.0    1         1         0       0.71      0.71      0.71          0.71      
example_workflow::calculateratio_3:1.0    1         1         0       0.714     0.714     0.714         0.714     
example_workflow::calculateratio_4:1.0    1         1         0       0.718     0.718     0.718         0.718     
example_workflow::calculateratio_5:1.0    1         1         0       0.725     0.725     0.725         0.725     
example_workflow::calculateratio_6:1.0    1         1         0       0.694     0.694     0.694         0.694     
example_workflow::calculateratio_7:1.0    1         1         0       0.716     0.716     0.716         0.716     
example_workflow::calculateratio_8:1.0    1         1         0       0.741     0.741     0.741         0.741     
example_workflow::generalinfo_0:1.0       1         1         0       3716.589  3716.589  3716.589      3716.589  
example_workflow::init_0:1.0              1         1         0       1.14      1.14      1.14          1.14      
example_workflow::mediancpu_0:1.0         1         1         0       8238.704  8238.704  8238.704      8238.704  
example_workflow::medianmemory_0:1.0      1         1         0       8040.971  8040.971  8040.971      8040.971  
example_workflow::statscpumemory_0:1.0    1         1         0       7897.89   7897.89   7897.89       7897.89   
example_workflow::taskevent_0:1.0         1         1         0       4171.66   4171.66   4171.66       4171.66   
example_workflow::taskevent_1:1.0         1         1         0       4174.772  4174.772  4174.772      4174.772  
example_workflow::taskevent_2:1.0         1         1         0       1492.733  1492.733  1492.733      1492.733  
example_workflow::taskevent_3:1.0         1         1         0       2014.802  2014.802  2014.802      2014.802  
example_workflow::taskevent_4:1.0         1         1         0       2282.403  2282.403  2282.403      2282.403  
example_workflow::taskevent_5:1.0         1         1         0       1635.07   1635.07   1635.07       1635.07   
example_workflow::taskevent_6:1.0         1         1         0       2.195     2.195     2.195         2.195     
example_workflow::taskevent_7:1.0         1         1         0       2.006     2.006     2.006         2.006     
example_workflow::taskevent_8:1.0         1         1         0       1192.548  1192.548  1192.548      1192.548  
example_workflow::terminate_0:1.0         1         1         0       0.668     0.668     0.668         0.668     
pegasus::cleanup                          13        13        0       0.0       16.313    7.868         102.281   
pegasus::dirmanager                       1         1         0       0.0       0.0       0.0           0.0       
pegasus::transfer                         22        22        0       2.223     4.913     3.757         82.647    


# All (All)
Transformation                            Count     Succeeded Failed  Min       Max       Mean          Total     
dagman::post                              64        64        0       5.0       6.0       5.234         335.0     
example_workflow::analysisevent_0:1.0     1         1         0       0.654     0.654     0.654         0.654     
example_workflow::averageratioevent_0:1.0 1         1         0       0.655     0.655     0.655         0.655     
example_workflow::averageratioevent_1:1.0 1         1         0       0.682     0.682     0.682         0.682     
example_workflow::averageratioevent_2:1.0 1         1         0       0.698     0.698     0.698         0.698     
example_workflow::averageratioevent_3:1.0 1         1         0       0.722     0.722     0.722         0.722     
example_workflow::calculateratio_0:1.0    1         1         0       0.692     0.692     0.692         0.692     
example_workflow::calculateratio_1:1.0    1         1         0       0.697     0.697     0.697         0.697     
example_workflow::calculateratio_2:1.0    1         1         0       0.71      0.71      0.71          0.71      
example_workflow::calculateratio_3:1.0    1         1         0       0.714     0.714     0.714         0.714     
example_workflow::calculateratio_4:1.0    1         1         0       0.718     0.718     0.718         0.718     
example_workflow::calculateratio_5:1.0    1         1         0       0.725     0.725     0.725         0.725     
example_workflow::calculateratio_6:1.0    1         1         0       0.694     0.694     0.694         0.694     
example_workflow::calculateratio_7:1.0    1         1         0       0.716     0.716     0.716         0.716     
example_workflow::calculateratio_8:1.0    1         1         0       0.741     0.741     0.741         0.741     
example_workflow::generalinfo_0:1.0       1         1         0       3716.589  3716.589  3716.589      3716.589  
example_workflow::init_0:1.0              1         1         0       1.14      1.14      1.14          1.14      
example_workflow::mediancpu_0:1.0         1         1         0       8238.704  8238.704  8238.704      8238.704  
example_workflow::medianmemory_0:1.0      1         1         0       8040.971  8040.971  8040.971      8040.971  
example_workflow::statscpumemory_0:1.0    1         1         0       7897.89   7897.89   7897.89       7897.89   
example_workflow::taskevent_0:1.0         1         1         0       4171.66   4171.66   4171.66       4171.66   
example_workflow::taskevent_1:1.0         1         1         0       4174.772  4174.772  4174.772      4174.772  
example_workflow::taskevent_2:1.0         1         1         0       1492.733  1492.733  1492.733      1492.733  
example_workflow::taskevent_3:1.0         1         1         0       2014.802  2014.802  2014.802      2014.802  
