1484770452 INTERNAL *** MONITORD_STARTED ***
1484770450 INTERNAL *** DAGMAN_STARTED 9641.0 ***
1484770454 create_dir_example_workflow_0_local SUBMIT 9642.0 local - 1
1484770459 create_dir_example_workflow_0_local EXECUTE 9642.0 local - 1
1484770459 create_dir_example_workflow_0_local JOB_TERMINATED 9642.0 local - 1
1484770459 create_dir_example_workflow_0_local JOB_SUCCESS 0 local - 1
1484770459 create_dir_example_workflow_0_local POST_SCRIPT_STARTED 9642.0 local - 1
1484770464 create_dir_example_workflow_0_local POST_SCRIPT_TERMINATED 9642.0 local - 1
1484770464 create_dir_example_workflow_0_local POST_SCRIPT_SUCCESS 0 local - 1
1484770470 stage_in_local_local_0_0 SUBMIT 9643.0 local - 2
1484770470 stage_in_local_local_0_0 EXECUTE 9643.0 local - 2
1484770470 stage_in_local_local_1_0 SUBMIT 9644.0 local - 3
1484770470 stage_in_local_local_2_0 SUBMIT 9645.0 local - 4
1484770470 stage_in_local_local_2_1 SUBMIT 9646.0 local - 5
1484770470 stage_in_remote_local_1_0 SUBMIT 9647.0 local - 6
1484770475 stage_in_local_local_0_0 JOB_TERMINATED 9643.0 local - 2
1484770475 stage_in_local_local_0_0 JOB_SUCCESS 0 local - 2
1484770475 stage_in_local_local_0_0 POST_SCRIPT_STARTED 9643.0 local - 2
1484770475 stage_in_local_local_1_0 EXECUTE 9644.0 local - 3
1484770475 stage_in_remote_local_1_0 EXECUTE 9647.0 local - 6
1484770475 stage_in_local_local_2_1 EXECUTE 9646.0 local - 5
1484770475 stage_in_local_local_2_0 EXECUTE 9645.0 local - 4
1484770475 stage_in_remote_local_1_0 JOB_TERMINATED 9647.0 local - 6
1484770475 stage_in_remote_local_1_0 JOB_SUCCESS 0 local - 6
1484770475 stage_in_remote_local_1_0 POST_SCRIPT_STARTED 9647.0 local - 6
1484770475 stage_in_local_local_1_0 JOB_TERMINATED 9644.0 local - 3
1484770475 stage_in_local_local_1_0 JOB_SUCCESS 0 local - 3
1484770475 stage_in_local_local_1_0 POST_SCRIPT_STARTED 9644.0 local - 3
1484770475 stage_in_local_local_3_0 SUBMIT 9648.0 local - 7
1484770480 stage_in_local_local_3_0 EXECUTE 9648.0 local - 7
1484770480 stage_in_local_local_1_0 POST_SCRIPT_TERMINATED 9644.0 local - 3
1484770480 stage_in_local_local_1_0 POST_SCRIPT_SUCCESS 0 local - 3
1484770480 stage_in_remote_local_1_0 POST_SCRIPT_TERMINATED 9647.0 local - 6
1484770480 stage_in_remote_local_1_0 POST_SCRIPT_SUCCESS 0 local - 6
1484770480 stage_in_local_local_0_0 POST_SCRIPT_TERMINATED 9643.0 local - 2
1484770480 stage_in_local_local_0_0 POST_SCRIPT_SUCCESS 0 local - 2
1484770480 stage_in_local_local_2_1 JOB_TERMINATED 9646.0 local - 5
1484770480 stage_in_local_local_2_1 JOB_SUCCESS 0 local - 5
1484770480 stage_in_local_local_2_1 POST_SCRIPT_STARTED 9646.0 local - 5
1484770480 stage_in_local_local_2_0 JOB_TERMINATED 9645.0 local - 4
1484770480 stage_in_local_local_2_0 JOB_SUCCESS 0 local - 4
1484770480 stage_in_local_local_2_0 POST_SCRIPT_STARTED 9645.0 local - 4
1484770480 stage_in_local_local_3_0 JOB_TERMINATED 9648.0 local - 7
1484770480 stage_in_local_local_3_0 JOB_SUCCESS 0 local - 7
1484770480 stage_in_local_local_3_0 POST_SCRIPT_STARTED 9648.0 local - 7
1484770485 stage_in_local_local_2_1 POST_SCRIPT_TERMINATED 9646.0 local - 5
1484770485 stage_in_local_local_2_1 POST_SCRIPT_SUCCESS 0 local - 5
1484770485 stage_in_local_local_2_0 POST_SCRIPT_TERMINATED 9645.0 local - 4
1484770485 stage_in_local_local_2_0 POST_SCRIPT_SUCCESS 0 local - 4
1484770485 stage_in_local_local_3_0 POST_SCRIPT_TERMINATED 9648.0 local - 7
1484770485 stage_in_local_local_3_0 POST_SCRIPT_SUCCESS 0 local - 7
1484770485 init_0_ID0000001 SUBMIT 9649.0 condorpool - 8
1484770495 init_0_ID0000001 EXECUTE 9649.0 condorpool - 8
1484770861 init_0_ID0000001 JOB_TERMINATED 9649.0 condorpool - 8
1484770861 init_0_ID0000001 JOB_FAILURE 1 condorpool - 8
1484770861 init_0_ID0000001 POST_SCRIPT_STARTED 9649.0 condorpool - 8
1484770866 init_0_ID0000001 POST_SCRIPT_TERMINATED 9649.0 condorpool - 8
1484770866 init_0_ID0000001 POST_SCRIPT_FAILURE 1 condorpool - 8
1484770871 init_0_ID0000001 SUBMIT 9650.0 condorpool - 9
1484770876 init_0_ID0000001 EXECUTE 9650.0 condorpool - 9
1484770906 init_0_ID0000001 JOB_TERMINATED 9650.0 condorpool - 9
1484770906 init_0_ID0000001 JOB_SUCCESS 0 condorpool - 9
1484770906 init_0_ID0000001 POST_SCRIPT_STARTED 9650.0 condorpool - 9
1484770911 init_0_ID0000001 POST_SCRIPT_TERMINATED 9650.0 condorpool - 9
1484770911 init_0_ID0000001 POST_SCRIPT_SUCCESS 0 condorpool - 9
1484770916 clean_up_local_level_3_0 SUBMIT 9651.0 local - 10
1484770916 clean_up_local_level_3_0 EXECUTE 9651.0 local - 10
1484770916 computeusergroup_0_ID0000002 SUBMIT 9652.0 condorpool - 11
1484770921 computeusergroup_0_ID0000002 EXECUTE 9652.0 condorpool - 11
1484770921 clean_up_local_level_3_0 JOB_TERMINATED 9651.0 local - 10
1484770921 clean_up_local_level_3_0 JOB_SUCCESS 0 local - 10
1484770921 clean_up_local_level_3_0 POST_SCRIPT_STARTED 9651.0 local - 10
1484770926 clean_up_local_level_3_0 POST_SCRIPT_TERMINATED 9651.0 local - 10
1484770926 clean_up_local_level_3_0 POST_SCRIPT_SUCCESS 0 local - 10
1484774740 computeusergroup_0_ID0000002 JOB_TERMINATED 9652.0 condorpool - 11
1484774740 computeusergroup_0_ID0000002 JOB_SUCCESS 0 condorpool - 11
1484774740 computeusergroup_0_ID0000002 POST_SCRIPT_STARTED 9652.0 condorpool - 11
1484774745 computeusergroup_0_ID0000002 POST_SCRIPT_TERMINATED 9652.0 condorpool - 11
1484774745 computeusergroup_0_ID0000002 POST_SCRIPT_SUCCESS 0 condorpool - 11
1484774750 clean_up_local_level_4_0 SUBMIT 9653.0 local - 12
1484774750 clean_up_local_level_4_0 EXECUTE 9653.0 local - 12
1484774750 stage_out_local_local_1_0 SUBMIT 9654.0 local - 13
1484774750 stage_out_local_local_1_1 SUBMIT 9655.0 local - 14
1484774750 sessioncompute_0_ID0000003 SUBMIT 9656.0 condorpool - 15
1484774750 sessioncompute_5_ID0000008 SUBMIT 9657.0 condorpool - 16
1484774756 clean_up_local_level_4_0 JOB_TERMINATED 9653.0 local - 12
1484774756 clean_up_local_level_4_0 JOB_SUCCESS 0 local - 12
1484774756 clean_up_local_level_4_0 POST_SCRIPT_STARTED 9653.0 local - 12
1484774756 stage_out_local_local_1_1 EXECUTE 9655.0 local - 14
1484774756 stage_out_local_local_1_0 EXECUTE 9654.0 local - 13
1484774756 sessioncompute_6_ID0000009 SUBMIT 9658.0 condorpool - 17
1484774756 sessioncompute_1_ID0000004 SUBMIT 9659.0 condorpool - 18
1484774756 sessioncompute_3_ID0000006 SUBMIT 9660.0 condorpool - 19
1484774756 sessioncompute_7_ID0000010 SUBMIT 9661.0 condorpool - 20
1484774756 sessioncompute_8_ID0000011 SUBMIT 9662.0 condorpool - 21
1484774761 clean_up_local_level_4_0 POST_SCRIPT_TERMINATED 9653.0 local - 12
1484774761 clean_up_local_level_4_0 POST_SCRIPT_SUCCESS 0 local - 12
1484774761 stage_out_local_local_1_0 JOB_TERMINATED 9654.0 local - 13
1484774761 stage_out_local_local_1_0 JOB_SUCCESS 0 local - 13
1484774761 stage_out_local_local_1_0 POST_SCRIPT_STARTED 9654.0 local - 13
1484774761 stage_out_local_local_1_1 JOB_TERMINATED 9655.0 local - 14
1484774761 stage_out_local_local_1_1 JOB_SUCCESS 0 local - 14
1484774761 stage_out_local_local_1_1 POST_SCRIPT_STARTED 9655.0 local - 14
1484774761 sessioncompute_2_ID0000005 SUBMIT 9663.0 condorpool - 22
1484774761 sessioncompute_4_ID0000007 SUBMIT 9664.0 condorpool - 23
1484774766 stage_out_local_local_1_1 POST_SCRIPT_TERMINATED 9655.0 local - 14
1484774766 stage_out_local_local_1_1 POST_SCRIPT_SUCCESS 0 local - 14
1484774766 stage_out_local_local_1_0 POST_SCRIPT_TERMINATED 9654.0 local - 13
1484774766 stage_out_local_local_1_0 POST_SCRIPT_SUCCESS 0 local - 13
1484774771 sessioncompute_5_ID0000008 EXECUTE 9657.0 condorpool - 16
1484774771 sessioncompute_0_ID0000003 EXECUTE 9656.0 condorpool - 15
1484774771 sessioncompute_6_ID0000009 EXECUTE 9658.0 condorpool - 17
1484774771 sessioncompute_2_ID0000005 EXECUTE 9663.0 condorpool - 22
1484774771 sessioncompute_7_ID0000010 EXECUTE 9661.0 condorpool - 20
1484774771 sessioncompute_3_ID0000006 EXECUTE 9660.0 condorpool - 19
1484774771 sessioncompute_4_ID0000007 EXECUTE 9664.0 condorpool - 23
1484774771 sessioncompute_8_ID0000011 EXECUTE 9662.0 condorpool - 21
1484774771 sessioncompute_1_ID0000004 EXECUTE 9659.0 condorpool - 18
1484774806 sessioncompute_1_ID0000004 JOB_TERMINATED 9659.0 condorpool - 18
1484774806 sessioncompute_1_ID0000004 JOB_SUCCESS 0 condorpool - 18
1484774806 sessioncompute_1_ID0000004 POST_SCRIPT_STARTED 9659.0 condorpool - 18
1484774811 sessioncompute_1_ID0000004 POST_SCRIPT_TERMINATED 9659.0 condorpool - 18
1484774811 sessioncompute_1_ID0000004 POST_SCRIPT_SUCCESS 0 condorpool - 18
1484774816 sessioncompute_5_ID0000008 JOB_TERMINATED 9657.0 condorpool - 16
1484774816 sessioncompute_5_ID0000008 JOB_SUCCESS 0 condorpool - 16
1484774816 sessioncompute_5_ID0000008 POST_SCRIPT_STARTED 9657.0 condorpool - 16
1484774816 sessioncompute_4_ID0000007 JOB_TERMINATED 9664.0 condorpool - 23
1484774816 sessioncompute_4_ID0000007 JOB_SUCCESS 0 condorpool - 23
1484774816 sessioncompute_4_ID0000007 POST_SCRIPT_STARTED 9664.0 condorpool - 23
1484774816 sessioncompute_2_ID0000005 JOB_TERMINATED 9663.0 condorpool - 22
1484774816 sessioncompute_2_ID0000005 JOB_SUCCESS 0 condorpool - 22
1484774816 sessioncompute_2_ID0000005 POST_SCRIPT_STARTED 9663.0 condorpool - 22
1484774821 sessioncompute_4_ID0000007 POST_SCRIPT_TERMINATED 9664.0 condorpool - 23
1484774821 sessioncompute_4_ID0000007 POST_SCRIPT_SUCCESS 0 condorpool - 23
1484774821 sessioncompute_2_ID0000005 POST_SCRIPT_TERMINATED 9663.0 condorpool - 22
1484774821 sessioncompute_2_ID0000005 POST_SCRIPT_SUCCESS 0 condorpool - 22
1484774821 sessioncompute_5_ID0000008 POST_SCRIPT_TERMINATED 9657.0 condorpool - 16
1484774821 sessioncompute_5_ID0000008 POST_SCRIPT_SUCCESS 0 condorpool - 16
1484774826 sessioncompute_6_ID0000009 JOB_TERMINATED 9658.0 condorpool - 17
1484774826 sessioncompute_6_ID0000009 JOB_SUCCESS 0 condorpool - 17
1484774826 sessioncompute_6_ID0000009 POST_SCRIPT_STARTED 9658.0 condorpool - 17
1484774826 sessioncompute_3_ID0000006 JOB_TERMINATED 9660.0 condorpool - 19
1484774826 sessioncompute_3_ID0000006 JOB_SUCCESS 0 condorpool - 19
1484774826 sessioncompute_3_ID0000006 POST_SCRIPT_STARTED 9660.0 condorpool - 19
1484774826 sessioncompute_0_ID0000003 JOB_TERMINATED 9656.0 condorpool - 15
1484774826 sessioncompute_0_ID0000003 JOB_SUCCESS 0 condorpool - 15
1484774826 sessioncompute_0_ID0000003 POST_SCRIPT_STARTED 9656.0 condorpool - 15
1484774831 sessioncompute_6_ID0000009 POST_SCRIPT_TERMINATED 9658.0 condorpool - 17
1484774831 sessioncompute_6_ID0000009 POST_SCRIPT_SUCCESS 0 condorpool - 17
1484774831 sessioncompute_0_ID0000003 POST_SCRIPT_TERMINATED 9656.0 condorpool - 15
1484774831 sessioncompute_0_ID0000003 POST_SCRIPT_SUCCESS 0 condorpool - 15
1484774831 sessioncompute_3_ID0000006 POST_SCRIPT_TERMINATED 9660.0 condorpool - 19
1484774831 sessioncompute_3_ID0000006 POST_SCRIPT_SUCCESS 0 condorpool - 19
1484774836 sessioncompute_8_ID0000011 JOB_TERMINATED 9662.0 condorpool - 21
1484774836 sessioncompute_8_ID0000011 JOB_SUCCESS 0 condorpool - 21
1484774836 sessioncompute_8_ID0000011 POST_SCRIPT_STARTED 9662.0 condorpool - 21
