1484928148 INTERNAL *** MONITORD_STARTED ***
1484928146 INTERNAL *** DAGMAN_STARTED 10050.0 ***
1484928150 create_dir_example_workflow_0_local SUBMIT 10051.0 local - 1
1484928155 create_dir_example_workflow_0_local EXECUTE 10051.0 local - 1
1484928155 create_dir_example_workflow_0_local JOB_TERMINATED 10051.0 local - 1
1484928155 create_dir_example_workflow_0_local JOB_SUCCESS 0 local - 1
1484928155 create_dir_example_workflow_0_local POST_SCRIPT_STARTED 10051.0 local - 1
1484928160 create_dir_example_workflow_0_local POST_SCRIPT_TERMINATED 10051.0 local - 1
1484928160 create_dir_example_workflow_0_local POST_SCRIPT_SUCCESS 0 local - 1
1484928166 stage_in_local_local_0_0 SUBMIT 10052.0 local - 2
1484928166 stage_in_local_local_0_0 EXECUTE 10052.0 local - 2
1484928166 stage_in_local_local_4_0 SUBMIT 10053.0 local - 3
1484928166 stage_in_local_local_1_0 SUBMIT 10054.0 local - 4
1484928166 stage_in_local_local_2_0 SUBMIT 10055.0 local - 5
1484928166 stage_in_local_local_2_1 SUBMIT 10056.0 local - 6
1484928171 stage_in_local_local_0_0 JOB_TERMINATED 10052.0 local - 2
1484928171 stage_in_local_local_0_0 JOB_SUCCESS 0 local - 2
1484928171 stage_in_local_local_0_0 POST_SCRIPT_STARTED 10052.0 local - 2
1484928171 stage_in_local_local_4_0 EXECUTE 10053.0 local - 3
1484928171 stage_in_local_local_2_0 EXECUTE 10055.0 local - 5
1484928171 stage_in_local_local_2_1 EXECUTE 10056.0 local - 6
1484928171 stage_in_local_local_1_0 EXECUTE 10054.0 local - 4
1484928171 stage_in_local_local_2_1 JOB_TERMINATED 10056.0 local - 6
1484928171 stage_in_local_local_2_1 JOB_SUCCESS 0 local - 6
1484928171 stage_in_local_local_2_1 POST_SCRIPT_STARTED 10056.0 local - 6
1484928171 stage_in_local_local_4_0 JOB_TERMINATED 10053.0 local - 3
1484928171 stage_in_local_local_4_0 JOB_SUCCESS 0 local - 3
1484928171 stage_in_local_local_4_0 POST_SCRIPT_STARTED 10053.0 local - 3
1484928171 stage_in_local_local_1_0 JOB_TERMINATED 10054.0 local - 4
1484928171 stage_in_local_local_1_0 JOB_SUCCESS 0 local - 4
1484928171 stage_in_local_local_1_0 POST_SCRIPT_STARTED 10054.0 local - 4
1484928171 stage_in_remote_local_1_0 SUBMIT 10057.0 local - 7
1484928171 stage_in_local_local_3_1 SUBMIT 10058.0 local - 8
1484928171 stage_in_local_local_3_0 SUBMIT 10059.0 local - 9
1484928171 stage_in_remote_local_3_1 SUBMIT 10060.0 local - 10
1484928171 stage_in_remote_local_3_0 SUBMIT 10061.0 local - 11
1484928176 stage_in_local_local_2_1 POST_SCRIPT_TERMINATED 10056.0 local - 6
1484928176 stage_in_local_local_2_1 POST_SCRIPT_SUCCESS 0 local - 6
1484928176 stage_in_local_local_1_0 POST_SCRIPT_TERMINATED 10054.0 local - 4
1484928176 stage_in_local_local_1_0 POST_SCRIPT_SUCCESS 0 local - 4
1484928176 stage_in_local_local_0_0 POST_SCRIPT_TERMINATED 10052.0 local - 2
1484928176 stage_in_local_local_0_0 POST_SCRIPT_SUCCESS 0 local - 2
1484928176 stage_in_local_local_4_0 POST_SCRIPT_TERMINATED 10053.0 local - 3
1484928176 stage_in_local_local_4_0 POST_SCRIPT_SUCCESS 0 local - 3
1484928176 stage_in_local_local_2_0 JOB_TERMINATED 10055.0 local - 5
1484928176 stage_in_local_local_2_0 JOB_SUCCESS 0 local - 5
1484928176 stage_in_local_local_2_0 POST_SCRIPT_STARTED 10055.0 local - 5
1484928176 stage_in_local_local_3_1 EXECUTE 10058.0 local - 8
1484928176 stage_in_local_local_3_0 EXECUTE 10059.0 local - 9
1484928176 stage_in_remote_local_3_0 EXECUTE 10061.0 local - 11
1484928176 stage_in_remote_local_1_0 EXECUTE 10057.0 local - 7
1484928176 stage_in_remote_local_3_1 EXECUTE 10060.0 local - 10
1484928176 stage_in_remote_local_1_0 JOB_TERMINATED 10057.0 local - 7
1484928176 stage_in_remote_local_1_0 JOB_SUCCESS 0 local - 7
1484928176 stage_in_remote_local_1_0 POST_SCRIPT_STARTED 10057.0 local - 7
1484928176 stage_in_local_local_3_1 JOB_TERMINATED 10058.0 local - 8
1484928176 stage_in_local_local_3_1 JOB_SUCCESS 0 local - 8
1484928176 stage_in_local_local_3_1 POST_SCRIPT_STARTED 10058.0 local - 8
1484928177 stage_in_remote_local_3_1 JOB_TERMINATED 10060.0 local - 10
1484928177 stage_in_remote_local_3_1 JOB_SUCCESS 0 local - 10
1484928177 stage_in_remote_local_3_1 POST_SCRIPT_STARTED 10060.0 local - 10
1484928182 stage_in_remote_local_3_1 POST_SCRIPT_TERMINATED 10060.0 local - 10
